,0,1
18,"Well, it would've been Could've been worse than you would ever know Oh, the dashboard melted But we still have the radio Oh, it should've been Could've been worse than you would ever know Well, you told me about nowhere Well, it sounds like someplace I'd like to go Oh, it could've been Should've been worse than you would ever know Well, the windshield was broken But I love the fresh air ya know (The dashboard melted, but we still have the radio) Oh, it would've been Could've been worse than you would ever know, oh! (The dashboard melted, but we still have the radio) Oh, we talked about nothing Which was more than I wanted you to know-oh-oh-oh-oh Now here we go! Oh, it would've been Could've been worse than it had even gone Well, the car was on blocks, but I was already where I want (It was impossible, we ran it good, we ran it good) Why should we ever even ever really even get to know? (It was impossible, we ran it good, we ran it good) Oh, if the world don't like us It'll shake us just like we were a co-oh-oh-oh-old Now here we go! Well, we scheme, and we scheme, but we always blow it We've yet to crash, but we still might as well enjoy it Standing at a light switch to each east and west horizon Every dawn you're surprising And the evening was consoling Saying, ""See, it wasn't quite as bad as"" Well, it would've been Could've been worse than you would ever know I was patiently erasing and recording the wrong episodes After you had proved my point wrong It wasn't like I'd let it go, oh-oh-oh, oh-oh-oh I just wanted to catch the last laugh of this show Yeah, it would've been Could've been worse than you would ever know Oh, the dashboard melted, but we still have the radio (The dashboard melted, but we ran it good, we ran it good) Hard-wired to conceive, so much we'd have to stow it Even needs have needs, tiny giants made of tinier giants Don't wear eyelids so I don't miss the last laugh of this show (The dashboard melted, but we still have the radio) Oh, we could've been Should've been worse than you would ever know (The dashboard melted, but we still have the radio) Well, you told me about nowhere Well, it sounds like someplace I'd like to go-oh-oh-oh-oh Now here we go! Well, we scheme, and we scheme, but we always blow it We've yet to crash, but we still might as well enjoy it Standing at a light switch to each east and west horizon Every dawn you're surprising And the evening was consoling Saying, ""See, it wasn't quite as bad as"" Oh, it would've been Could've been worse than you would ever know",
19,"If you were a bird and you lived very high You'd lean on the wind when the breeze came by You'd say to the wind as it took you away That's where I wanted to go today And I do know that I need to have you around And I do, I do know that I need to have you around Love like a mountain springtime Flashing through the rivers of my mind It's what I feel for you You and me go walking south And we see all the world around us The colors blind my eyes and my mind to all but you And I do know that I need to have you around And I do, I do know that I need to have you around Around I have a house where I can go When there's too many people around me I can sit and watch all the people Down below goin' by me Halfway down the stairs is a stair Where I sit and think about you and me I sit and think about you and me But I wonder will the sun still see all the people goin' by Will the moon still hang in the sky when I die When I die, when I'm high, when I die, when I die? If you were a cloud and you sailed up there You'd sail on water as blue as air You'd see me here in the fields and say Doesn't the sky look green today? But I wonder will the sun still see all the people goin' by Will the moon still hang in the sky when I die When I die, when I die When I'm high, when I die, die, die, die, die?",
20,Don't get any big ideas They're not gonna happen You paint yourself white And fill up with noise There'll be something missing And now that you found it It's gone Now you feel it you don't You've gone off the rails So don't get any big ideas They're not gonna happen You'll go to Hell For what your Dirty mind is thinking,
21,,
22,,
23,,
24,,
25,"All our times have come Here but now they're gone Seasons don't fear the reaper Nor do the wind, the sun or the rain, we can be like they are Come on baby, don't fear the reaper Baby take my hand, don't fear the reaper We'll be able to fly, don't fear the reaper Baby I'm your man La, la, la, la, la La, la, la, la, la Valentine is done Here but now they're gone Romeo and Juliet Are together in eternity, Romeo and Juliet 40, 000 men and women everyday, Like Romeo and Juliet 40, 000 men and women everyday, Redefine happiness Another 40, 000 coming everyday, We can be like they are Come on baby, don't fear the reaper Baby take my hand, don't fear the reaper We'll be able to fly, don't fear the reaper Baby I'm your man La, la, la, la, la La, la, la, la, la Love of two is one Here but now they're gone Came the last night of sadness And it was clear she couldn't go on Then the door was open and the wind appeared The candles blew then disappeared The curtains flew then he appeared, saying don't be afraid Come on baby, and she had no fear And she ran to him, then they started to fly They looked backward and said goodby, she had become like they are She had taken his hand, she had become like they are Come on baby, don't fear the reaper",
26,"One of these days, I'm going to cut you into little pieces",
27,"I'm standin' right here with a beer in my hand And my mouth is full of sand and I don't understand Big fat fingers pointin' into my face Tellin' me to get busy cleanin' up this place Fourteen days I've been sleepin in a barn Better get a paycheck tattooed on my arm Whistlin' dixie with the dixie cup filled With the barbecue sauce and the dental floss chill I got bent like a wet cigarette And she's comin' after me with a butterfly net Ridin' on a bloodhound ringin' a bell Black cat wrapped in the road map to hell Pencil on my leg and I'm tryin' not to beg Takin' turns bakin' worms with the bacon and eggs Now they got me in a bird cage flappin' my jaw Like a pretzel in the stars just waitin' to fall So give me what I got to get so I can go 'Cause I ain't washin dishes in the ditch no more 'Cause I ain't gonna work for no soul-suckin jerk I'm gonna take it all back and I ain't sayin jack 'Cause I ain't gonna work for no soul-suckin jerk I'm gonna take it all back and I ain't sayin jack You know it That's right Rockin the town like a moldy crouton Flyin' through the air with breeze I got a job makin money for the man Throwin' chicken in the bucket with the soda pop can Puke green uniform on my back I had to set it on fire in a vat of chicken fat I leaped on the counter like a bird with no hair Runnin' through the mini-mall in my underwear I got lost downtown, couldn't find a ride home Sun went down, I got frozen to the bone 'til a hooker let me share her fake fur coat As I took a little nap the cops picked up us both I tried to explain I was only tryin' to get warm I knew I never ever should have burnt my uniform He said, ""too bad better bite the bullet hard son."" I didn't have no teeth so I stole his gun And I crawled out the window with my shadow on a spoon Dancin' on the roof, shootin' holes in the moon Aw yeah Uh-huh",
28,,
29,,
30,,
31,,
32,,
33,"I don't wanna work in a building downtown No, I don't wanna work in a building downtown I don't know what I'm gonna do Cause the planes keep crashing always two by two I don't wanna work in a building downtown No, I don't wanna see when the planes hit the ground I don't wanna work in a building downtown I don't wanna work in a building downtown Parking their cars in the underground Their voices when they scream - they make no sound I wanna see the cities rust And the trouble makers riding on the back of the bus Dear God, I'm a good Christian man In your glory, I know you understand That you gotta work hard and you gotta get paid My girl's thirteen, but she don't act her age She can sing like a bird in a cage Oh Lord, if you could see her when she's up on that stage! You know that I'm a God fearing man You know that I'm a God fearing man But I just gotta know if it's part of your plan To seat my daughters there by your right hand I know that you'll do what is right, Lord For they are the lanterns, and you are the light Now I'm overcome By the light of day My lips are near, but my heart is far away Tell me what to say I'll be your mouthpiece! Into the light of a bridge that burns As I drive from the city with the money that I earned Into the black of a starless sky I'm staring into nothing, and I'm asking you why Lord, will you make her a star? So the world can see who you really are Little girl, you're old enough to understand That you'll always be a stranger in a strange, strange land The men are gonna come while you're fast asleep So you better just stay close and hold on to me If my little mocking bird don't sing Then daddy won't buy her no diamond ring Dear God, would you send me a child? Oh God, would you send me a child? Cause I wanna put it up on the TV screen So the world can see what your true word means Lord, would you just send me a sign? Cause I just gotta know if I'm wasting my time! Now I'm overcome By the light of day My lips are near, but my heart is far away Now the war is won How come nothing tastes good? You're such a sensitive child! Oh, you're such a sensitive child! I know you're tired, but it's alright I just need you to sing for me tonight You're gonna have your day in the sun You know God loves the sensitive ones Oh, my little bird in a cage! Oh, my little bird in a cage! I need you to get up for me, up on that stage And show the men that you're old for your age Now ain't the time for fear But if you don't take it, it'll disappear Oh, my little mockingbird, sing! Oh, my little mockingbird, sing! I need you to get up on that stage for me, honey And show the men it's not about the money Wanna hold a mirror up to the world So that they can see themselves inside my little girl Do you know where I was at your age? Any idea where I was at your age? I was working downtown for the minimum wage And I'm not gonna let you just throw it all away I'm through being cute, I'm through being nice Oh, tell me, Lord, am I the Antichrist?",
34,,
35,,
36,"Animals we are Disposable Collapsible and raw I suppose It's just the state I'm in Animals that climb I'm climbin' over you Until you say ""Off you go, off you go"" Animal I am Disposable Collapsible and raw I don't know which way I should turn Animal that runs I ran away from you And now I'm in ""Off you go, off you go"" (And you say) If you're gonna go, go now If you're gonna go, go now I forgot to tell you how If you gonna go, go now Animal I am I'm looking for a future Just like you Well I don't know Which way I turn Animals that climb I climb all over you Until I say And I missed my chance By a stone slow If you're gonna go Go now If you're gonna go Go now I forgot to tell you how If you gonna go Go now",
37,"Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulder For well you know that it's a fool who plays it cool By making his world a little colder Na na na, na na, na na na na Hey Jude, don't let me down You have found her, now go and get her Remember to let her into your heart Then you can start to make it better Better, better, better, better, better, whoa! Na na na, na-na na na Na-na na na, hey Jude Na na na, na-na na na Na-na na na, hey Jude Na na na, na-na na na Na-na na na, hey Jude Na na na, na-na na na Na-na na na, hey Jude Na na na, na-na na na Na-na na na, hey Jude",
38,,
39,,
40,,
41,I love you Jesus Christ Jesus Christ I love you Yes I do I love you Jesus Christ Jesus Christ I love you Yes I do And on the lazy days The dogs dissolve and drain away The world it goes And all awaits The day we are awaiting Up and over We go through the wave and undertow I will float until I learn how to swim Inside my mother in a garbage bin Until I find myself again again ' Up and over we go Mouths open wide and spitting still And I will spit until I learn how to speak Up through the doorway as the sideboards creek With them ever proclaiming me me oh Up and over We go the weight it sits on down and I don't know I will shout until they know what I mean I mean the marriage of a dead dog sing And a synthetic flying machine machine Oh-Oohh-Oh-Oh Oh-Oohh-Oh-Oh Oh-Oohh-Oh-Oh Oh-Oohh-Oh-Oh (Okay),
42,,
43,,
44,,
45,"Time is never time at all You can never ever leave without leaving a piece of youth And our lives are forever changed We will never be the same The more you change the less you feel Believe, believe in me, believe That life can change, that you're not stuck in vain We're not the same, we're different tonight Tonight, so bright Tonight And you know you're never sure But you're sure you could be right If you held yourself up to the light And the embers never fade in your city by the lake The place where you were born Believe, believe in me, believe In the resolute urgency of now And if you believe there's not a chance tonight Tonight, so bright tonight We'll crucify the insincere tonight We'll make things right, we'll feel it all tonight We'll find a way to offer up the night tonight The indescribable moments of your life tonight The impossible is possible tonight Believe in me as I believe in you, tonight",
46,,
47,,
48,,
49,,
50,,
51,,
52,"You ready?! Let's go! Yeah, for those of you that wanna know what we're all about It's like this y'all (c'mon) This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name He doesn't need his name up in lights He just wants to be heard whether it's the beat or the mic He feels so unlike everybody else, alone In spite of the fact that some people still think that they know him But fuck 'em, he knows the code, it's not about the salary It's about reality and making some noise Making a story, making sure his clique stays up That means when he puts it down, Tak's pickin' it up Who the hell is he anyway, he never really talks much Never concerned with status but still leavin' them star struck Humbled through opportunities given despite the fact That many misjudge him because he makes a livin' from writing raps Put it together himself, now the picture connects Never asking for someone's help, or to get some respect He's only focused on what he wrote; his will is beyond reach And now it all unfolds, the skill of an artist This is twenty percent skill, eighty percent beer Be a hundred percent clear 'cause Ryu is ill Who would've thought that he'd be the one to set the west in flames Then heard him wreckin' with The Crystal Method, Name Of The Game Came back, dropped Megadef, took 'em to church I like bleach, man, Ryu had the stupidest verse This dude is the truth, now everybody be givin' him guest spots His stock's through the roof; I heard he fuckin' with S-Dot This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name They call him Ryu he's sick, and he's spittin' fire and Mike Got him out the dryer he's hot, found him in Fort Minor with Tak What a fuckin' nihilist porcupine; he's a prick; he's a cock The type women want to be with and rappers hope he get shot Eight years in the makin' patiently waitin' to blow Now the record with Shinoda's takin' over the globe He's got a partner in crime; his shit is equally dope You won't believe the kind of shit that comes out of this kid's throat He's not your every day on the block He knows how to work with what he's got Makin' his way to the top He often gets a comment on his name People keep asking him was it given at birth Or does it stand for an acronym? No, he's livin' proof that he rockin' the booth He'll get you buzzin' quicker than a shot of vodka with juice Him and his crew are known around as one of the best Dedicated to what they do and give a hundred percent Forget Mike, nobody really knows how or why he works so hard It seems like he's never got time Because he writes every note and he writes every line And I've seen him at work when that light goes on in his mind It's like a design is written in his head every time Before he even touches a key or speaks in a rhyme And those motherfuckers he runs with, the kids that he signed Ridiculous, without even trying, how do they do it? This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name Yeah Fort Minor M-Shinoda Styles of Beyond Ryu Takbir Machine Shop",
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,Don't leave hAnnotateome again If empathy takes energy Cause everyone feels just like you But that's life: it's so social So physical So so-so So emotional So stay home,
61,,
62,,
63,,
64,"Ah you're my best friend (you are my best friend), and I love you so well Till the end of time you won't see me Ah you're my best friend (you are my best friend), and I see you, it seems Now I can see I've fallen into your love stream I'll follow your dream Do you know what I mean, yeah I'll follow you wherever time will take me to Forever I'll be one with you, one with you, one with you Ah you're my best friend (you are my best friend), am I all that you're seeing I'll set you free, and then just like me you'll be being In love with me Do you know what I mean, yeah Do you know what I mean I'm gonna set you free You'll be in love with me You're my best friend, now Ah you're my best friend (you are my best friend), and I love you so well Till the end of time you won't see me Ah you're my best friend (you are my best friend), and I see you, it seems Now I can see I've fallen into your love stream I'll follow your dream Do you know what I mean Do you know what I mean You'll be in love with me I'm gonna set you free Ah, you're my best friend, now Ah you're my best friend",
65,,
66,,
67,,
68,,
69,"Somewhere over the rainbow, way up high And the dreams that you dream of, once in a lullaby Somewhere over the rainbow, blue birds fly And the dreams that you dream of, dreams really do come true Someday I'll wish upon a star Wake up where the clouds are far behind me Where trouble melts like lemon drops High above the chimney top That's where you'll find me Somewhere over the rainbow, bluebirds fly And the dream that you dare to Why, oh why can't I? Someday I'll wish upon a star Wake up where the clouds are far behind me Where trouble melts like lemon drops High above the chimney top That's where you'll find me Somewhere over the rainbow, way up high And the dream that you dare to Why, oh why can't I?",
70,"You have to do it running But you do everything that they ask you to 'Cause you don't mind seeing yourself in a picture As long as you look faraway, as long as you look removed Showered and blue-blazered, fill yourself with quarters Showered and blue-blazered, fill yourself with quarters You get mistaken for strangers by your own friends When you pass them at night Under the silvery, silvery Citibank lights Arm in arm in arm and eyes and eyes, glazing under Oh, you wouldn't want an angel watching over you Surprise, surprise, they wouldn't wanna watch Another un-innocent, elegant fall Into the un-magnificent lives of adults Make up something to believe in your heart of hearts So you have something to wear on your sleeve of sleeves So you swear, you just saw a feathery woman Carry a blindfolded man through the trees Showered and blue-blazered, fill yourself with quarters Showered and blue-blazered, fill yourself with quarters You get mistaken for strangers by your own friends When you pass them at night Under the silvery, silvery Citibank lights Arm in arm in arm and eyes and eyes, glazing under Oh, you wouldn't want an angel watching over you Surprise, surprise, they wouldn't wanna watch Another un-innocent, elegant fall Into the un-magnificent lives of adults You get mistaken for strangers by your own friends When you pass them at night Under the silvery, silvery Citibank lights Arm in arm in arm and eyes and eyes, glazing under Oh, you wouldn't want an angel watching over you Surprise, surprise, they wouldn't wanna watch Another un-innocent, elegant fall Into the un-magnificent lives of adults",
71,,
72,,
73,"I have changed, I have changed Just like you, just like you For how long, for how long must I wait? I know there's something wrong Your concrete heart isn't beating And I've tried to make it come alive No shadows, just red lights Now I'm here to rescue you Ooh I'm still alive, I'm still alive I cannot apologize, no Ooh I'm still alive, I'm still alive I cannot apologize, no So silent, no violence But inside my head so loud and clear You're screaming, you're screaming Covered up with a smile I've learned to fear Just sunshine and blue sky Is this is all we get for living here? Come fire, come fire Let it burn and love come racing through Ooh I'm still alive, I'm still alive I cannot apologize, no I'm still alive, I'm still alive I cannot apologize, no I've learned to lose, I've learned to win I turn my face against the wind I will move fast, I will move slow Take me where I have to go Ooh I'm still alive, I'm still alive I cannot apologize, no I'm still alive Ooh I'm still alive, I'm still alive I cannot apologize, no I'm still alive, I'm still alive I cannot apologize, no Ooh I'm still alive, I'm still alive I cannot apologize, no",
74,,
75,"Color me your color, baby Color me your car Color me your color, darling I know who you are Come up off your color chart I know where you're comin' from Call me (call me) on the line Call me, call me any, anytime Call me (call me) my love You can call me any day or night Call me Cover me with kisses, baby Cover me with love Roll me in designer sheets I'll never get enough Emotions come, I don't know why Cover up love's alibi Call me (call me) on the line Call me, call me any, anytime Call me (call me) oh  love When you're ready we can share the wine Call me Oh, oh, oh, oh, oh, he speaks the languages of love Oh, oh, oh, oh, oh, amore, chiamami, chiamami Oh, oh, oh, oh, oh, appelle-moi mon cherie, appelle-moi Anytime, anyplace, anywhere, any way Anytime, anyplace, anywhere, any day-ay Call me (call me) my love Call me, call me any, anytime Call me (call me) for a ride Call me, call me for some overtime Call me (call me) my love Call me, call me in a sweet design Call me (call me), call me for your lover's lover's alibi Call me (call me) on the line Call me, call me any, anytime Call me (call me) Oh, call me, oh, oh, ah Call me (call me) my love Call me, call me any, anytime",
76,"Ooh, stop With your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse But there's nothing in it And you'll ask yourself Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' I was swimmin' in the Caribbean Animals were hiding behind the rock Except the little fish But they told me, he swears Tryin' to talk to me koi koy Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' With your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse If there's nothing in it And you'll ask yourself Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' Ooh With your feet in the air and your head on the ground Ooh Try this trick and spin it, yeah Ooh Ooh",
77,,
78,,
79,"Drink up baby doll Mmm are you in or out Leave your things behind 'Cause it's all going off without you Excuse me, too busy oh, writing a tragedy These mishaps you bubble wrap when You've no idea what you're like so let go And jump in Oh well whatcha waiting for It's all right 'Cause there's beauty in the breakdown (So let go) yeah let go And just get in Oh it's so amazing here It's all right 'Cause there's beauty in the breakdown It gains the more it give And it rises with the fall So hand me that remote Can't you see that all that stuff's a sideshow Such boundless pleasure We've no time for later now You can't await your own arrival You've twenty seconds to comply so let go And jump in Oh well whatcha waiting for It's all right 'Cause there's beauty in the breakdown (So let go) yeah let go And just get in Oh it's so amazing here It's all right 'Cause there's beauty in the breakdown And jump in Oh well whatcha waiting for It's all right 'Cause there's beauty in the breakdown (So let go) yeah let go And just get in Oh it's so amazing here It's all right 'Cause there's beauty in the breakdown Mmm the breakdown 'Cause there's beauty in the breakdown Hey, the breakdown So amazing, yeah 'Cause there's beauty in the breakdown",
80,,
81,,
82,,
83,,
84,,
85,"Hard time here and everywhere you go Times is harder than ever been before And the people are driftin' from door to door Can't find no heaven, I don't care where they go Hear me tell you people, just before I go  These hard times will kill you just dry long so Well, you hear me singin' my lonesome song  These hard times can last us so very long If I ever get off this killin' floor I'll never get down this low no more No-no, no-no, I'll never get down this low no more And you say you had money, you better be sure  'Cause these hard times will drive you from door to door Sing this song and I ain't gonna sing no more  Sing this song and I ain't gonna sing no more  These hard times will drive you from door to door",
86,"I can ride my bike with no handlebars No handlebars No handlebars I can ride my bike with no handlebars No handlebars No handlebars Look at me, look at me Hands in the air like it's good to be Alive! And I'm a famous rapper Even when the paths are all crookedy I can show you how to do-si-do I can show you how to scratch a record I can take apart the remote control And I can almost put it back together I can tie a knot in a cherry stem I can tell you about Leif Ericson I know all the words to ""De Colores"" And ""I'm proud to be an American"" Me and my friend saw a platypus Me and my friend made a comic book And guess how long it took I can do anything that I want cause, look I can keep rhythm with no metronome No metronome No metronome And I can see your face on the telephone On the telephone On the telephone Look at me Look at me Just called to say that it's good to be Alive! In such a small world I'm all curled up with a book to read I can make money open up a thrift store I can make a living off a magazine I can design an engine sixty four Miles to a gallon of gasoline I can make new antibiotics I can make computers survive aquatic conditions I know how to run a business I can make you wanna buy a product Movers shakers and producers Me and my friends understand the future I see the strings that control the systems I can do anything with no assistance Cause I can lead a nation with a microphone With a microphone With a microphone And I can split the atoms of a molecule Of a molecule Of a molecule Look at me Look at me Driving and I won't stop And it feels so good to be Alive and on top My reach is global My tower secure My cause is noble My power is pure I can hand out a million vaccinations Or let 'em all die in exasperation Have 'em all healed of their lacerations Have 'em all killed by assassination I can make anybody go to prison Just because I don't like 'em and I can do anything with no permission I have it all under my command Because I can guide a missile by satellite By satellite By satellite And I can hit a target through a telescope Through a telescope Through a telescope And I can end the planet in a holocaust In a holocaust In a holocaust In a holocaust In a holocaust In a holocaust I can ride my bike with no handlebars No handlebars No handlebars I can ride my bike with no handlebars No handlebars No handlebars I can ride my bike without handlebars No handlebars No handlebars No handlebars",
87,,
88,,
89,,
90,,
91,"You are the sun, You are the only one, My heart is blue, My heart is blue for you Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen You are the sun, You are the only one, You are so cool, You are so rock & roll Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen You are the sun, You are the only one, You are so cool, You are so rock & roll, Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen",
92,A boy with a coin he found in the weeds With bullets and pages of trade magazines Close to a car that flipped on the turn When God left the ground to circle the world A girl with a bird she found in the snow Then flew up her gown and that?s how she knows That God made her eyes for crying at birth Then left the ground to circle the Earth A boy with a coin he crammed in his jeans Then making a wish he tossed in the sea Walked to a town that all of us burn When God left the ground to circle the world,
93,,
94,,
95,,
96,,
97,,
98,"All the modern things Like cars and such Have always existed They've just been waiting in a mountain For the right moment Listening to the irritating noises Of dinosaurs and people Dabbling outside Kahi Engin fylgist alveg Kahiiiiiii Sólin sekkur Kahi Engin sér við mér Það er sól thegar Andar inn í mér Hann bítur mig Hann bítur mig Já, hann kemur með Fylgir eftir mér Telur með Siglir eftir mér All the modern things Have always existed They've just been waiting To come out And multiply And take over It's their turn now Kahi Engin fylgist alveg Kahiiiiiii Sólin sekkur Kahi Engin sér við mér",
99,,
