,0,1,2
35,"My body's all offended Heats up a balloon And I give back his shame And I take back my power My body is my own My body is mine alone And I deserve protection And I can create it for you Is this what my body said? "";Use me Drain me Fall around me""; Is this what my body said? "";Engulf me I'm already dead""; I have a feel of things Cry and shakes the wall for you And I am moving to poison love  And drown the stars above you My body is my own My body is mine alone And I deserve protection And I can create it for you Is this what my body said? "";Use me Drain me Fall around me""; Is this what my body said? "";Engulf me I'm already dead""; Keep cutting myself on the edges of reality (x2) Is this what my body said? Keep cutting myself on the edges of "";Use me Reality Drain me Fall around me""; Is this what my body said? Keep cutting myself on the edges of "";Engulf me Reality I'm already dead"";",,
36,,,
37,"First, He's inched her latch down Anxious, Her hand begs, And now my distraction Distraction I will learn, To focus on Oh, you hoo hoo..., Cause you won't Recognize it, Stablize it Things take- take me To exception look for respect Respect Down- down there You're not a nice track footfall Round Will we still hold, Rain Things we couldn't do  Strive, For me to leave Rights of her, Rights Treasure her, Treasure Her freshness First  He's inched her latch down Anxious Oh, her hand begs And my distraction Distraction I will learn to, I will learn Focus on you, To focus on You hoo hoo..., Cause you won't Recognize it, Recognize Stablize it, Stablize it He even finds a way Supreme, man improves Lkie what might see Her life for everyone Will it still hold Rain Things we couldn't do Strive For me to give Rights of her Rights Treasure her Treasure Her freshness I will learn To focus on you You hoo hoo... Cause you won't (fade out) ",,
38,"I might be wrong I might be wrong I could have sworn I saw a light coming on I used to think I used to think There was no future left at all I used to think Start again begin again Let's go down the waterfall Think about the good times and never go back Never go back What would I do? What would I do? If I did not have you? Open up, let me in Let's go down the waterfall Have ourselves a good time It's nothing at all Nothing at all Nothing at all",,
39,"And the funny thing is it has no end I try to call you up, at 2am In a crowded bar, your ringer tones Grab my mind I can see you through the phone, The phone, the phone And I'm wide awake at home At home, at home So think I'll seem like [unknown] And hope you don't catch The bourbon on my breath My breath, my breath Catch a cab outside on Seventh Street And the cars fly through the Bowery I come to your door and I hear a moan Then another voice, so Christ, she's not alone Alone, alone And my heart sinks like a stone A stone, a stone And the tears won't even come I feel so numb So swept aside, so dumb So dumb, so dumb When the words are wrong And my patience gone Will you tell me Does this mean you're moving on? From the balcony, you call my name I see you standing in the rain Your words so dry, your face so wet Said I broke your heart, But it hasn't happened yet I'll bet, your friends all hate me now I get the strangest looks, From that bitchy crowd And though, they must think They have every reason to I guess I'm still not quite yet over you When the words are wrong And you're hanging on Another guy's arm Does this mean you're moving on?","And the funny thing is it has no end I try to call you up, at 2am In a crowded bar, your ringer tones Grab my mind I can see you through the phone, The phone, the phone And I'm wide awake at home At home, at home So think I'll seem like [unknown] And hope you don't catch The bourbon on my breath My breath, my breath Catch a cab outside on Seventh Street And the cars fly through the Bowery I come to your door and I hear a moan Then another voice, so Christ, she's not alone Alone, alone And my heart sinks like a stone A stone, a stone And the tears won't even come I feel so numb So swept aside, so dumb So dumb, so dumb When the words are wrong And my patience gone Will you tell me Does this mean you're moving on? From the balcony, you call my name I see you standing in the rain Your words so dry, your face so wet Said I broke your heart, But it hasn't happened yet I'll bet, your friends all hate me now I get the strangest looks, From that bitchy crowd And though, they must think They have every reason to I guess I'm still not quite yet over you When the words are wrong And you're hanging on Another guy's arm Does this mean you're moving on?",
40,"And the funny thing is it has no end I try to call you up, at 2am In a crowded bar, your ringer tones Grab my mind I can see you through the phone, The phone, the phone And I'm wide awake at home At home, at home So think I'll seem like [unknown] And hope you don't catch The bourbon on my breath My breath, my breath Catch a cab outside on Seventh Street And the cars fly through the Bowery I come to your door and I hear a moan Then another voice, so Christ, she's not alone Alone, alone And my heart sinks like a stone A stone, a stone And the tears won't even come I feel so numb So swept aside, so dumb So dumb, so dumb When the words are wrong And my patience gone Will you tell me Does this mean you're moving on? From the balcony, you call my name I see you standing in the rain Your words so dry, your face so wet Said I broke your heart, But it hasn't happened yet I'll bet, your friends all hate me now I get the strangest looks, From that bitchy crowd And though, they must think They have every reason to I guess I'm still not quite yet over you When the words are wrong And you're hanging on Another guy's arm Does this mean you're moving on?","And the funny thing is it has no end I try to call you up, at 2am In a crowded bar, your ringer tones Grab my mind I can see you through the phone, The phone, the phone And I'm wide awake at home At home, at home So think I'll seem like [unknown] And hope you don't catch The bourbon on my breath My breath, my breath Catch a cab outside on Seventh Street And the cars fly through the Bowery I come to your door and I hear a moan Then another voice, so Christ, she's not alone Alone, alone And my heart sinks like a stone A stone, a stone And the tears won't even come I feel so numb So swept aside, so dumb So dumb, so dumb When the words are wrong And my patience gone Will you tell me Does this mean you're moving on? From the balcony, you call my name I see you standing in the rain Your words so dry, your face so wet Said I broke your heart, But it hasn't happened yet I'll bet, your friends all hate me now I get the strangest looks, From that bitchy crowd And though, they must think They have every reason to I guess I'm still not quite yet over you When the words are wrong And you're hanging on Another guy's arm Does this mean you're moving on?",
41,,,
42,,,
43,,,
44,,,
45,Dum the dum dum girl the dum dum girl the dum dum girl The dum dum girl the dum dum girl the dum dum girl the dum dum girl Another sigh with no regret more coins inside her hands. One time to own respect now mercenary she stands. I'm no boy stealing pennies from the poor Break it down canY you see she's. Dum the dum dum girl the dum dum girl the dum dum girl . .. Another hand up on her hair time probably erased. Distate and so he's leff where guilt is out of place. I'm no boy stealing pennies from the poor . .. Dum the dum dum girl the dum dum girl the dum dum girl . . . I'm no boy stealing pennies from the poor . . . Dum the dum dum girl the dum dum girl the dum dum girl . . .,,
46,"I wanna hold 'em like they do in Texas plays Fold 'em, let 'em, hit me, raise it baby stay with me (I love it) Love Game intuition play the cards with spades to start And after he's been hooked I'll play the one that's on his heart Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh I'll get him hot, show him what I've got Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh, I'll get him hot, show him what I've got Can't read my Can't read my No he can't read my poker face (She's got me like nobody) Can't read my Can't read my No he can't read my poker face (She is gonna let nobody) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p poker face (Muh muh muh muh) I wanna roll with him a hard pair we will be A little gambling is fun when you're with me (I love it) Russian Roulette is not the same without a gun And baby when it's love, if its not rough it isn't fun, fun Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh I'll get him hot, show him what I've got Oh, oh, oh, oh, oh, oh-oh-e-oh-oh-oh, I'll get him hot, show him what I've got Can't read my Can't read my No he can't read my poker face (She's got me like nobody) Can't read my Can't read my No he can't read my poker face (She is gonna let nobody) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh) I won't tell you that I love you Kiss or hug you 'Cause I'm bluffing with my muffin I'm not lying I'm just stunning with my love glue gunnin' Just like a chick in the casino Take your bank before I pay you out I promise this, promise this Check this hand cause I'm marvelous Can't read my Can't read my No he can't read my poker face (She's got me like nobody) Can't read my Can't read my No he can't read my poker face (She is gonna let nobody) Can't read my Can't read my No he can't read my poker face (She's got me like nobody) Can't read my Can't read my No he can't read my poker face (She is gonna let nobody) Can't read my, Can't read my, No he can't read my poker face (She's got me like nobody) Can't read my Can't read my No he can't read my poker face (She is gonna let nobody) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh) P p p poker face, p p p poker face (Muh muh muh muh)",,
47,,,
48,"All around me are familiar faces Worn out places, worn out faces Bright and early for their daily races Going nowhere, going nowhere Their tears are filling up their glasses No expression, no expression Hide my head, I want to drown my sorrow No tomorrow, no tomorrow And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Children waiting for the day, they feel good Happy birthday, happy birthday Made to feel the way that every child should Sit and listen, sit and listen Went to school and I was very nervous No one knew me, no one knew me Hello teacher, tell me what's my lesson Look right through me, look right through me And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Enlarge your world Mad world",,
49,"All around me are familiar faces Worn out places, worn out faces Bright and early for their daily races Going nowhere, going nowhere Their tears are filling up their glasses No expression, no expression Hide my head, I want to drown my sorrow No tomorrow, no tomorrow And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Children waiting for the day, they feel good Happy birthday, happy birthday Made to feel the way that every child should Sit and listen, sit and listen Went to school and I was very nervous No one knew me, no one knew me Hello teacher, tell me what's my lesson Look right through me, look right through me And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Enlarge your world Mad world",,
50,"All around me are familiar faces Worn out places, worn out faces Bright and early for their daily races Going nowhere, going nowhere Their tears are filling up their glasses No expression, no expression Hide my head, I want to drown my sorrow No tomorrow, no tomorrow And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Children waiting for the day, they feel good Happy birthday, happy birthday Made to feel the way that every child should Sit and listen, sit and listen Went to school and I was very nervous No one knew me, no one knew me Hello teacher, tell me what's my lesson Look right through me, look right through me And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Enlarge your world Mad world",,
51,,,
52,"And it starts Sometime around midnight Or at least that's when You lose yourself For a minute or two As you stand Under the bar lights And the band plays some song About forgetting yourself for a while And the piano's this melancholy sound check To her smile And that white dress she's wearing You haven't seen her For a while But you know That she's watching She's laughing, she's turning She's holding her tonic like a crux The room suddenly spinning She walks up and asks how you are So you can smell her perfume You can see her lying naked in your arms And so there's a change In your emotions And all of these memories come rushing Like feral waves to your mind Of the curl of your bodies Like two perfect circles entwined And you feel hopeless, and homeless And lost in the haze Of the wine And she leaves With someone you don't know But she makes sure you saw her She looks right at you and bolts As she walks out the door Your blood boiling Your stomach in ropes And when your friends say what is it You look like you've seen a ghost And you walk Under the streetlights And you're too drunk to notice That everyone is staring at you And you so care what you look like The world is falling Around you You just have to see her You just have to see her You just have to see her You just have to see her You just have to see her And you know that she'll break you in two",,
53,"And speaking of Little Miss Catherine I feel swell, oh well Because losing you Was something I always... Did so well I guess I just can't tell anymore And the feeling I get when I see your clothes Spread out on my floor Oh, I'm such a bore, I'm such a bore I don't do anything anymore I just count these ceiling tiles falling through my floor Sorry, I really lost my head I'm sorry, I really lost my head But you know those words that you said They get stuck here in my head And this feeling I dread, it makes me wish I was dead Or just alone instead, I'll be alone instead I don't need anyone in my bed Just these ceiling tiles falling through my head Sorry, I really lost my head Oh, I'm so sorry, I really lost my head Oh, those words you said",,
54,"Got off a plane to the countryside I drove to the mountain and holding the ground There was crack on the corner and someone dead And fire coming out of the monkey's head Don't get lost in heaven, eh They got locks on the gate, hey Don't go over the edge, eh You'll make a big mistake, hey Put me in a cab to suburbia I just took a line but I wasn't with you There was more of it there, when I got back home But you had left me, you don't know my soul You're a whole bad mistake, yeah, you're a whole one Don't get lost in heaven, eh They got locks on the gate, hey Don't go over the edge, eh You'll make a big mistake, hey (big mistake) Aah You'll make a big mistake Aah You'll make a big mistake Aah You'll make a big mistake Aah",,
55,,,
56,"All around me are familiar faces Worn out places, worn out faces Bright and early for their daily races Going nowhere, going nowhere Their tears are filling up their glasses No expression, no expression Hide my head, I want to drown my sorrow No tomorrow, no tomorrow And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Children waiting for the day, they feel good Happy birthday, happy birthday Made to feel the way that every child should Sit and listen, sit and listen Went to school and I was very nervous No one knew me, no one knew me Hello teacher, tell me what's my lesson Look right through me, look right through me And I find it kinda funny, I find it kinda sad The dreams in which I'm dying are the best I've ever had I find it hard to tell you, I find it hard to take When people run in circles it's a very very Mad world, mad world Enlarge your world Mad world",,
57,"Pull him away Jealous so with me Go there for new For new things there Singing of a famous street I want to love, I've all the wrong glory But is it Heaven or Las Vegas? But you're much more brighter than the sun is to me He's a hustler It's a role he'll never make suit Hang on to this Stay and stay and fail and fail Pull him away Jealous so with me Go there for new For new things there Singing of a famous street I want to love, I've all the wrong glory But is it Heaven or Las Vegas? But you're much more brighter than the sun is to me Reaching this itch in my soul Is like any good playing card Must be why I'm thinking of Las Vegas Why it's more brighter than the sun is to me Carnivals are bluster loud I'm dizzy so I go under the 'Big Dipper' Cum fantasy for a carnival How fitting before a wedding Singing of a famous street I want to love, I've all the wrong glory But is it Heaven or Las Vegas? But you're much more brighter than the sun is to me Reaching this itch in my soul Is like any good playing card Must be why I'm thinking of Las Vegas Why it's more brighter than the sun is to me Maybe then you will swear This is hardly personal I suspect I'm singing to a tune And still find that beats singing to your sone",,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,"Bitches ain't shit  Bitches ain't shit  Bitches ain't shit but hoes and tricks  Lick on deez nutz and suck the dick  lets get the fuck out after you're done  And I hops in my ride to make a quick run I used to know a bitch named Eric Wright  We used to roll around and fuck the hoes at night  Tight than a motherfucker with the gangster beats  And we was ballin' on the motherfuckin' Compton streets  Peep, that shit got deep and it was on  Number 1 song after number 1 song  Long as my motherfuckin' pockets was fat  I didn't give a fuck where the bitch was at  But she was hangin' with a white bitch doin' the shit she do  Suckin' on his dick just to get a buck or 2  And the ends she got didn't mean nothin'  Now she's suing cause the shit she be doin' ain't shit  Bitches can't hang with the streets, she found herself short  So now she's takin' me to court  It's real conversation for your ass  I once had a bitch named Mandy May  Used to be up in them guts like everyday  The pussy was the bomb, had a nigga on sprung  I was in love like a motherfucker lickin' the pro-tung  The homies used to tell me that she wasn't no good  But I'm the maniac in black, Mr. Snoop Eastwood  So I figure niggas wouldn't trip with mine  Guess what? Got gaffled by one time  I'm back to the motherfuckin' county jail  6 months on my chest, now it's time to bail  I get's released on a hot sunny day  My nigga D.O.C. and my homey Dr Dre  Scooped in a coupe, Snoop we got news  Your girl was trickin' while you was draped in your county blues  I ain't been out a second  And already gotta do some motherfuckin' chin checkin' Move up the block as we groove down the block  See my girl's house, Dre, pass the glock  Kick in the do', I look on the flo'  It's my little cousin Daz and he's fuckin' my hoe, yo  I un-cocked my shit, I'm heart-broke but I'm still loc'ed  Man, fuck that bitch!  Bitches ain't shit but hoes and tricks  Lick on deez nutz and suck the dick  lets get the fuck out after you're done  And I hops in my ride to make a quick run I used to know a bitch named Eric Wright  We used to roll around and fuck the hoes at night  Tight than a motherfucker with the gangster beats  And we was ballin' on the motherfuckin' Compton streets  Peep, that shit got deep and it was on  Number 1 song after number 1 song  Long as my motherfuckin' pockets was fat  I didn't give a fuck where the bitch was at  But she was hangin' with a white bitch doin' the shit she do  Suckin' on his dick just to get a buck or 2  And the ends she got didn't mean nothin'  Now she's suing cause the shit she be doin' ain't shit  Bitches can't hang with the streets, she found herself short  So now she's takin' me to court  It's real conversation for your ass  Bitches can't hang with the streets",,
66,"We saw the western coast I saw the hospital Nurse the shoreline like a wound Reports of lover's tryst Were neither clear nor descript We kept it safe and slow The quiet things that no one ever knows Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Then today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals I contemplate the day we wed Your friends are boring me to death Your veil is ruined in the rain By then you like to do without There's nothing new to talk about And though our kids are blessed, the parents let them shoulder all the blame Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals I lie for only you And I lie well Halleluh Keep the blood in your head and keep your feet on the ground Today's the day it gets tired Today's the day we drop down Give up my body in bed All for an empty hotel Wasting words on lowercases and capitals",,
67,,I'll say goodbye to love No one ever cared if I should live or die Time and time again the chance for love has passed me by And all I know of love Is how to live without it I just can't seem to find it So I've made my mind up  I must live my life alone And though it's not the easy way I guess I've always known I'd say goodbye to love There are no tomorrows for this heart of mine Surely time will lose these bitter memories And I'll find that there is someone to believe in And to live for something I could live for All the years of useless search Have finally reached an end Loneliness and empty days will be my only friend From this day love is forgotten I'll go on as best I can What lies in the future Is a mystery to us all No one can predict the wheel of fortune as it falls There may come a time when I will see tha I've been wrong But for now this is my song And it's goodbye to love I'll say goodbye to love,
68,"And all the masks I carry on my face For you, for another Some calm and then some grace But once within a long and broken night A face like mine, bereft of dreams and white This is a song, this is a song A song for a departure This is a song This is a song, this is a song A song to take you homewards This is a song Maybe this strangeness only ever was To hide ourselves from some kind of happiness But always the moment it just seems to stay Tearing it off like so many calendar days This is a song, this is a song A song for a departure This is a song This is a song, this is a song A song to break your heart to This is a song This is a song, this is a song A song for broken lovers This is a song This is a song, this is a song A song to take you homewards This is a song This is a song, this is a song A song to break your heart to This is a song",,
69,,,
70,,,
71,,,
72,,,
73,,,
74,"Keep the noise low She doesn't wanna blow it Shaking head to toe while your left hand does ""the show me around"" Quickens your heartbeat It beats me straight into the ground You don't recover from a night like this A victim, still lying in bed, completely motionless A hand moves in the dark to a zipper Hear a boy bracing tight against sheets barely whisper, ""This is so messed up"" Upon arrival the guests had all stared Dripping wet and clearly depressed, he'd headed straight for the stairs No longer cool, but a boy in a stitch, unprepared for a life full of lies and failing relationships (Up the stairs: the station where the act becomes the art of growing up) He keeps his hands low He doesn't wanna blow it He's wet from head to toe and his eyes give her the up and the down His stomach turns and he thinks of throwing up But the body on the bed beckons forward and he starts growing up The fever, the focus The reasons that I had to believe you weren't too hard to sell Die young and save yourself The tickle, the taste of It used to be the reason I breathed but now it's choking me up Die young and save yourself She hits the lights This doesn't seem quite fair Despite everything he learned from his friends, he doesn't feel so prepared She's breathing quiet and smooth He's gasping for air ""This is the first and last time, "" he says She fakes a smile and presses her hips into his He keeps his hands pinned down at his sides He's holding back from telling her exactly what it really feels like He is the lamb, she is the slaughter She's moving way too fast and all he wanted was to hold her Nothing that he tells her is really having an effect He whispers that he loves her, but she's probably only looking for se- (Up the stairs: the station where the act becomes the art of growing up) So much more than he could ever give A life free of lies and a meaningful relationship He keeps his hands pinned down at his sides He waits for it to end and for the aching in his guts to subside The fever, the focus The reasons that I had to believe you weren't too hard to sell Die young and save yourself The tickle, the taste of It used to be the reason I breathed but now it's choking me up Die young and save yourself Up the stairs: the station where the act becomes the art of growing up The fever, the focus The reasons that I had to believe you weren't too hard to sell Die young and save yourself The tickle, the taste of It used to be the reason I breathed but now it's choking me up Die young and save yourself ""The people, the focus  The reasons that I had to believe you weren't too hard to settle  Die young and save yourself  They take all the taste out  It used to be the reason that we're even, now it's choking me up  Die young and save yourself""]",,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,"In my dreams I'm dying all the time Then I wake it's kaleidoscopic mind I never meant to hurt you I never meant to lie So this is goodbye? This is goodbye Tell the truth, you've never wanted me Tell me In my dreams I'm jealous all the time When I wake I'm going out of my mind Going out of my mind",,
83,,,
84,"All the leaves are brown (all the leaves are brown) And the sky is grey (and the sky is grey) I've been for a walk (I've been for a walk) On a winter's day (on a winter's day) I'd be safe and warm (I'd be safe and warm) If I was in L.A. (if I was in L.A.) California dreamin' (California dreamin') On such a winter's day Stopped into a church I passed along the way Well, I got down on my knees (got down on my knees) And I pretend to pray (I pretend to pray) You know the preacher like the cold (preacher like the cold) He knows I'm gonna stay (knows I'm gonna stay) California dreamin' (California dreamin') On such a winter's day All the leaves are brown (all the leaves are brown) And the sky is grey (and the sky is grey) I've been for a walk (I've been for a walk) On a winter's day (on a winter's day) If  I didn't tell her (if I didn't tell her) I could leave today (I could leave today) California dreamin' (California dreamin') On such a winter's day (California dreamin') On such a winter's day (California dreamin') On such a winter's day",,
85,,,
86,,,
87,,,
88,"Bones sinking like stones All that we've fought for Homes, places we've grown All of us are done for We live in a beautiful world Yeah we do Yeah we do We live in a beautiful world Bones sinking like stones All that we've fought for Homes, places we've grown All of us are done for We live in a beautiful world Yeah we do Yeah we do We live in a beautiful world We live in a beautiful world Yeah we do Yeah we do We live in a beautiful world Oh all that I know There's nothing here to run from Cause here Everybody here's got somebody to lean on",,
89,My friends feel it's their appointed duty They keep trying to tell me all you want to do is use me But my answer yeah to all that use me stuff Is I want to spread the news that if it feels this good getting used Oh you just keep on using me until you use me up Until you use me up My brother sit me right down and he talked to me He told me that I ought not to let you just walk on me And I'm sure he meant well yeah but when our talk was through I said brother if you only knew you'd wish that you were in my shoes You just keep on using me until you use me up Until you use me up Oh sometimes yeah it's true you really do abuse me You get in a crowd of high class people and then you act real rude to me But oh baby baby baby baby when you love me I can't get enough I and I want to spread the news that if it feels this good getting used Oh you just keep on using me until you use me up Until you use me up Talking about you using me but it all depends on what you do It ain't too bad the way you're using me 'Cause I sure am using you to do the things you do Ah ha to do the things you do,,
90,,,
91,"It's been so long That I haven't seen your face I'm tryna be strong But the strength I have is washing away It wont be long before I get you by my side And just hold you, tease you, squeeze you Tell you what's been on my mind I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na I wanna make up right now na na I wanna make right now na na Wish we never broke up right now na na We need to link up right now na na Girl I know, mistakes were made between us two And we show our ass that night even said somethings weren't true Why'd you go and haven't seen my girl since then Why can't it be the way it was 'Cause you were my homie, lover and friend I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na I can't lie I miss you much Watching everyday that goes by I miss you much Till I get you back I'm gonna cry Yes I miss you much 'Cause you are the apple of my eye Girl I miss you much I miss you much I can't lie I miss you much Watching everyday that goes by I miss you much Tell I get you back I'm gonna cry Yes I miss you much Yes you are the apple of my eye Girl I miss you much I miss you much I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na I wanna make love right now na na I wanna make love right now na na Wish we never broke up right now na na We need to link up right now na na I want you to fly with me Want you to fly I miss how you lie with me Miss how you lie Just wish you could dine with me Wish you could dine with me One that would grind with me One that would grind with me I want you to fly with me Want you to fly I miss how you lie with me Oh miss how you lie Just wish you could dine with me Wish you could dine One that would grind with me Oh one that would grind I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na I wanna make up right now na na I wanna make up right now na na Wish we never broke up right now na na We need to link up right now na na",,
92,"Cigarettes and chocolate milk These are just a couple of my cravings Everything it seems I like's a little bit stronger A little bit thicker, a little bit harmful for me If I should buy jellybeans Have to eat them all in just one sitting Everything it seems I like's a little bit sweeter A little bit fatter, a little bit harmful for me And then there's those other things Which for several reasons we won't mention Everything about 'em is a little bit stranger, a little bit harder A little bit deadly It isn't very smart Tends to make one part So brokenhearted Sitting here remembering me Always been a shoe made for the city Go ahead accuse me of just singing about places With scrappy boys faces have general run of the town Playing with prodigal sons Takes a lot of sentimental Valiums Can't expect the world to be your Raggedy Andy While running on empty you little old doll with a frown You got to keep in the game Retaining mystique while facing forward I suggest a reading of a lesson in tightropes Or surfing your high hopes or adios Kansas It isn't very smart Tends to make one part So brokenhearted Still there's not a show on my back Holes or a friendly intervention I'm just a little bit heiress, a little bit Irish A little bit Tower of Pisa Whenever I see ya So please be kind, if I'm a mess Cigarettes and chocolate milk Cigarettes and chocolate milk",,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,"Kickin' it out Your dream vacation Small hostage refuge A work in progress You bleed just like you puke while running a mile I beg to differ Make me an offer Warm summer rain You bleed just like you puke while running a mile Hey, are you okay? You look pretty low Very handsome awkward Do you feel okay? You look pretty low Very handsome awkward Your market value Your resurrection (your resurrection) Your shallow concept; help yourself I hope you choke and you die I know you meant it Nice fucking disguise (so hollow) Embrace the burn You bleed just like you puke while running a mile Hey, are you okay? You look pretty low Very handsome awkward Do you feel okay? You look pretty low Very handsome awkward You look pretty low You look pretty low Your dream vacation Small hostage refuge A work in progress You bleed just like you puke while running a mile I beg to differ Make me an offer Warm summer rain You bleed just like you puke while running a mile Hey, are you okay? You look pretty low Very handsome awkward Do you feel okay? You look pretty low Very handsome awkward Do you feel okay (okay)? You look pretty low Pretty low, pretty low Pretty handsome awkward Do you feel okay? You look pretty low Pretty low, pretty low (Handsome awkward) Pretty handsome awkward (Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, kickin' it out Yeah, yeah, pretty low, yeah, yeah, kickin' it out, pretty low!)",,
103,,,
104,,,
105,,,
106,,,
