,0,1,2,3,4
26,"Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh, huh! Whooooo-hoooo-oooooo-ooooooo-ooo-ohhhhhh-heyyyyhoooahhooh Something about the music, she always makes me dance Something about the music, she always makes me dance She turns me on and on, and all about She was a freak, never missin' a beat, yeah. She was a freak, boy was it neat, yeah. Not just knee deep, she was totally deep, When she did the freak with me. She did the freak, never missin' a beat, yeah. She did the freak, boy was it neat, yeah. She's a freak The girl is a freak, the girl never misses a beat, yeah yeah Not just knee deep, she was totally deep When she did the freak with me. She did the jerk. It didn't work, no. She did the monkey. It wasn't funky, no more. Chicken wasn't pickin'. Not just knee deep, she was totally deep When she did the freak with me. She turns me on and on, and all about. (Round and round) She's the freak of my desire (Round and round she goes) And when she dance she sets the world on fire (Round and round she goes) The little girl is the freak of the week. (Round and round she goes) When she dance she gives me happy feet (Round and round she goes) She's the freak of my desire And when she dance she sets the world on fire (Round and round she goes) She's givin' me happy feet Yeah, she's the freak of the week! She was a freak, never missin' a beat, yeah. She was a freak, boy was it neat, yeah. Not just knee deep, she was totally deep, When she did the freak with me. She did the jerk. It didn't work, no. I did the moose. Oh no, not the moose! Monkey wasn't funkin' Chicken wasn't pickin' But she was not just knee deep, she was totally deep When she did the freak with me Hey! Something about the music, it got into my dance Something about the music, it got into my pants (x10) She turns me on and on, and all about. Freak of the week She turns me on and on, and all about. Something about the music (x10) Something about the music got into my pants Something about the music She's a big ol' freak, the girl's a big ol' freak She's the freak of the week She turns me on and on She was a freak  She was a freak  Not just knee deep, she was totally deep When she did the freak with me She did the jerk. It didn't work, no. I did the moose. Oh no, not the moose! Not just knee deep, she was totally deep When she did the freak with me She turns me on and on Ooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh Di-di-di-di di di-di Ants in my pants and I need to dance I got ants in my pants and I need to dance Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh, hoo-hoo! Something about the music, about the music Something about the music, it got into my dance Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh Something about the music  Something about the music  Something about the music got into my pants Something about the music She's a big ol' freak, the girl's a big ol' freak She's the freak of the week She's a big ol' freak, just a big ol' freak She's the freak of the week You turned me on and out  You turned me on and out Not just knee deep, she was totally deep When she did the freak with me Not just knee deep, she was totally deep When she did the freak with me She did the freak  She did the freak  She did the freak  She did the freak  Not just knee deep, she was totally deep When she did the freak with me She did the jerk, It didn't work, no Oooooooh-ooh-ohh-ohh  Oooooooh-ooh-ohh-ohh  Oooooooh-ooh-ohh-ohh  Oooooooh-ooh-ohh-ohh  Oooooooh-ooh-ohh-ohh  Oooooooh-ooh-ohh-ohh  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Something about the music  Doo-doo-doo-doo doo doo-doo Ants in my pants and I need to dance I got ants in my pants and I need to dance Chicken ain't lickin', the moose wasn't cookin' Oh, but your music grooved me, it moved me That music and the beat HA! Started tryin' liberating my feet Can this be me, immersed in funk so deep? Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh Ants in my pants and I need to dance Ants in my pants and I need to dance Now get on up She's a big ol' freak, the girl's a big ol' freak She's the freak of the week She's a big ol' freak, just a big ol' freak She's the freak of the week You turned me on and out (x2) Not just knee deep, she was totally deep When she did the freak with me Not just knee deep, she was totally deep When she did the freak with me She did the freak (x3) She was so funky The girl's a freak, the girl never misses a beat, yeah yeah Not just knee deep, she was totally deep When she did the freak with me She did the jerk It didn't work, no Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh Whooooo-hoooo-oooooo-ooooooo-ooo-ohh-ohh-ohhhhhhhhh Something about the music, it got into my dance Something about the music, it got into my pants  Something about the music, it got into my pants Chicken wasn't pickin' Monkey wasn't funky Something about the music, it got into my pants Something about the music Something about the music  Whoa, whoa, whoa Make no mistake The most funky music got what it takes To groove you some time Knock you down Make you want to turn around and do it one more time, yeah Something about the music The music grooved me, yeah Ants in my pants and I need to dance I got ants in my pants and I need to dance Whoo! Chicken ain't pickin', the moose wasn't cookin' Oh, but your music moved me, it grooved me That music and the beat Huh! Started tryin' liberating my feet Ah! Can this be me, immersed in funk so deep? Ants in my pants and I need to dance Ants in my pants and I need to dance Something about the music, it got into my dance She's a big ol' freak, the girl's a big ol' freak She's the freak of the week She's a big ol' freak, just a big ol' freak She was the freak of the week You turned me on and out You turned me on and out Not just knee deep, she was totally deep When she did the freak with me Not just knee deep, she was totally deep When she did the freak with me She did the freak Huh! She did the freak She did the freak",,,,
27,I hung around On the planet Mabel She tried to stand But she was not able She tried to find the truth She tried to colonize space She only had a few But it was a good race Old black dawning is coming on Old black dawning is coming on Old black dawning Old black dawning I'm always happy to Go down to old Tucson After you had your fun It's time to move on I've got a favorite story About the tower of Babel Some say it's true And some say it's a fable Old black dawning is coming on Old black dawning is coming on Old black dawning Old black dawning,,,,
28,,,,,
29,Across the floor in the hand of where we drove the drill A cautious ear to the mouth of your confession Think of all the things we put him through In the face of his god would he tell the truth? Still recorded were the words that dribbled out his kiss When eyes go blind in this man of what could once become Sever the limbs off his torso in sleep And burn what remains so the world may now see No longer...will we wait for your answers Back to the hell where you've come from Think of all the times you've once had Write them in a letter that says goodbye You'll listen to reason while you're face down in the dirt You'll stomach the hurt and break for him here just how much he's worth Slowly discarded were the remains of his lonely youth Among the alley where the dwellers scare to notice Picture a young boy in pieces and streets with leveled malfunctions No name to be called redeemer We'll fix him restore him...with the love is no other Think of all the things you did before Write them in a letter that says reborn You'll listen to reason while you're face down in the dirt You'll stomach the hurt and break for him here just how much he's worth Following you across the interstate walking away...I'll fire on Following you across the interstate walking away...I'll fire on Following you across the interstate walking away...I'll fire on On the wrong way out On the causeway to neverwhere On the wrong way out On the causeway to neverwhere On the wrong way out On the causeway to neverwhere Dear my friends in the time we've spent forever after beyond this when will our nightmare ever end? Dear my friends in the time we've spent forever after beyond this when will our nightmare ever end? Pull the trigger and the nightmare stops... Pull the trigger and the nightmare stops... Pull the trigger and the nightmare stops...forever you will learn[3x],,,,
30,,,,,
31,"Our whole universe was in a hot, dense state Then nearly fourteen billion years ago expansion started, wait The earth began to cool, the autotrophs began to drool Neanderthals developed tools We built a wall (we built the pyramids) Math, science, history, unraveling the mysteries That all started with the big bang! Hey! Since the dawn of man is really not that long As every galaxy was formed in less time than it takes to sing this song A fraction of a second and the elements were made The bipeds stood up straight, the dinosaurs all met their fate They tried to leap but they were late And they all died (they froze their asses off) The oceans and Pangea, see ya wouldn't wanna be ya Set in motion by the same big bang! It all started with the big bang! It's expanding ever outward but one day It will cause the stars to go the other way Collapsing ever inward, we won't be here, it won't be hurt Our best and brightest figure that it'll make an even bigger bang! Australopithecus would really have been sick of us Debating how we're here, they're catching deer (we're catching viruses) Religion or astronomy (Descartes or Deuteronomy) It all started with the big bang! Music and mythology, Einstein and astrology It all started with the big bang! It all started with the big bang!",,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,"Come on Eileen Come on Eileen Poor old Johnny Ray Sounded sad upon the radio But he moved a million hearts in mono Our mothers cried, sang along, who'd blame them You're grown (so grown up) So grown (so grown up) now I must say more than ever Come on Eileen Too ra loo ra too ra loo rye aye And we can sing just like our fathers Come on Eileen, oh I swear (what he means) At this moment, you mean everything You in that dress, my thoughts I confess Verge on dirty Ah, come on Eileen Come on Eileen These people 'round here Wear beat down eyes sunk in smoke dried faces They're resigned to what their fate is But not us, (no never) no not us (no never) We are far to young and clever Remember Too ra loo ra too ra loo rye aye And you'l hum this tune forever Come on Eileen oh I swear (what he means) Ah come on lets, take off everything That pretty red dress, Eileen (tell him yes) Ah come on lets, ah come on Eileen That pretty red dress, Eileen (tell him yes) Ah come on lets, ah come on Eileen, please Come on Eileen too rye aye Come on Eileen too rye aye Now you're full grown Now you have shown Oh, Eileen Said, come on Eileen These things they are real and I know How you feel Now I must say more than ever Things round here have changed I say, too ra loo ra, too ra-loo rye aye Come on Eileen Oh, I swear (what he means) At this moment, you mean everything You in that dress, my thoughts I confess Verge on dirty Aah, come on Eileen Oh, come on Eileen Oh, I swear (what he means) At this moment, you mean everything In that dress, oh my thoughts I confess Well, they're dirty Come on Eileen Come on Eileen",,,,
37,"Well baby how the weeks fade Baby was the best part of your youth a sensation Yeah that's a change I never thought I'd end up fooling you Do you hear what they say? All these people living up in my street Well they say 'Out of touch, she lives in faded dreams' Renee Renee Renee Renee Baby how the weeks fade Baby how the streets change Renee Renee Renee Renee Baby how the weeks fade And maybe when the cheat plays  Maybe when the ace  Falls from his suit  And he tells you  ""Yeah that's the game.  I didn't want to lose it on the two""  You're playing his way,  But the prize that you've been  Losing was youth  And I say  ""Throw the ace,  And face up to the truth""  Renee Renee Renee Renee Baby how the weeks fade Baby how the streets change Renee Renee Renee Renee But baby how the weeks fade Renee Renee Renee Renee Baby how the weeks fade Baby how the streets change Renee Renee Renee Renee But baby as the weeks change And we've seen quite a few I don't know who's fooling who I'm fooling you",,,,
38,,,,,
39,"If I told you a secret You won't tell a soul Will you hold it and Keep it alive Cause it's burning a hole And I can't get to sleep And I can't live alone In this lie So look up, take it away Don't look down The mountain If the world isn't turning Your heart won't return Anyone, anything, anyhow So take me, don't leave me Take me, don't leave me Baby, love will come through It's just waiting for you And you stand at the crossroads Of highroads and low roads And I've got a feeling It's right If it's real what I'm feeling There's no make believing The sound of the wings Of the flight Of a dove, take it away Don't look down The mountain If the world isn't turning Your heart won't return Anyone, anything, anyhow So take me, don't leave me Take me, don't leave me Baby, love will come through It's just waiting for you Oh, look up, take it away Don't look down If the world isn't turning Your heart won't return Anyone, anything, anyhow So take me, don't leave me Take me, don't leave me Baby, love will come through It's just waiting for you Love will come through Love will come through Love will come through",,,,
40,,,,,
41,,,,,
42,,,,,
43,"It's a kind of magic It's a kind of magic A kind of magic - no way One dream, one soul, one prize One goal, one golden glance of what should be It's a kind of magic One shaft of light that shows the way No mortal man can win this day It's a kind of magic The bell that rings inside your mind Is challenging the doors of time It's a kind of magic The waiting seems eternity The day will dawn of sanity Ooh ooh ooh ooh Is this a kind of magic? It's a kind of magic There can be only one This rage that lasts a thousand years Will soon be done This flame that burns inside of me I'm hearing secret harmonies It's a kind of magic The bell that rings inside your mind Is challenging the doors of time It's a kind of magic It's a kind of magic This rage that lasts a thousand years Will soon be, will soon be, will soon be done This is (this is) a kind (a kind) of magic (yeah) There can be only one one one one This rage that lasts a thousand years Will soon be done - done Magic - it's a kind of magic It's a kind of magic Magic magic magic (magic) Ha ha ha haa - it's magic Ha haa Yeah yeah Wooh It's a kind of magic",,,,
44,"They say that we ain't got the style, We ain't got the class, We ain't got the tunes that's goin to put us on the map And I'm a phony in disguise, Trying to make the radio, I'm an anti-social anarchist, I sound like so and so, They say I'm just a stupid kid, Another crazy radical, Rock and roll is dead I probably should've stayed in school, Another generation X who somehow slipped up through the cracks, Oh they'd love to see me fall but I'm already on my back And it goes In One Ear, And right out the other, People talkin' shit but you know I never bother, I goes In One Ear, And right out the other, People talkin' shit, They can kiss the back of my hand Now I know I'm not a saint, I been a sinner all my life, I ain't tryin to hide me flaws, I'd rather keep them in the light, They wanna criticise, scrutinize, Cast another stone, Burn me at the stake and sit and watch it from their throne, They say the devil is my pal, I do a lotta drugs! The crowd will only like me if they're really fuckin' drunk, They think they know my thoughts, But they don't know the least, If they listened to the words they'd find the message tucked beneath But it goes In One Ear, And right out the other, People talkin shit even though they never bother, It goes In One Ear, And right out the other, People talkin' shit, they can kiss the back of my hand (You hear that You hear what's coming? Oh you better run for the hills, Cause we're coming to your town, and we're gonna burn that mother fucker down!) Here's the moral to the story, We don't do it for the glory, We don't do it for the money, We don't do it for the fame So all the critics who despise us, go ahead and criticize us, It's your tyranny that drives us, adds the fire to our flames And it goes In One Ear, And right out the other, People talkin' shit but you know we'll never bother, It goes In One Ear, And right out the other, I'm only playing music cos you know I fucking love it, It goes In One Ear, And right out the other, People talkin' shit but you know we'll never bother, It goes In One Ear, and right out the other, People talkin' shit well you know they can kiss the back of my hand.",,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,"Ooh, stop With your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse But there's nothing in it And you'll ask yourself Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' I was swimmin' in the Caribbean Animals were hiding behind the rock Except the little fish But they told me, he swears Tryin' to talk to me koi koy Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' With your feet in the air and your head on the ground Try this trick and spin it, yeah Your head will collapse If there's nothing in it And you'll ask yourself Where is my mind Where is my mind Where is my mind Way out in the water See it swimmin' Ooh With your feet in the air and your head on the ground Ooh Try this trick and spin it, yeah Ooh Ooh",,,,
50,"Yeah, (can you get) what you see But you can't have what you can't Hey, what's come down over me It's the way you stood, it's the way you stood 'Cause things the way they are I guess you might go real far So feed me with your kiss Oh, come lie down close to me Do what you dare, oh I don't care I will get what I can see I'll crawl over there, I'll crawl over there I do what I do I do what I will do Crave, your kiss will set you free I'll do what I should, I'll do what I should",,,,
51,,,,,
52,I'd like to know completely What others so discreetly Talk about when they leave me Not that I notice when they're gone It's eery and so scary I don't know who to worry Your sister came to beat me Oh your sister came to beat me But I'll love it when you blink your eyes Oh I I want to know my body I want this out not in me I want to know no secrets yet I'll leave Oh I'll leave care It's saved me once too often You'll never know her often I've pictured you in coffins My baby in a coffin But I'll love it when you blink your eyes Oh I'd I want to know my body I want this out not in me I want no other leakage I want to know no secrets yet I'll leave Oh I'll leave No I'll leave care Free of distortions Free of distortions Free of distortions Free of distortions Free of distortions Free of distortions,,,,
53,,,,,
54,"I hope I'm dreaming, 'cause this can't be awake I hope I'm dead, just for my sake Who knew all this would come, from a dirty gun Son of a bitch who thought he was a cowboy The mad hatter bashes your face again Look into his eyes to see where evil lives Bullet through window, and down the rabbit hole This is one fucked up fairy tale Hey you! Black and blue, Don't end up like Alice Hey you! Black and blue, Watch out, you'll end up like Alice You'll get what's coming, you and your children The wicked witch has OD'ed on pills again And the Dragon, lights up a cigarette He's blowing smoke right into your face again It's off with her head, her snakes are seething The big bad wolf is rabid and teething Bullet through window, and down the rabbit hole This is one fucked up fairy tale Hey you! Black and blue, Don't end up like Alice Hey you! Black and blue, Watch out, you'll end up like Alice Little pig, little pig Put her down She's slapped around, choked and drowned Hey you! Black and blue, Don't end up like Alice Hey you! Black and blue, Watch out, you'll end up like Alice",,,,
55,"Is this the real life? Is this just fantasy? Caught in a landslide No escape from reality Open your eyes Look up to the skies and see I'm just a poor boy, I need no sympathy Because I'm easy come, easy go A little high, little low Anyway the wind blows, doesn't really matter to me, to me Mama, just killed a man Put a gun against his head Pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all away Mama, ooo Didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on, as if nothing really matters Too late, my time has come Sends shivers down my spine Body's aching all the time Goodbye everybody I've got to go Gotta leave you all behind and face the truth Mama, ooo (anyway the wind blows) I don't want to die I sometimes wish I'd never been born at all I see a little silhouetto of a man Scaramouch, scaramouch will you do the fandango Thunderbolt and lightning very very frightening me Gallileo, Gallileo, Gallileo, Gallileo, Gallileo Figaro - magnifico But I'm just a poor boy and nobody loves me He's just a poor boy from a poor family Spare him his life from this monstrosity Easy come easy go will you let me go Bismillah! No we will not let you go - let him go Bismillah! We will not let you go - let him go Bismillah! We will not let you go let me go Will not let you go let me go (never) Never let you go let me go Never let me go ooo No, no, no, no, no, no, no Oh mama mia, mama mia, mama mia let me go Beelzebub has a devil put aside for me For me For me So you think you can stone me and spit in my eye So you think you can love me and leave me to die Oh baby, can't do this to me baby Just gotta get out just gotta get right outta here Ooh yeah, ooh yeah Nothing really matters Anyone can see Nothing really matters nothing really matters to me Anyway the wind blows",,,,
56,,,,,
57,,,,,
58,You're keeping in step In the line Got your chin held high and you feel just fine Because you do What you're told But inside your heart it is black and it's hollow and it's cold Just how deep do you believe? Will you bite the hand that feeds? Will you chew until it bleeds? Can you get up off your knees? Are you brave enough to see? Do you want to change it? What if this whole crusade's A charade And behind it all there's a price to be paid For the blood On which we dine Justified in the name of the holy and the divine Just how deep do you believe? Will you bite the hand that feeds? Will you chew until it bleeds? Can you get up off your knees? Are you brave enough to see? Do you want to change it? So naive To keep holding on to what I want to believe I can see But I keep holding on and on and on and on Will you bite the hand that feeds you? Will you stay down on your knees?,,,,
59,"Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Nah nah nah nah nah nah nah nah nah Hey Jude, don't let me down You have found her, now go and get her Remember to let her into your heart Then you can start to make it better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Nah nah nah nah nah nah nah nah nah yeah Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it Better better better better better better, oh Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude",,,,
60,,,,,
61,"And it stretches out again  And it seems I didn't win  I think I'll rest a while  So nice here on the tiles  The lights come washing in  I see you there over me  Shining your new trophy  I'm a casualty of you  Just a casualty of you  Opportunity for me to prove again how easily you just  Want you to stay with me  More than would die to be, your casualty  Your cast is setting well  At least I lived to tell  All the future casualties  The line starts after me  I'm a casualty of you  Just a casualty of you  Opportunity for me to prove again how easily you just  Want you to stay with me  More than would die to be, your casualty  You turn me on  You turn me on and on and on and on and on and on...  You turn me on  You turn me on and on and on and on and on and on...  You turn me on  Yeah you turn me, mmm you turn me",,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,"Grew up in a small town And when the rain would fall down I'd just stare out my window Dreamin' of what could be And if I'd end up happy I would pray Trying hard to reach out But when I tried to speak out Felt like no one could hear me Wanted to belong here But something felt so wrong here So I pray I could breakaway I'll spread my wings, and I'll learn how to fly I'll do what it takes till I touch the sky And I'll make a wish Take a chance Make a change And breakaway Out of the darkness and into the sun But I won't forget all the ones that I love I'll take a risk Take a chance Make a change And breakaway Want to feel the warm breeze Sleep under a palm tree Feel the rush of the ocean Get on board a fast train Travel on a jet plane Faraway And breakaway I'll spread my wings, and I'll learn how to fly I'll do what it takes till I touch the sky And I'll make a wish, take a chance, make a change And breakaway Out of the darkness and into the sun I won't forget all the ones that I love I gotta take a risk, take a chance, make a change And breakaway Buildings with a hundred floors Swinging 'round revolvin' doors Maybe I don't know where they take me But gotta keep movin' on Movin' on Fly away Breakaway I'll spread my wings, and I'll learn how to fly Though it's not easy to tell you goodbye I gotta take a risk, take a chance, make a change And breakaway Out of the darkness and into the sun But I won't forget the place I come from I gotta take a risk, take a chance, make a change And breakaway Breakaway Breakaway",,,,
67,,,,,
68,,,,,
