,0,1,2,3,4,5,6,7
13,"See this song ain't for everybody Only the sexy people You know who you are, hey baby I'ma take you back to the 80's, check this out This beat makes me reminisce Takes me back to our first kiss Carved our names on a big oak tree I heart you and you heart me New edition on the radio, I had a Commodore 64 We use to sit close on my bedroom floor But mama never let us close the door We used to hang outside until the lights came on Thought I was fresh to death with my Adidas on You'd kiss me on the cheek, I had a silly smile on Where has the time gone? I loved you since Thundercats, Thundercats, Thundercats, ho Back when MTV played music videos You told me get a Jheri curl, mama said no That's how long I've loved you Remember when I used to have a high top fade? Back when you use to rock a dookie braid Friendship bracelets in the eighth grade I loved you since back in the day Everyday after school I'd pop, you'd lock, we'd act a fool I was at your house, you was at mine Cosby Show at 8, Different World at 9 Motown 25, Michael moon walked for the very first time Meet you at the rink on Friday night We'd rock, we'd skate, hold hands real tight Girl, you would look so cute with your Jordache on Bet that you could still put those same jeans on Kiss me now and I'll have that silly smile on Girl you still turn me on and on and on, on, on I loved you since Thundercats, Thundercats, Thundercats, ho Back when MTV played music videos You told me get a Jheri curl, mama said no I loved you way back in the day Remember when I use to have a high top fade? Back when you use to rock a dookie braid Friendship bracelets in the eighth grade I loved you since back in the day Now everybody you know how we use to do In the parties back in the day You know how we use to do, stand right here I'mma stand right here We all get in a line and we all be like It's been a long time, I shouldn't have left you Without an old school jam to step to Remember when we'd do the Whop The whole crowd drop, do the Robo Cop Go girl do the Cabbage Patch Jam Master J killing on the scratch Members only, Kid 'n' Play That's how we did it back in the day I loved you since Thundercats, Thundercats, Thundercats, ho Back when MTV played music videos You told me get a Jheri curl, mama said no That's how long I've loved you Remember when I use to have a high top fade? Back when you use to rock a dookie braid Friendship bracelets in the eighth grade I loved you since back in the day I loved you since Thundercats, Thundercats, Thundercats, ho Back when MTV played music videos You told me get a Jheri curl, mama said no That's how long I've loved you Remember when I use to have a high top fade? Back when you use to rock a dookie braid Friendship bracelets in the eighth grade I loved you since back in the day Party, there's a party over here Party, there's a party over there Party, there's a party over here Party, there's a party over here Party, there's a party right there Party, there's a party right here",,,,,,,
14,,,,,,,,
15,"Could you believe The same old story It never bores me Though I've heard it all before. Her name was Georgia And she was gorgeous. When she adored ya The whole room would get to know. Like a movie that is filled with lust Coming at you with a double D bust. At the bed of a wounded soldier In a rush cause she's gettin' older. Hanging out in the fancy bars With the boys who can play guitar. Listen up 'cause I've got to warn ya She's gonna make it out in California. Hey you what's a good girl like you Doin' in this crazy world? Where's the good gone girl? Dance, dance to the life you wanted When you were only seventeen With your good girl dream. Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh good gone girl Could you believe The same old phonies Those painted ponies That you've ridden all before. Her name was April But she was hateful. Enough to make you Want to run right out the door. I can tell you what you want the most Hang around for the champagne toast. When the end of the night gets tricky Don't you know that beggars can't be picky? Lookin' out for a man who's golden Doesn't matter if he's old, he's rollin'. Coming at you like a desperate hunter Sugar daddy but he's just a munter. Hey you what's a good girl like you Doin' in this crazy world? Where's the good gone girl? Dance, dance to the life you wanted When you were only seventeen With your good girl dream. Dance, dance to the life you wanted When you were only seventeen With your good girl dream. Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh good gone girl She's walkin' around all over the town. Needs somebody to notice but the goodness gets her down. She's happy to choose somebody to use. Good gone girl she's got nothin' left to lose. She's walkin' around all over the town. Needs somebody to notice but the goodness gets her down. She's happy to choose somebody to use. Good gone girl she's got nothin' left to lose.",,,,,,,
16,"L is for the way you look at me. O is for the only one I see. V is very, very extraordinary. E is even more than anyone that you adore can. Love is all that I can give to you, Love is more than just a game for two. Two in love can make it. Take my heart and please don't break it, Love was made for me and you. L is for the way you look at me. O is for the only one I see. V is very, very extraordinary. E is even more than anyone that you adore can. Love is all that I can give to you, Love is more than just a game for two. Two in love can make it. Take my heart and please don't break it, Love was made for me and you. For me and you.",,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,"There's a first time for everything Its definitely one of them nights I knew when I looked in his eyes That he was gonna be trouble for me I never wanted to lie, I knew that my baby would cry If he knew what we were doing But if his love don't pass the test I gotta get it from somewhere else But I'm grown and I need my man Hope he understands forgive me baby I've gotta take a chance tonight So I'm doing me, myself an I Can't wait no more Sitting all alone Man I really hope Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) I Can't wait no more Man I really hope Hope you'll forgive me Bin along time since I Did something good for myself But why should I be put through hell Well hes doing what he wanna do Ive finally found somebody else Who with me makes me wanna feel Things that I've been missing so long And his love always passed the test But it's a shame I had to look somewhere else Well I'm gone and I need a man Forgive me baby I've gotta take a chance tonight So I'm doing me, myself an I Can't wait no more Sitting all alone Man I really hope Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) I Can't wait no more Man I really hope Hope you'll forgive me Forgive me but I need to be loved to Forgive me but I cant wait around for you Forgive me if I found a man who understands Just what I need Forgive me but I need to be loved to Forgive me but I cant wait around for you Forgive me if I found a man who understands Forgive me baby I've gotta take a chance tonight So I'm doing me, myself an I Can't wait no more Sitting all alone Man I really hope Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) Hope you'll forgive me (oh oh) I Can't wait no more Man I really hope Hope you'll forgive me I've gotta take a chance tonight So I'm doing me, myself an I can't wait no more Sitting all alone Man I really hope Hope you'll forgive me",,,,,,,
22,,,,,,,,
23,"Let´s go to the park I wanna kiss you underneath the stars Maybe we´ll go too far We just don´t care We just don´t care We just don´t care you know I love you when you loving me Sometimes it´s better when it´s publicly I´m not ashamed I don´t care who sees Just hugging & kissing our love exhibition all We rendezvous out on the fire escape I like to set up an alarm today The love emergency don´t make me wait Just follow I´ll lead you I urgently need you Let´s go to the park I wanna kiss you underneath the stars Maybe we´ll go too far We just don´t care We just don´t care We just don´t Let´s make love, let´s go somewhere they might discover us Let´s get lost in lies We just don´t care We just don´t care We just don´t care I see you closing down the restaurant Let´s sneak and do it when your boss is gone Everybody´s leaving we´ll have some fun Or maybe it´s wrong but you turn me on Ooh, we´ll take a visit to your Mama´s house Creep to the bedroom while your Mama´s out Maybe she will hear it when we scream and shout And we will keep it rocking until she comes knocking Let´s go to the park I wanna kiss you underneath the stars Maybe we´ll go too far We just don´t care We just don´t care We just don´t Let´s make love, let´s go somewhere they might discover us. Let´s get lost in lies We just don´t care We just don´t care We just don´t care If we keep up on this fooling around We´ll be the talk of the town I´ll tell the world I´m in love any time Let´s open up the blinds cause we really don´t mind Ooh I don´t care about the priority Let´s break the rules and ignore society Maybe our neighbor like to spy too So what if they watch when we do what we do Oh, let´s go to the park I wanna kiss you underneath the stars Maybe we´ll go too far We just don´t care We just don´t care We just don´t Let´s make love, let´s go somewhere they might discover us",,,,,,,
24,"I love the feeling when we lift off Watching the world so small below I love the dreaming when I think of The safety in the clouds out my window I wonder what keeps us so high up Could there be a love beneath these wings? If we suddenly fall should I scream out Or keep very quite and cling to my mouth? As I'm crying, so frightened of dying Relax, yes, I'm trying This fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me I love the quite of the night time When the sun is drowning in the deathly sea I can feel my heart beating as I speed from The sense of time catching up with me The sky set out like a pathway But who decides which route we take As people drift into a dream world I close my eyes as my hands shake And when I see a new day Who's driving this anyway I picture my own grave 'cause fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Floating neither up or down I wonder when I'll hit the ground Well, the earth beneath my body shake And cast your sleeping hearts awake Could it tremble stars from moon light skies? Could it drag a tear from your cold eyes? I live on the right side, I sleep in the left That's why everything's gotta be love or death Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me Yes, this fear's got a hold on me",,,,,,,
25,"I'm a fucking walking paradox, no I'm not Threesomes with a fucking triceratops, Reptar Rapping as I'm mocking deaf rock stars Wearing synthetic wigs made of Anwar's dreadlocks Bedrock, harder than a motherfucking Flintstone Making crack rocks out of pussy nigga fishbones This nigga Jasper trying to get grown About 5'7"" of his bitches in my bedroom Swallow the cinnamon, I'm a scribble this sin and shit While Syd is telling me that she's been getting intimate with men (Syd, shut the fuck up) Here's the number to my therapist (Shit) Tell him all your problems, he's fucking awesome with listening Jesus called, he said he's sick of the disses I told him to quit bitching and this isn't a fucking hotline For a fucking shrink, sheesh I already got mine And he's not fucking working, I think I'm wasting my damn time I'm clocking three past six and going postal This the revenge of the dicks, that's nine cocks that cock nines This ain't no V Tech shit or Columbine But after bowling, I went home for some damn Adventure Time (What'd you do?) I slipped myself some pink Xannies And danced around the house in all-over print panties My mom's gone, that fucking broad will never understand me I'm not gay, I just wanna boogie to some Marvin (What you think of Hayley Williams?) Fuck her, Wolf Haley robbing them I'll crash that fucking airplane that that faggot nigga B.o.B is in And stab Bruno Mars in his goddamn esophagus And won't stop until the cops come in I'm an over achiever, so how about I start a team of leaders And pick up Stevie Wonder to be the wide receiver Green paper, gold teeth and pregnant golden retrievers Is all I want, fuck money, diamonds and bitches, don't need them But where the fat ones at? I got something to feed them It's some cooking books, the black kids never wanted to read them Snap back, green ch-ch-chia fucking leaves It's been a couple months, and Tina still ain't perm her fucking weave, damn They say success is the best revenge So I beat DeShay up with the stack of magazines I'm in Oh, not again! Another critic writing report I'm stabbing any blogging faggot hipster with a Pitchfork Still suicidal I am I'm Wolf, Tyler put this fucking knife in my hand I'm Wolf, Ace gon' put that fucking hole in my head And I'm Wolf, that was me who shoved a cock in your bitch (What the fuck, man?) Fuck the fame and all the hype, G I just want to know if my father would ever like me But I don't give a fuck, so he's probably just like me A motherfuckin', Goblin (Fuck everything, man) That's what my conscience said Then it bunny hopped off my shoulder, now my conscience dead Now the only guidance that I had is splattered on cement Actions speak louder than words, let me try this shit, dead",,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,"Ain't no need of crying  When it's raining 'Cause crying only adds to the rain Ain't no need a worrying about your problem 'Cause worrying only adds to the pain If when you feel like you've been caught in a hurricane  (caught in a hurricane) You just wait on the sunshine after the rain Ah, let me tell you why. (oh-oh-oh-oh life) Life's got ups, just like it's got downs (oh-oh-oh-oh life) And life's got smiles, just like it's got frowns Ain't no need of crying  When it's raining Your crying may only make a flood Have a little faith in yourself That's all you need to do you some good. If they cut off the lights in your house  (in your little house) Don't you let them turn out the sunshine in your heart. Ah, let me tell you why (oh-oh-oh-oh life) Life's got ups, just like it's got downs (oh-oh-oh-oh life) And life's got smiles, just like it's got frowns (well) Look real hard Can't you see the sunshine? (can't you see the sunshine?) We wasn't born In a life of just good times. Thank the Lord above For the strength to see It's going to be all right (all right) All right (all right) For you (for you) And me (ee-he-he-ee-ee-ee-oo-oo-oo) Ain't no need of crying  (it's gonna be) When it's raining (all right) (all right) Ain't no need of crying  When it's raining (Everything is gonna be all right) Ain't no need of crying  When it's raining Ain't no need of crying  When it's raining",,,,,,,
31,,,,,,,,
32,,,,,,,,
33,"Popping, stopping, hopping like a rabbit When I take the Nina Ross ya know I gotta ta have it I lay back in the cut retain myself Think about the shit, and I'm thinking wealth How can I makes my grip And how should I make that nigga straight slip Set trip, gotta get him for his grip As I dip around the corner, now I'm on a-nother Mission, wishing, upon a star Snoop Doggy Dogg with the caviar In the back of the limo no demo, this is the real Breaking niggas down like Evander Holyfield, chill To the next Episode I make money, and I really don't love hoes Tell ya the truth, I swoop in the Coupe I used to sell loot, I used to shoot hoops But now I, make, hits, every single day With, that nigga, the diggy Dr. Dre So lay back in the cut, motherfucker 'fore you get shot It's 1-8-7 on a motherfucking cop Boy it's getting hot, yes indeed it is Snoop Dogg on the mic I'm about as crazy as Biz Markie, spark the, chronic bud real quick And let me get into some fly gangsta shit Yeah, I lay back, stay back in the cut Niggas try to play the D-O-G like a mutt I got a little message, don't try to see Snoop I'm fin to fuck a bitch, what's her name it's Luke You tried to see me, on the TV, you'se a B.G. D-O-double-G, yes I'ma O.G. You can't see my homey Dr. Dre So what the fuck a nigga like you gotta say Gotta take a trip to the MIA And serve your ass with a motherfucking AK You, can't, see, the D-O-double-G, 'cause that be me I'm serving um, swerving in the Coupe The Lexus, flexes, from Long Beach to Texas Sexist, hoes, they want to get with his 'Cause Snoop Dogg is the shit, bitch! I'm somewhat brain boggled So I look to the microphone and slowly start to wobble Grab it, have it, stick it to the plug It's Snoop, Doggy, I got a got a fat dub Sack of the chronic in my back pocket loc Need myself a lighter so I can't take a smoke I toke everyday, I loc everyday With the P-O-you-N-D and my nigga Dr. Dre Lay back in the cut, like I told your ass Gimme the microphone and let me hit you with a blast I got a little cousin by the name of Daz And bitches who fuck him, gimme the ass 'Cause they know about the shit that we be going through And they know about the shit that I be putting up And they be knowing bout the shit I do when I'm on the mic 'Cause Snoop Dogg is Trump tight like a virgin, the surgeon Is Dr. Drizzay, so lizzay, and plizzay With D-O-double-Gizzay the fly human being seeing No I'm not European being all I can When I put the motherfucking mic in my hand, and You don't understand when I'm kicking 'Cause Snoop is on the mic and I gets wicked, follow me Listen to me, 'cause I do you like you want to be done Snoop Doggy Dogg on this three two one, umm Dumb, diddy-dumb here I come With the gat and the guitar was strung, I'm Not that lunatic nigga who you thought I was When I caught you slipping, I'm gon catch you then I peel your cap Snapped back, relax Ya better not be slipping with them deez on the '83 Cadillac So we gonna smoke a ounce to this G's up hoes down while you motherfuckers bounce to this",,,,,,,
34,"Ain't that the way it always starts A simple round of conversation Became a shameful equation I flipped you station to station Hey, don't go and turn the other way Don't say there's nothing more to say Come on, hear me out, hush, hush, settle down Button up don't make a sound Shame, shame, go away Come again some other day You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough, I started givin' you up, I started givin' you up You are not me, Arlandria, Arlandria, You and what army, Arlandria, Arlandria Oh God you gotta make it stop Chase all of those memories away Save them all for another day Don't you remember it was rain that drowned you Wait, I wanna see if you can change I wanna keep all I can take I feel much better now Use me up, spit me out, let me be your hand-me-down Fame, fame, go away, come again some other day You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough I started givin' you up, I started givin' you up You are not me, Arlandria, Arlandria You and what army, Arlandria, Arlandria Oh God you gotta make it stop My sweet Virginia I'm the same as I was in your arms My sweet Virginia I'm the same as I was in your arms Shame, shame go away, come again some other day Memories keep haunting me, help me chase them all away Hush, now, settle down, button up, don't make a sound Close your eyes, turn around, help me burn this to the ground Come now, take the blame, that's OK I'll play the game I don't care it's all the same, watch it all go up in flames Use me up, spit me out, let me be your hand-me-down Fame, fame, go away, come again some other day You used to say I couldn't save you enough So I've been savin' it up, I started savin' it up And when you said I couldn't give you enough I started givin' you up, I started givin' you up You are not me, Arlandria, Arlandria You and what army, Arlandria, Arlandria Oh God you gotta make it stop My sweet Virginia Oh God you gotta make it stop My sweet Virginia Oh God you gotta make it stop",,,,,,,
35,,,,,,,,
36,"Lisa likes brandy and the way it hits her lips She's a rock 'n' roll survivor with pendulum hips She's got deep brown eyes that've seen it all Working at a nightclub that was called The Avenue The bar men used to call her ""Little Lisa, Looney Tunes"" She went down on almost anyone From the hard time living 'til the Chelsea days From when her hair was sweet blonde 'til the day it turned gray She said, ""L.I.F.E.G.O.E.S.O.N. You've got more than money and sense, my friend You've got heart and you're going your own way"" ""L.I.F.E.G.O.E.S.O.N. What you don't have now will come back again You've got heart and you're going your own way"" Some people wear their history like a map on their face And Joey was an artist just living out of case But his best work was his letters home Extended works of fiction about imaginary success The chorus girls in neon were his closest things to friends But to a writer, the truth is no big deal From the hard time living to the sleepless nights And the black and blue body from the weekend fights He'd say, ""L.I.F.E.G.O.E.S.O.N. You've got more than money and sense, my friend You've got heart and you're going your own way"" ""L.I.F.E.G.O.E.S.O.N. What you don't have now will come back again You've got heart and you're going your own way"" On my last night on Earth, I won't look to the sky Just breathe in the air and blink in the light On my last night on Earth, I'll pay a high price to have no regrets and be done with my life ""L.I.F.E.G.O.E.S.O.N. You've got more than money and sense, my friend You've got heart and you're going your own way"" ""L.I.F.E.G.O.E.S.O.N. What you don't have now will come back again You've got heart and you're going your own way"" ""L.I.F.E.G.O.E.S.O.N. What you don't have now will come back again You've got heart and you're going your own way""",,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,"Yo whassup, this is Tajai of the mighty Souls of Mischief crew I'm chillin with my man Phesto, my man A-Plus And my man Op', you know he's dope (yo) But right now y'know we just maxin in the studio We hailin from East Oakland, California and, um Sometimes it gets a little hectic out there But right now, yo, we gonna up you on how we just chill Dial the seven digits, call up Bridgette Her man's a midget; plus she got friends, yo, I can dig it Here's a forty, swig it, y'know it's frigid I got 'em chillin in the cooler, break out the ruler Damn! That's the fattest stog' I ever seen The weather's heat in Cali; gettin weeded makes it feel like Maui Now we feel the good vibrations So many females, so much inspiration I get inspired by the blunts too I'll front you, if you hang with a bunk crew I roam the strip for bones to pick When I find one, I'm done; take her home and quickly do this I need not explain this (nahh) A-Plus is famous - so get the anus! Hey miss! Who's there? I'm through there No time to do hair; the flick's at eight, so get straight You look great - let's grub now A rub down sounds flavor; later there's the theatre We in the cut, the cinema, was mediocre Take her to the crib so I can stroke her Kids get broke for their skins when I'm in Close range, I throws game at your dip like handball Cause the man's all that All phat, I be the chill from 93 'til Yeah, this is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til Uh-huh, this is how we chill from 93 'til This is how we chill, from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til Huh, my black Timbs do me well (yeah) When I see a fool and he says he heard me tell (what?) Another person's business, I cause dizziness Until you - stop acting like a silly bitch Yo, crews are jealous cause we get props The cops, wanna stop - our fun, but the top Is where we're dwellin, swell and fat, no sleep I work fit and jerks get their hoes sweeped Under their noses, this bro's quick Yo hit blunts and flip once I'm chillin cause my crew's close, kid I'm posted, most kids accept this as cool I exit, cause I'm an exception to the rule I'm steppin - to the cool spots where crews flock to snare a dip Or see where the shit that's flam B Blam leakin out his pocket So I got tons of indo and go to the Owen's basement, my ace been Fattenin up tracks, Time to get prolific with the whiz kid Greenbacks in stacks, don't even ask Who got the fat sacks? We can max pumpin' fat tracks Exchangin facts about impacts, cause in facts My freestyle talent overpowers brothers can't hack.. it They lack wit; we got the mack shit 93 'Til Infinity - kill all that wack shit Yeah, this is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til Uh-huh, this is how we chill from 93 'til This is how we chill, from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til I be coolin; school's in session but I'm fresh in Rappin so I take time off to never rhyme soft I'm off on my own shit with my own clique Roll many back roads with a fat stog' and blunt, folding runts Holding stunts captive with my persona Plus a bomber, zestin Niggas is testin my patience; but I stay fresh and Restin at the mall, attendance on 'noid But I am shoppin for my wish to exploit Some cute fits, some new kicks I often do this cause it's the pits not bein dipped Flip the flyer attire females desire Baby you can step to this if you admire The extraordinary dapper rapper Keep tabs on your main squeeze before I tap her I'll mack her; attack her with the smoothness I do this, peepin what my crew gets (huh) Loot, props, respect and blunts to pass Crews talk shit, but in my face they kiss my ass (smak!) They bite flows but we make up new ones If you're really dope, why ain't ya signed yet? But I get my loot from Jive/Zomba, I'mma bomb ya You will see - from now 'til infinity Yeah, this is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til Uh-huh, this is how we chill from 93 'til This is how we chill, from 93 'til This is how we chill from 93 'til This is how we chill from 93 'til Hah-hah, just coolin out, y'know what I'm sayin But, but who's chillin around the land y'know? Yo, who's chillin? I think I know who's chillin Yeah tell me who's chillin then then Plus Casual you know he's chillin Yo, Pep Love he gotta be chillin Jay-Biz ya know he's chillin Aiyyo man, my my man Snupe is chillin man Yo Mike G you know he's here chillin Heh, my man Mike P ya know he gotta chill Del the Funky Homosapien is CHILLIN Aiy ay my man Domino yo he's chillin Yeah it's like that, yeah",,,,,,
41,,,,,,,,
42,"Hey, hey, hey, hey Ooh woh Won't you come see about me? I'll be alone, dancing you know it baby Tell me your troubles and doubts Giving me everything inside and out and Love's strange so real in the dark Think of the tender things that we were working on Slow change may pull us apart When the light gets into your heart, baby Don't you, forget about me Don't, don't, don't, don't Don't you, forget about me Will you stand above me? Look my way, never love me Rain keeps falling, rain keeps falling Down, down, down Will you recognize me? Call my name or walk on by Rain keeps falling, rain keeps falling Down, down, down, down Hey, hey, hey, hey Ooh woh Don't you try and pretend It's my feeling we'll win in the end I won't harm you or touch your defenses Vanity and security Don't you forget about me I'll be alone, dancing you know it baby Going to take you apart I'll put us back together at heart, baby Don't you, forget about me Don't, don't, don't, don't Don't you, forget about me As you walk on by Will you call my name? As you walk on by Will you call my name? When you walk away Or will you walk away? Will you walk on by? Come on, call my name Will you call my name? I say (Lala la la lala la la) Will you call my name? As you walk on by",,,,,,,
43,,"Hey, hey, hey, hey Ooh woh Won't you come see about me? I'll be alone, dancing you know it baby Tell me your troubles and doubts Giving me everything inside and out and Love's strange so real in the dark Think of the tender things that we were working on Slow change may pull us apart When the light gets into your heart, baby Don't you, forget about me Don't, don't, don't, don't Don't you, forget about me Will you stand above me? Look my way, never love me Rain keeps falling, rain keeps falling Down, down, down Will you recognize me? Call my name or walk on by Rain keeps falling, rain keeps falling Down, down, down, down Hey, hey, hey, hey Ooh woh Don't you try and pretend It's my feeling we'll win in the end I won't harm you or touch your defenses Vanity and security Don't you forget about me I'll be alone, dancing you know it baby Going to take you apart I'll put us back together at heart, baby Don't you, forget about me Don't, don't, don't, don't Don't you, forget about me As you walk on by Will you call my name? As you walk on by Will you call my name? When you walk away Or will you walk away? Will you walk on by? Come on, call my name Will you call my name? I say (Lala la la lala la la) Will you call my name? As you walk on by",,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,"Says he wants you He says he needs you It's real talking  Why not make him wait for you If he really wants you If he really needs you Really got to have you Take your time and feel him out When it's a good boy I mean a really really good boy Why not let him lay with you That's when you give it to him good Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  You getting bold He growin' cold It's just the symptoms of young love Growin' old You think it's time And your thinking of leaving But give it time It's late at night He's coming home Meet him at the door with nothin' on Take him by the hair Let him know what's on If you understand me Y'all come on All my ladies wind it up If you know just how to move (move) All my fellas jump behind And show her what you want to do (show her what you got daddy) All my ladies wind it up  If you know just how to move  All my fellas jump behind  And show her what you want to do (oh, whoa oh) Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  We can move If you want to We can move  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh""  Dip it low, pick it up slow Roll it all around, poke it out like your back broke Pop pop pop that thing I'ma show you how to make your man say ""Ooh"" ",,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,"Remember when I caught your eye You gave me rainbows and butterflies We did enjoy our happiness? When our love was over I was such a mess I smiled at you And you smiled back That's when I knew There's no turning back You said you loved me And I did too Now though it's over I still love you You're in my mind You're in my heart I wish I knew right from the start All my friends said you break my heart A heartbreaker right from the start I tried to fight it I tried so hard And every day I pray to god That you and me were meant to be But you had another You had a lover And now is gone I don't know why I feel like crying Just want to die I can't look at you And you know why No, I tried so hard To catch your eye You're in my mind You're in my heart I wish I knew right from the start All my friends said you break my heart A heartbreaker right from the start You're in my mind You're in my heart I wish I knew right from the start All my friends said you break my heart A heartbreaker right from the start",,,,,,,
53,,,,,,,,
54,"All we need is you there and we'll all get through it,  Truly free in a way that we always knew it I cant get enough, I cant get enough, I cant get enough, I cant get enough I cant get enough, I cant get enough, I cant get enough, I cant get enough You don't know what you mean to me,  I'm too proud to beg on my knees,  Guess you know that ill cave in deep  'Cause you got the thing I need.  I am caught between the cold and the fire,  I am caught between the chasm and the wire,  All we need is you, baby.  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  You got something inside worth giving,  Now look at the life I'm living,  I am hooked on your hypercaine feeling,  I can't put my finger on the vibe that's winning.  I am caught between the river and the ocean,  I am caught between the dark and deep emotion,  Its the only thing to keep me moving,  I can't tire, I'm on the wire.  Gotta keep moving on, gotta keep moving on, gotta keep moving on Moving on, moving on, moving on, moving on,  Moving on, moving on, moving on, moving on You should know what you mean to me,  No I wont beg on my knees,  Can't live without you with me,  This town is dead, its time to break free  I guess we put it in the spotlight, oh yeah,  All we need is you, babe.  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  All we need is you there and we'll all get through it  Truly free in the way that we always knew it  He got you in the hypercaine",,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,"While we're on the subject Could we change the subject now? I was knocking on your ear's door, but you were always out Looking towards the future We were begging for the past Well, we know we had the good things But those never seemed to last Oh, please just last Everyone's unhappy Everyone's ashamed Well, we all just got caught looking At somebody else's page Well, nothing ever went Quite exactly as we planned Our ideas held no water But we used them like a dam Oh, and we carried it all so well As if we got a new position Oh, and I laugh all the way to hell Saying, ""Yes, this is a fine promotion"" Oh, and I laugh all the way to hell Of course everyone goes crazy Over such and such and such We made ourselves a pillar We just used it as a crutch We were certainly uncertain At least, I'm pretty sure I am Well, we didn't need the water But we just built that, good God damn Oh, and I know this of myself I assume as much for other people Oh, and I know this of myself We've listened more to life's end-gong Than the sound of life's sweet bells Was it ever worth it? Was there all that much to gain? Well, we knew we missed the boat And we'd already missed the plane We didn't read the invite We just dance at our wake All our favorites were playing So we could shake, shake, shake, shake, shake Tiny curtain's open, and we heard the tiny clap of little hands A tiny man would tell a little joke, and get a tiny laugh from all the folks Sitting, drifting around in bubbles, and thinking it was us that carried them When we finally got it figured out, that we had truly missed the boat Oh, and we carried it all so well As if we got a new position Oh, and we owned all the tools ourselves But not the skills to make a shelf with Oh, what useless tools ourselves",,,,,,,
