,0,1,2
13,"Can anybody find me somebody to love Ooh, each morning I get up I die a little Can barely stand on my feet (Take a look at yourself) Take a look in the mirror and cry (and cry) Lord what you're doing to me (yeah yeah) I have spent all my years in believing you But I just can't get no relief, Lord! Somebody (somebody) ooh somebody (somebody) Can anybody find me somebody to love? I work hard (he works hard) every day of my life I work till I ache in my bones At the end (at the end of the day) I take home my hard earned pay all on my own I get down (down) on my knees (knees) And I start to pray Till the tears run down from my eyes Lord somebody (somebody), ooh somebody (Please) can anybody find me somebody to love? Everyday (everyday) I try and I try and I try But everybody wants to put me down They say I'm going crazy They say I got a lot of water in my brain Ah, got no common sense I got nobody left to believe in Yeah yeah yeah yeah Oh Lord Ooh somebody, ooh somebody Can anybody find me somebody to love? (Can anybody find me someone to love) Got no feel, I got no rhythm I just keep losing my beat (you just keep losing and losing) I'm OK, I'm alright (he's alright, he's alright) I ain't gonna face no defeat (yeah yeah) I just gotta get out of this prison cell One day (someday) I'm gonna be free, Lord! Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love love love Find me somebody to love Find me somebody to love Somebody somebody somebody somebody Somebody find me Somebody find me somebody to love Can anybody find me somebody to love? (Find me somebody to love) Ooh (Find me somebody to love) Find me somebody, somebody (find me somebody to love) somebody, somebody to love Find me, find me, find me, find me, find me Ooh, somebody to love (Find me somebody to love) Ooh (find me somebody to love) Find me, find me, find me somebody to love (find me somebody to love) Anybody, anywhere, anybody find me somebody to love love love! Somebody find me, find me love",,
14,"I was born to brew up storms, stir up shit, kick up dust, cuss till I slur up spit Grew up too quick, went through too much, knew too much shit Corrupt, and I'm a pour it on like syrup, bitch Thick 'n rich, sick and twisted, Mr. Buttersworth Dre told me to milk this shit for what it's worth 'Til the cow just tilts and tips and stumbles to earth And if I fumble a verse, keep going, first take I make mistakes just keep it, no punches pull, no punches, that's weak shit Fake shit, if I ever take shit I'll eat shit, wasn't for him, wouldn't be shit Creep with me as we take a little trip down memory lane Been here longer than anyone in the game And I ain't got to lie about my age, ""But what about Jermaine? ""Fuck Jermaine, he don't belong speakin' mine or Timbaland's name And don't think I don't read your lil' interviews and see what you're sayin' I'm a giant, and I ain't gotta move 'Til I'm provoked, when I see you, I'm a step on you and not even know it You midget, mini-me with a bunch of mini-yous, runnin' round your backyard swimmin' pools Over eighty million records sold, and I ain't have to do it with ten or eleven year olds 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh? 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh? Second verse, it gets worse, it gets no better than this Amateurs drink veteran piss From a dixie cup, if you ever mix me up  Or confuse me with a Cannabis or Dre with a Dupri We'll rub it in, every club you're in We'll have you black balled and make sure you never rap-a-fuckin'-gain Dre ain't havin' it as long as I'm here to play devil's advocate If there was some magic shit I could wave over the industry That could save it when I'm gone and buried To make sure the tradition carries on, I would If I could only use this power for good, I wouldn't, not even if I could From the hood, and I'm a hornet, and I'm a only sting when I cornered And I'm a only sucker punch and swing without warning And swing to knock somebody's fuckin' head off 'Cause I know if they get up, I won't get a chance to let off Another punch, I'm punk rock, no one's punk, don't give a fuck White-Pac, so much spunk When I was little I knew I would blow up and sell a mill Or grow up to be Atilla, go nuts and be a killer And I'm, somethin' of a phenom, one puff of the chron I'm unstoppable, I'm alive and on top again There's no obstacle that I can't conquer so come along wit us? Come on 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh? 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh? Now anybody who knows Dre Knows I'm about fast cars and Alize, partyin' all day But I handled my business Cause it' work before play, don't look for trouble But I'll serve you gourmet However you want it, you can have it your way, you fuck my night up I'm a fuck up your day, bullet with your name Sendin' it your way, that goes for anyone who walks through that doorway 'Cause this is my space, you invade it, live to regret it And you'll die tryin' to violate it Fuck around, get annihilated, eyes dilated Like my old lady? 'Cause what you say is what you say Sometimes what you mean is two different things Depending on your mood if it swings Think too many things, little hit of Dre's weed I can do anything, catch a contact and I'm gone  And I'm back, I speed write and my loose-leaf's my launch pad And I can pull any string, don't have to prove anything Catch a contract on your head, you headed west, talk shit about Dre You better get a vest And invest in something to protect your head and neck And it's back and forth, all day like Red and Meth I joke when I say I'm the best, in the booth But a lot of truth is said in jest And if I ever do live to be a legend I'm a die a sudden death Five mics in the Source, ain't holdin' my fuckin' breath But I'll suffocate for the respect 'fore I breathe, to collect a fuckin' check 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh? 'Cause what you say is what you say Say what you say how you say it whenever you sayin' it Just remember how you said it when you was sprayin' it So who you playin' wit, huh?",,
15,,,
16,,,
17,,,
18,"Baptized with the perfect name The dawning won by heart Alone, without himself War between him and the day With someone to blame In the end lil he can do alone You believe on what you see You receive on what you give Caress the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave Apart from the wandering path In this brief flied up time We reach for the ones who ever dare You believe on what you see You receive on what you give Caress the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave Reaching, searching For something untouched Hearing voices of the never-fading calling There is the one That never-fading rain In your heart To tears of snow-white sorrow There is the one That hiding Amaranth In the land of the day-brave",,
19,"An old man by a seashore At the end of day Gazes the horizon With seawinds in his face Tempest-tossed island Seasons all the same Anchorage unpainted And a ship without a name Sea without a shore for the banished one unheard He lightens the beacon, light at the end of world Showing the way lighting hope in their hearts The ones on their travels homeward from afar This is for long-forgotten Light at the end of the world Horizon crying The tears he left behind long ago The albatross is flying Making him daydream The time before he became One of the world`s unseen Princess in the tower Children in the fields Life gave him it all: An island of the universe Now his love`s a memory A ghost in the fog He sets the sails one last time Saying farewell to the world Anchor to the water Seabed far below Grass still in his feet And a smile beneath his brow This is for long-forgotten Light at the end of the world Horizon crying The tears he left behind long ago So long ago So long ago This is for long-forgotten Light at the end of the world Horizon crying The tears he left behind so long ago So long ago",,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,We sent out the SOS call It was a quarter past 4 in the morning When the storm broke our second anchor line Four months at sea 4 months of calm seas to be pounded In the shallows off the tip of montauk point They call them rogues they travel fast and alone One hundred foot faces of God's good ocean gone wrong What they call love is a risk Cause you will always get hit out of nowhere by some wave and end up on your own The hole in the hull defied the crews attempts to bail us out And flooded the engines and radio and half buried bow Your tongue is a rudder It steers the whole ships sends your words past your lips Or keeps them safe behind your teeth But the wrong words will strand you Come off course while you sleep Sweep your boat out to sea or dashed to bits on the reefs The vessel groans the ocean pressures its frame Off the port I see the lighthouse through the sleet and the rain And I wished for one more day to give my love and repay debts But the morning finds our bodies washed up thirty miles west They say that the captain stays fast with the ship through still and storm But this ain't the Dakota and the water is cold We won't have to fight for long this is the end This story's old but it goes on and on until we disappear Calm me and let me taste the salt you breathed while you were underneath I am the one who haunts your dreams of mountains sunk below the sea I spoke the words but never gave a thought to what they all could mean I know this is what you want A funeral keeps both of us apart You know that you are not alone Need you like water in my lungs This is the end,,
27,,,
28,,,
29,"I've thrown away my toys, even my drum and train. I wanna make some noise with real live aeroplanes.  Some day I'm going to fly,  I'll be a pilot too.  And when I do, how would you like to be my crew? On The Good Ship Lollipop.  It's a sweet trip to a candy shop  Where bon-bons play  On the sunny beach of Peppermint Bay. Lemonade stands everywhere  Crackerjack bands fill the air  And there you are  Happy landing on a chocolate bar. See the sugar bowl do the tootsie roll  With the big bad devil's food cake.  If you eat too much ooh-ooh  You'll awake with a tummy ache. On The Good Ship Lollipop  It's a night trip into bed you hop  And dream away  On The Good Ship Lollipop.",,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,"""Sugar (Gimme Some)"" (feat. Cee-Lo, Ludacris) Uh huh [T-Dubl] Yeah [Cee-Lo] Aw man I got a sweet tooth, can you dig it [T-Dubl] After this one you gon need a root canal then [Cee-Lo] I love sugar all of it [T-Dubl] This one for all the clean, decent women [Cee-Lo] Lay it on me girl [T-Dubl] Pay Close Attention She put that sugar on my tongue she's gonna Gimme gimme some She put it right there on my tongue (Skeet Skeet) Right there on my tongue (She turns me on, like no other) And gimme some of your butter pecan  Put it right there on tip of my tongue, hold it Right jeeeah 'cause baby, if I bite you I bet you like it French Vanilla's a hell of a flavor for me With strawberries, two cherries and whipped cream The best things are the wet dreams And uh, the rest is just a flick without a sex scene Or lee, I speak the truth 'cause the blacker the berry The sweeter the juice 'cause, Florida oranges and Georgia peaches When they nice and ripe, they the best for eatin' Southern boys we crave for old slice of pie after they main course So if you game for it I came for it I got a thing for ya That I can't ignore She put that sugar on my tongue, tongue Yippie Yippie, Yum Yum Goodie goodie gum drop Put me in a tongue lock Did it till my body went numb, numb Laid her on her back, back Turned her round, gave her bottom a smack, smack She's a woman from the block with the best of weed But I won't stop till I'm pullin out tracks, tracks It was lust at first sight And she couldn't help sayin that she wanted to get with me And my size was just right 'cause she wanted a man with a little sec-you're-ity Said I been around the world twice And my name ring bells from Atlanta to Sic-i-ly Said she wanted it all night So put the bubbles in the tub and Ludacris in me Yeah Yeah Yeah Yeeeah Yeeeah Yeah  Yeah Yeah Sweetie you look so incredible So delicious and so damn edible All I need is some honey or syrup With a lil' butter to rub down all your curves And no need for the lemonade Just a twist of lime and some grape cool-Aid Can I call you Caramel? 'cause I'm bout to go coo-coo to taste your Coco Puffs One bowl ought to fill me up But that milk gotta be cold enough So supper time that'll hold me up I might choke myself if I don't slow it up, but Honey, you look like a honeydew melon Or strawberry with the whipped cream filling Of the top part of the peach cobbler But uh, the fruit platter ought to do me better",,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,"Villain man never ran with krills in his hand and Won't stop rockin' til he clocked in a gazillion grand Tillin' the wasteland sands Raps on backs of treasure maps, stacks to the ceiling fan He rest when he's ashes Ask 'em after ten miles in his goulashes, smashes stashes Chip on his shoulder with a slip on holster A clip, a folder and his grip on a boulder bolster They supposed ta know, it show when his aura glow Get from out the row, when he get dough it's horrible Time is money, spend, waste, save, invest the fess From ten case of cave of chicken chest S Yes ya'll the dub will get ya trickles The best ballers pitch in to rub together nickels But tut tut, he about to change the price again It go up each time he blow up like hydrogen (Villain!) Villain here, have em shrillin' in fear And won't stop top billin' til he a gazillionaire Grillin' stare, yeah ya boy had drama Got em on a mental plane, avoided bad karma Once sold an inbred skinhead a nigga joke Plus a brand new chrome smoker with the triggers broke I thought I told em ""Firing pins was separate"" He find out later when he tries to go and rep it Took a Jehovah money for a Arabic Torah Charged an advance to translate it and ignored it, sorta One monkey don't stop no slaughter A junkie want ta cop a quarter ton, run for the border Know the drill, it ain't worth the overkill Flow skill, still there's no thrill Villa bill ya ten K bills in his pilla Villa, when it gets realer, split the skrilla with Dilla, (Dilla) mix, mix, mix Do a deal for kicks and get rich quick Sketch lyric, bet 'cha by the nick on some vic Ick from the drumstick, come with the dumb shtick Sick slick, hidden in a book The only way they find it if you're spittin' in a hook Listen, don't look now, keep walkin' Traded three beans for this cow, cheap talkin' Hawk men stalkin' hear that we hawkin' often Coughing to a coffin, might as well scoff the pork then He's like Worf, some say stronger though Off the top Jay Strongbow, play along bro Wear a mask like yo off the Gong Show Flow slow as Mongo, Don Juan thong pro For ya info when he's not practicing Jim Crow A actress and some nympho bimbo He's playin' Ray J the old tape DOOM - well what can I say like JJ in a gold cape Fill it to the rim like brim Villain and ya won't find him in no gym Probably a foggy bog with the frogs With a dot on the guard as he squat on a log Half cocked and half baked Used to keep a full stock of work, half rock and half shake My mistake, sign a track agreement For more G's than lines and cracks in the cement In any event it's fake like wrestling Get em like Jake The Snake on mescalines Ahem, elixir for the dry throat Tried to hit the high note, Villain since a itsy bitsy zygote By remote, send in the meat wagon Bragging MC's packed in with they feets draggin' These stats are staggerin' Had his PhD in indiscreet street hagglin' Villain, his agenda is clear Endin' this year with dividends to spare, here It's not meant for the seein' Went through the ceiling after entering his center being A new meanin' to sales through the roof Guaranteed raw and saw his truth was truth, proof It's the return of the tramp Who do a duet jam when Ernest Goes To Camp For the right earn - na'mean like Vern We need some more oil for the machines to burn, learn Jiminy crickets He gets lucky like winnin' free tickets off SimplyLyrics One man's waste is another man's soap Sons fan base know the brotha man's dope A real weirdo with a bug-rear flow And the way his hair grow was ugly as a scarecrow He wears a mask so the charge won't grab On a rooftop with a large stone slab Heads up, talk white and thought niggerish Refuse to walk tight and got his off the vigorish Black licorice and equally as yucky How he handled the money was strictly Dan Stuckie Monkey hustle, man on fire Later for the date than the Hadron Collider And cost more, it be singin' like a style DOOM leave the competition steamin' like a pile Smile, ding! Sparkling jewels In effect like alternate side of the street parkin' rules Fools, the roach was never dead Live for a week, then dehydrate with a severed head Instead it was depicted as flicked in Split, the wick's lit (Can you dig it?) We have got to try and find Doom Good luck",,
44,,,
45,,,
46,"It was Friday afternoon in the middle of June Heineken bottle caps and the aroma of boom Around the time everybody had just got home from class Shootin dice, talkin shit, hopin the cash would last Yo, this was around the time when I didn't know no better Juney moved around in a tinted out Jetta Then he introduced me to that hydro smoke Then I took one toke, yo, I almost choked See I never smoked before so my nerves got shot Then he told me about the party at the spot jam rock It was guaranteed on but I said ""son, chill"" There's a joint around the way that's supposed to be real Word He said we got all day, so we gonna do it right Hit your man's joint first, then jam rock at one night Then I said ""aight"", then I hopped inside the jetty Let me take a shower, I'm sweaty, and then I'll be ready Tonight is the night I get my groove on steady And get my drink on with that Ford named Betty I went upstairs to get fly, broke my tie On some liquor, to meet my high quicker Now, I'm tight, them know, the party is the M.O Me and my crew, we get it started like a demo Eleven in the evenin, I'm feelin like a heathen This thing is goin down and I highly doubt I'm leavin Booty cheeks start to motion and the kids is drinkin potion Word is bond, that Black Moon joint got me open (Don't front) Yo, the DJ flipped the script Threw on the good shit that made the kid lose his grip Blendin Risin to the Top and got these shorties hoppin Nuthin but coppin, ain't no stoppin me now Yo, I'm bound to win until that thing kicked in The Alize had me stuck, I don't know where to begin Now I'm feelin kinda jaded, wildly coherent Me and the fellas started acting irreverent Butt grabbin, mad laughin just assin When that chick caught up, the shorty lookin fed up They say you drug one with this one, gibbin with that one A yo, I'm just doin my thing, yo I'm just havin fun You don't see me in here wylin pullin out no gun Yo, I see some of that thing girl and I want some So let's step inside this corner so that we can rap on Over this bumpin ass song plus some Dom Perignon I hit ya with the good lovin plus fillet mignon (Yeah, yeah scrammy scrams, yo, that's that same old song) (A yo, tell me why the hell your breath smells so strong) Yo, put some brakes on your yappin or you won't live long (Please nigga, push on) Alright scrams, see you later (scrams) Can't mess with these street sharks or these alligators I can't take it no more, yo it's damn near four I've been partyin and drinkin since I came out my door Look at these kids about to mix it, damn, where's the exit? (Son, jetted to the ride and got the burner out the Lexus) Yo, he cocked his joint back like he's about to let him have it (Kid, I kept it movin like the Energizer rabbit) A yo yo, it's time to skate, ain't no time to contemplate (Whoops, looka there, there's Jake)",,
47,,,
48,"Two, one-two-three-four! Ev'rybody's talking 'bout Bagism, Shagism, Dragism, Madism, Ragism, Tagism This-ism, that-ism, is-m, is-m, is-m All we are saying is give peace a chance All we are saying is give peace a chance Hit it C'mon, ev'rybody's talking about Ministers, sinisters, banisters and canisters Bishops and Fishops and Rabbis and Popeyes and bye-bye, bye-byes All we are saying is give peace a chance All we are saying is give peace a chance Let me tell you now Ev'rybody's talking 'bout Revolution, evolution, masturbation, flagellation, regulation, integrations Meditations, United Nations, congratulations All we are saying is give peace a chance All we are saying is give peace a chance Ev'rybody's talking 'bout John and Yoko, Timmy Leary, Rosemary, Tommy Smothers, Bobby Dylan, Tommy Cooper Derek Taylor, Norman Mailer, Alan Ginsberg, Hare Krishna, Hare, Hare Krishna All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance All we are saying is give peace a chance",,
49,"I sailed a wild, wild sea Climbed up a tall, tall mountain I met a old, old man Beneath a weeping willow tree He said now if you got some questions Go and lay them at my feet But my time here is brief So you'll have to pick just three And I said What do you do with the pieces of a broken heart And how can a man like me remain in the light And if life is really as short as they say Then why is the night so long And then the sun went down And he sang for me this song See I once was a young fool like you Afraid to do the things That I knew I had to do  So I played an escapade just like you I played an escapade just like you I sailed a wild, wild sea Climbed up a tall, tall mountain I met an old, old man He sat beneath a sapling tree He said now if you got some questions Go and lay them at my feet But my time here is brief So you'll have to pick just three And I said What do you do with the pieces of a broken heart And how can a man like me remain in the light And if life is really as short as they say Then why is the night so long And then the sun went down And he sang for me this song",,
50,,,
51,"I've been waiting I've been waiting for this moment all my life But it's not quite right And this real It's impossible if possible At whose blind word So clear but so unheard I've been waiting I've been waiting for this silence all night long It's just a matter of time To appear sad With the same old decent lazy eye Fixed to rest on you Aim free and so untrue Everyone's so intimately rearranged Everyone's so focused clearly with such shine Everyone's so intimately rearranged Everyone's so focused clearly with such shine Lost and loaded Still the same old decent lazy eye Straight through your gaze That's why I said I relate I said we relate It's so fun to relate It's the room, the sun, and the sky The room, the sun, and the sky I've been waiting I've been waiting for this moment",,
52,,,
53,,,
54,I can feel the animal inside My resolve is weakening Pounding on the doors of my mind Its nearly overpowering I cannot begin to describe The hunger that I feel again Run if you intend to survive For the beast is coming to life Taking more than a glimmer of this tainted moonlight Death approaches on this night For the animals soul is mine We will be completed right before your eyes I have no control this time And now we both shall dine in Hell tonight I can feel the calling again The primal need is filling me Changes are about to begin And now my blood is boiling I can see the fear in your eyes But you cant bring yourself to scream Time to shed the mortal disguise The beast is coming to life Taking more than a glimmer of this tainted moonlight Death approaches on this night For the animals soul is mine We will be completed right before your eyes I have no control this time And now we both shall dine in Hell tonight We begin the hunt tonight Til the power courses the creatures take flight When the kill is close and I will be satisfied For the smell of fear tonight Wakes an ancient lust that will not be denied You're mine For the animals soul is mine We will be completed right before your eyes I have no control this time And now we both shall dine in Hell tonight For the animals soul is mine And the world around will never hear your cries An unholy crime And now we both shall dine in Hell tonight,,
55,,,
56,,,
57,,,
58,"You ask me what would happen If all strangers turned to stone I'll tell you what might happen If we could always be alone, alone Time out, is it time out? I'll take my best guess And I'm out if I'm in doubt Unless you contest There's two kinds of love And one we used to know There's two kinds of love And one we used to know I know, I know, I know There's two kinds of love And one we used to know There's two kinds of love And one we used to know There's two kinds of love And one we used to know There's two kinds of love And one we used to know",,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,"I was lost in the lakes And the shapes that your body makes That your body makes That your body makes, that your body makes And the mountains said I will find you here They whispered the snow and the leaves in my ear I traced my finger along your trails And your body was the map, I was lost in it Falling over your rocky spine The glaciers made you and now you're mine Falling over your rocky spine The glaciers made you and now you're mine I was moving across your frozen veneer The sky was dark but you were clear Could you feel my footsteps? And would you shatter, would you shatter? Would you? With your soft fingers between my claws Like purity against resolve I could tell then there we were formed from the clay And came from the rocks for the earth to display They told me to be careful up there Where the wind rose up there, in this rage through your hair They told me to be careful up there Where the wind rages through your hair",,
68,,,
69,"You don't know what love is Until you've learned the meaning of the blues Until you've loved a love you had to loose You don't know what love is You don't know how lips hurt Until you've kissed and had to pay the cost Until you've flipped you're heart and you have lost You don't know what love is Do you know how a lost heart fears The thought of reminiscing And how lips have taste of tears Loose the taste for kissing You don't know how hearts burn For love that cannot live, yet never dies Until you've faced each dawn with sleepless eyes You don't know what love is You don't know how hearts burn For love that cannot live, yet never dies Until you've faced each dawn with sleepless eyes How could you know what love is, what love is What love is",,
70,,,
71,,,
72,,,
73,,,
74,"No matter which way you go No matter which way you stay, You're out of my mind Out of my mind Out of mind Out of my mind I was walking with a ghost, And I said please, please don't insist I was walking with a ghost, And I said please, please don't insist.",,
75,,,
76,,,
77,,,
78,"I've hardly been outside my room in days 'Cause I don't feel that I deserve the sunshine's rays The darkness helped until the whiskey wore away And it was then I realize the conscience never fades When you're young you have this image of your life That you'll be scrupulous and one day even make a wife And you make boundaries you'd never dream to cross And if you happen to you wake completely lost But I will fight for you, be sure that I will fight Until we're the special two once again And we will only need each other, we'll bleed together Our hands would not be taught to hold another's 'Cause we're the special two And we can only see each other, we'll breathe together These arms will not be taught to need another's 'Cause we're the special two I remember someone old once said to me That lies will lock you up with truth the only key I was comfortable and warm inside my shell And couldn't see this place could soon become my hell So is it better to tell and hurt or lie to save their face? Well, my guess the answer is don't do it in the first place I know, I'm not deserving of your trust from you right now But if by chance you change your mind You know I will not let you down 'Cause we were the special two and will be again And we will only need each other, we'll bleed together Our hands would not be taught to hold another's 'Cause we're the special two And we can only see each other, we'll breathe together These arms will not be taught to need another's We're the special two I step outside my mind's eyes for a minute And I look over me like a doctor looking for disease Or something that could ease the pain But nothing cures the hurt, you, you bring on boy yourself Just remembering, just remembering how we were And we would only need each other, we'd bleed together These hands would not be taught to hold another's We were the special two And we could only see each other, we'd bleed together These arms would not be taught to need another's 'Cause we're the special two",,
79,,,
80,,,
81,,,
82,,,
83,,,
84,"Well, you wonder why I always dress in black, Why you never see bright colors on my back, And why does my appearance seem to have a somber tone. Well, there's a reason for the things that I have on. I wear the black for the poor and the beaten down, Livin' in the hopeless, hungry side of town, I wear it for the prisoner who has long paid for his crime, But is there because he's a victim of the times. I wear the black for those who never read, Or listened to the words that Jesus said, About the road to happiness through love and charity, Why, you'd think He's talking straight to you and me. Well, we're doin' mighty fine, I do suppose, In our streak of lightnin' cars and fancy clothes, But just so we're reminded of the ones who are held back, Up front there ought 'a be a Man In Black. I wear it for the sick and lonely old, For the reckless ones whose bad trip left them cold, I wear the black in mournin' for the lives that could have been, Each week we lose a hundred fine young men. And, I wear it for the thousands who have died, Believen' that the Lord was on their side, I wear it for another hundred thousand who have died, Believen' that we all were on their side. Well, there's things that never will be right I know, And things need changin' everywhere you go, But 'til we start to make a move to make a few things right, You'll never see me wear a suit of white. Ah, I'd love to wear a rainbow every day, And tell the world that everything's OK, But I'll try to carry off a little darkness on my back, 'Till things are brighter, I'm the Man In Black",,
85,"You've been acting awful tough lately Smoking a lot of cigarettes lately But inside, you're just a little baby It's okay to say you've got a weak spot You don't always have to be on top Better to be hated  Than loved loved loved for what your not  You're vulnerable, you're vulnerable You are not a robot You're lovable, so lovable But you're just troubled Guess what I'm not a robot, a robot Guess what I'm not a robot, a robot You've been hanging with the unloved kids Who you never really liked and you never trusted But you are so magnetic, you pick up all the pins Never committing to anything You don't pick up the phone when it ring, ring, rings Don't be so pathetic, just open up and sing I'm vulnerable, I'm vulnerable I am not a robot You're lovable, so lovable But you're just troubled Guess what I'm not a robot, a robot Guess what I'm not a robot, a robot Can you teach me how to feel real Can you turn my power on Well, let the drum beat drop Guess what I'm not a robot Guess what I'm not a robot Guess what I'm not a robot, a robot Guess what I'm not a robot, a robot Guess what I'm not a robot, a robot Guess what I'm not a robot, a robot",,
86,,,
87,,,
88,I would say I'm sorry If I thought that it would change your mind But I know that this time I have said too much Been too unkind I try to laugh about it Cover it all up with lies I try and laugh about it Hiding the tears in my eyes Because boys don't cry Boys don't cry I would break down at your feet And beg forgiveness Plead with you But I know that it's too late And now there's nothing I can do So I try to laugh about it Cover it all up with lies I try to laugh about it Hiding the tears in my eyes Because boys don't cry I would tell you That I loved you If I thought that you would stay But I know that it's no use That you've already Gone away Misjudged your limit Pushed you too far Took you for granted I thought that you needed me more Now I would do most anything To get you back by my side But I just keep on laughing Hiding the tears in my eyes Because boys don't cry Boys don't cry Boys don't cry,,
89,,,
90,"Billy left his home with a dollar in his pocket and a head full of dreams. He said somehow, some way, it's gotta get better than this. Patti packed her bags, left a note for her momma, she was just seventeen, There were tears in her eyes when she kissed her little sister goodbye. They held each other tight as they drove on through the night they were so excited. We got just one shot of life, let's take it while we're still not afraid. Because life is so brief and time is a thief when you're undecided. And like a fistful of sand, it can slip right through your hands. Young hearts be free tonight. Time is on your side, Don't let them put you down, don't let 'em push you around, Don't let 'em ever change your point of view. Paradise was closed so they headed for the coast in a blissful manner. They took a two room apartment that was jumping ev'ry night of the week. Happiness was found in each other's arms as expected, yeah Billy pierced his ears, drove a pickup like a lunatic, ooh! Young hearts be free tonight.Time is on your side, Don't let them put you down, don't let 'em push you around, Don't let 'em ever change your point of view. Young hearts be free tonight. Time is on your side. Billy wrote a letter back home to Patti's parents tryin' to explain. He said we're both real sorry that it had to turn out this way. But there ain't no point in talking when there's nobody list'ning so we just ran away Patti gave birth to a ten pound baby boy, yeah! Young hearts be free tonight, time is on your side. Young hearts be free tonight, time is on your side. Young hearts be free tonight, time in on your side. Young hearts gotta run free, be free, live free Time is on, time is on your side Time, time, time, time is on your side Is on your side Is on your side Is on your side Young heart be free tonight Tonight, tonight, tonight, tonight, tonight, yeah",,
