,0,1,2
10,I had my life I know my place I belong in your arms again And I've been waiting for you To belong to me Some might say I'm a silly woman to wait But I know you still hold my love Some people think that I'm heading for a meltdown That I'm sitting by the phone That I worry but no When I feel your body close I burn up in smoke And I swore I keep waiting Now I see this city Won't hold my love For armini I know he's close N' I dream I just keep waiting I keep waiting Some people think that I'm heading for a meltdown That I'm sitting by the phone That I worry but no This I know She doesn't love you like I do Yes it's clear She'll never love you like me You people say That I'm heading for a meltdown That I'm just sitting by the phone That I worry but no I don't worry cause I know Me and Armini Me and my Armini,,
11,"I watched you change Into a fly I looked away You're on fire I watched a change in you It's like you never had wings And you feel so alive I have watched you change I took you home Set you on the glass I pulled off your wings Then I laughed I watched a change in you It's like you never had wings Now you feel so alive I have watched you change It's like you never had wings Anh, ahah Anh, ahah Anh, ahah Anh, ahah Anh, ahah I look at the cross And I look away Give you the gun Blow me away I watched a change in you It's like you never had wings Now you feel so alive I have watched you change And you feel alive You feel alive You feel alive I have watched you change It's like you never had wings Anh, ahah Anh, ahah Anh, ahah Anh, ahah Anh, ahah You change You change You change",,
12,,,
13,,,
14,,,
15,"You're it, no, you're it Hey, you're really it, you're it No I mean it, you're it Say it, don't spray it Spirit desire (Face me) Spirit desire (Don't displace me) Spirit desire, we will fall Miss me Don't dismiss me Spirit desire Spirit desire, spirit desire Spirit desire, we will fall Spirit desire, we will fall Spirit desire, spirit desire Spirit desire, we will fall Spirit desire Everybody's talking 'bout the stormy weather What's a man to do but work out whether it's true? Looking for a man with a focus and a temper Who can open up a map and see between one and two? Time to get it before you let it get to you Here he comes now, stick to your guns, let him through Everybody's coming from the winter vacation Taking in the sun in a exaltation to you You come running in on platform shoes With Marshall stacks to at least just give us a clue Ah, here it comes, I know it's someone I knew Teenage riot in a public station, gonna fight and Tear it up in a hyper nation for you Now I see it, if you've got, leave it, out of the way Now I come near you and it's not true, why you make away? Looking for a ride to your secret location Where the kids are setting up a free speed nation for you Got a Foghorn and a drum and a hammer that's rockin' And a cord and a pedal and a lock that'll do  for now It better work out, I hope it works out my way 'Cause it's getting kind of quiet in my city head It's a teen age riot to get me out of bed right now You better look it, we're gonna shake it, up to him He acts the hero, we paint a zero on his hand We know it's down, we know it's bound to lose Everybody's sound is around you Everybody wants to be proud to choose So who's to blame for the stormy weather? You're never gonna stop all the teenage leather and booze It's time to go 'round, a one man showdown, teach us how to fail? We're off the streets now and back on the road on the riot trail",,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,Neither the flowers on the hill Or the moonlight on the sea Have ever looked so blue And everything looks new again In that old familiar way The view from my room Of the ships on the bay Had come to bore me through and through But they suddenly seem new again In that old familiar way The delicate ballet of blossoms falling off a tree Had long gone unnoticed by me I'm stunned by what now I finally see It's amazing the wonders you can find Just by stepping outside There's a skip in my step a divine state of joy In everything I do Cause I am feeling new again In that old familiar way When I'm awoken from my dreams By a cuckoo on the roof I always join in too And every sound sounds new again In that old familiar way The life I used to know When I was busy always on the go Left me with nothing to show Now I feel that I can honestly say I'm living a suitable life I'm glad I finally got it right Welcome to the Gay Parade,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,"Jojo was a man who thought he was a loner But he knew it wouldn't last Jojo left his home in Tucson, Arizona For some California grass Get back, get back Get back to where you once belonged Get back, get back Get back to where you once belonged Get back Jojo, go home Get back, get back Back to where you once belonged Get back, get back Back to where you once belonged Get back Jo Sweet Loretta Martin thought she was a woman But she was another man All the girls around her say she's got it coming But she gets it while she can Get back, get back Get back to where you once belonged Get back, get back Get back to where you once belonged Get back Loretta, go home Get back, get back Get back to where you once belonged Get back, get back Get back to where you once belonged Get back, get back Get back to where you once belonged Get back, get back, get back",,
29,,,
30,,,
31,"Girl! Should be you! I want to take you to a gay bar I want to take you to a gay bar I want to take you to a gay bar, gay bar, gay bar Let's start a war Start a nuclear war At the gay bar, gay bar, gay bar Waoow! At the gay bar I've got something to put in you I've got something to put in you I've got something to put in you At the gay bar, gay bar, gay bar You're a superstar At the gay bar You're a superstar At the gay bar Superstar Superstar",,
32,,,
33,"I rode a sex wave and washed up on your shore A twist of fate I was just what you were looking for Young rollerskater Trained in CPR Saying ""Boy, you just don't know how lucky you are!"" It's whippin' me, it's whippin' you Turnin' black, turnin' blue, hell no Now I'm just a statue in the garden Where your evil flowers grow Calling unprotected girls Infected girls Do it better Calling unprotected girls Infected girls Do it better Increase the power To a higher level I like you better when you're possessed by the devil I gave you my heart I gave you my soul Now I'm just another number at the centre for disease control Feels like a fire down below  Now I'm just a statue in the garden Where your evil flowers grow Calling unprotected girls Infected girls Do it better Calling unprotected girls Infected girls Do it better It's whippin' me, it's whippin' you Turnin' black, turnin' blue, hell no Now I'm just a statue in the garden Where your evil flowers grow Calling unprotected girls Infected girls Do it better Calling unprotected girls Infected girls Do it better Calling unprotected girls Infected girls Do it better Calling unprotected girls Infected girls Do it better",,
34,,,
35,,,
36,"By no means are we flawless Those are things I would never say There's more hours in my life I wish that you were somewhere far away You spin me insane by the words you use Your constant nagging, your many rules The yin to my yang still remains the one thing that'll get me through You're the worst At showing up two hours late like it's nothing And I'm the worst At letting my guard down but you still love me All our baggage and all our damage Memories we hate, they somehow relate You're the worst But it's the best that we're the worst for each other Yeah, our love is timeless But there's times when I feel it less Then I'm suddenly reminded Of the days before all this mess You spin me insane by the words you use Your constant nagging, your many rules The yin to my yang still remains the one thing that'll get me through You're the worst At showing up two hours late like it's nothing And I'm the worst At letting my guard down but you still love me All our baggage and all our damage Memories we hate, they somehow relate You're the worst But it's the best that we're the worst for each other We're alive in a broken home But always come back to what we know Yeah, it's tempting to up and go We always come back to what we know You're the worst At showing up two hours late like it's nothing And I'm the worst At letting my guard down but you still love me All our baggage and all our damage Memories we hate, they somehow relate You're the worst But it's the best that we're the worst for each other You're the worst, the worst, the worst The worst, the worst And I'm the worst, the worst, the worst (I'm the worst) All our baggage and all our damage Memories we hate, they somehow relate You're the worst But it's the best that we're the worst for each other",,
37,,,
38,"Show me a smile on your silly face 'Cause I'm getting tired of this human race My darling The eyes of a child hasn't went away And how many heroes have we killed today? I can fly higher than an airplane And I have the voice of a thousand hurricanes My darling Men of destruction reap iniquity When heroes of courage die with dignity How many weapons did I help create? And how many lives will it devastate? My darling I think of all the days in my life Where I could have done something more Yes I remember the days in my life Where I could have done something more There is never a day that goes by That's a good day to die Please open your eyes to the millions of lives That will senselessly die in the wars I think of all the days in my life Where I could have done something more Yeah, I remember the days in my life Where I should have done something more I think of all the days in my life Where I could have done something more Yes, I remember the days in my life Where I should have done something more There was never a day that goes by That's a good day to die Please open your eyes, oh There was never a day that went by That's a good day to die Won't you please close your eyes? For the millions of lives Who have senselessly died in a war?",,
39,,,
40,,,
41,"Minerva I get all, numb When she sings it's over Such a strange numb And it brings my knees to the earth And God bless you all For the song you saved us You're the same, numb When you sing it's over Such a strange numb It could bring back peace to the earth So God bless you all For the song you saved us, oh For the hearts you break, every time you moan I get all, numb We're the same numb And it brings our knees to the earth So God bless you all For the song you saved us, oh For the hearts you break, every time you moan And God bless you all on the earth",,
42,,,
43,,,
44,,,
45,,,
46,,,
47,"He's a coldhearted snake lookin into his eyes Oh, oh he's been telling lies he's a lover boy at play He don't play by the rules oh, oh, oh Girl don't play the fool now You're the one givin' up the love any time he needs it But you turn your back and then he's off and running with the crowd You're the one to sacrifice, anything to please him Do you really think he thinks about you when he's out? He's a coldhearted snake lookin into his eyes Oh, oh he's been telling lies he's a lover boy at play He don't play by the rules oh, oh, oh Girl don't play the fool now It was only late last night he was out there sneakin' Then he called you up to check that you were waiting by the phone All the world's a candy store He's been trick or treatin' When it comes to true love girl with him there's no one home He's a coldhearted snake lookin into his eyes Oh, oh he's been telling lies he's a lover boy at play He don't play by the rules oh, oh, oh Girl don't play the fool now You can find somebody better girl He could only make you cry You deserve somebody better girl He's c-cold as ice Co-co-co-cold hearted oh, ah, ah Co-co-co-cold hearted snake Co-co-co-cold hearted oh, ah, ah Co-co-co-cold hearted snake He's a coldhearted snake lookin into his eyes Oh, oh he's been telling lies he's a lover boy at play He don't play by the rules oh, oh, oh Girl don't play the fool now He's a coldhearted snake lookin into his eyes Oh, oh he's been telling lies He's a lover boy at play He don't play by the rules oh, oh, oh Girl don't play the fool now",,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,Do do do do do do do Every tired second Every heavy page They fold into a nightmare Almost turn to rage I felt like I was dreaming I should have been happy I know I should need nothing You never needed me And its always raining And its always raining Californian girlfriend (Californian girlfriend) I will call you from the end Californian girlfriend (Californian girlfriend) Things will fall apart again Do do do do do do do Everything you gave me Everything you've known Is the newest form of torture The newest broken bone Running out out of fortune Running out of pain And I'll benefit from sadness The sadness kills my brain Californian girlfriend (Californian girlfriend) I will call you from the end Californian girlfriend (Californian girlfriend) Things will fall apart again And its always raining And its always raining Californian girlfriend I will call you from the end Californian girlfriend Things will fall apart again,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,"Henrietta we got no flowers for you Just these three miserable c**ts Sitting on the back seat banging on the off beat We know you love us and you probably do Although you're husband may cut us He's such an animal though everything is possible Give us a kiss and maybe we can go out It's hard to miss you when you follow us about Buy us some shoes and maybe take us for cola We'll get you there in some filthy big gondola Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it , come on Dear Henrietta we're just three lonely boys Though the girls love us we're so Into you incredibly we'd love to see you terribly We'd love to hate you but we don't have no choice Come be our wa ha ha ha Honey, honey three four one time once more Give us a kiss and maybe we can go out It's hard to miss you when you follow us about Buy us some shoes and maybe take us for cola We'll get you there in some filthy big gondola Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it, come on Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it, come on",,
62,"Henrietta we got no flowers for you Just these three miserable c**ts Sitting on the back seat banging on the off beat We know you love us and you probably do Although you're husband may cut us He's such an animal though everything is possible Give us a kiss and maybe we can go out It's hard to miss you when you follow us about Buy us some shoes and maybe take us for cola We'll get you there in some filthy big gondola Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it , come on Dear Henrietta we're just three lonely boys Though the girls love us we're so Into you incredibly we'd love to see you terribly We'd love to hate you but we don't have no choice Come be our wa ha ha ha Honey, honey three four one time once more Give us a kiss and maybe we can go out It's hard to miss you when you follow us about Buy us some shoes and maybe take us for cola We'll get you there in some filthy big gondola Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it, come on Clean out the bank and bump off your daddy You can come live with us among the has beens and the addicts These are crazy times down at Costello music You can answer the phone and talk nice anyway you choose it, come on",,
63,"Well you must be a girl with shoes like that She said you know me well I seen you and Little Steven and Joanna Around the back of my hotel, oh yeah Someone said you was asking after me But I know you best as a blagger I said tell me your name is it sweet? She said my boy it's Dagger, oh yeah I was good she was hot Stealin' everything she got I was bold she was over the worst of it Gave me gear thank you dear bring yer sister over here Let her dance with me just for the hell of it Well you must be a boy with bones like that She said you got me wrong I would've sold them to you  If I could've just have kept the last of my clothes on, oh yeah Call me up take me down with you When you go I could be your regular belle And I'll dance for little Steven and Joanna Around the back of my hotel, oh yeah I was good she was hot Stealin' everything she got I was bold she was over the worst of it Gave me gear thank you dear bring yer sister over here Let 'er dance with me just for the hell of it Chelsea, Chelsea I believe that when you're dancing Slowly sucking your sleeve The boys get lonely after you leave It's one for the Dagger and another for the one you believe Chelsea I believe that when you're dancing Slowly sucking your sleeve The boys get lonely after you leave It's one for the Dagger, another for the one you believe, the one you believe, oh no, no, no, no",,
64,,,
65,,,
66,,,
67,,,
68,"Early one morning With time to kill I borrowed Jebb's rifle And sat on a hill I saw a lone rider Crossing the plain I drew a bead on him To practice my aim My brother's rifle Went off in my hand A shot rang out Across the land The horse, he kept running The rider was dead I hung my head I hung my head I set off running To wake from the dream My brother's rifle Went into the sheen I kept on running Into the south lands That's where they found me My head in my hands The sheriff he asked me Why had I run And then it come to me Just what I had done And all for no reason Just one piece of lead I hung my head I hung my head Here in the court house The whole town was there I see the judge High up in the chair Explain to the court room What went through your mind And we'll ask the jury What verdict they find I felt the power Of death over life I orphaned his children I widowed his wife I begged their forgiveness I wish I was dead I hung my head I hung my head I hung my head I hung my head Early one morning With time to kill I see the gallows Up on a hill And out in the distance A trick of the brain I see a lone rider Crossing the plain And he'd come to fetch me To see what they'd done And we'll ride together To kingdom come I prayed for God's mercy 'Cause soon I'd be dead I hung my head I hung my head I hung my head I hung my head",,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,"I can feel it coming in the air tonight, oh Lord And I've been waiting for this moment for all my life, oh Lord Can you feel it coming in the air tonight, oh Lord, oh Lord Well if you told me you were drowning, I would not lend a hand I've seen your face before my friend, but I don't know if you know who I am Well I was there and I saw what you did, I saw it with my own two eyes So you can wipe off that grin, I know where you've been It's all been a pack of lies And I can feel it coming in the air tonight, oh Lord Well I've been waiting for this moment for all my life, oh Lord I can feel it coming in the air tonight, oh Lord Well I've been waiting for this moment for all my life, oh Lord, oh Lord Well I remember, I remember, don't worry, how could I ever forget It's the first time, the last time we ever met But I know the reason why you keep your silence up, oh no you don't fool me Well the hurt doesn't show, but the pain still grows It's no stranger to you and me I can feel it coming in the air tonight, oh Lord Well been waiting for this moment for all my life, oh Lord I can feel it in the air tonight, oh Lord, oh Lord Well I've been waiting for this moment for all my life, oh Lord I can feel it coming in the air tonight, oh Lord And I've been waiting for this moment for all my life, oh Lord I can feel it in the air tonight, oh Lord, oh Lord, oh Lord Well I've been waiting for this moment for all my life, oh Lord, oh Lord I can feel it in the air tonight, oh Lord, oh Lord, oh Lord, oh Lord Well I've been waiting for this moment for all my life, oh Lord, oh Lord, oh Lord",,
76,,,
77,"Isn't she lovely Isn't she wonderful Isn't she precious Less than one minute old I never thought through love we'd be Making one as lovely as she But isn't she lovely made from love Isn't she pretty Truly the angel's best Boy, I'm so happy We have been heaven blessed I can't believe what God has done Through us he's given life to one But isn't she lovely made from love Isn't she lovely Life and love are the same Life is Aisha The meaning of her name Londie, it could have not been done Without you who conceived the one That's so very lovely made from love",,
78,"Talk to me now I'm older You're friend told you 'cause I told her Friday nights have been lonely Change your plans and then phone me We could go and get 40's Fuck goin' to that party Oh really, you're folks are away now? Alright, lets go, you convinced me 12:51 is the time my voice Found the words I sought Is it this stage I want? The world is shutting out for us We were tense for sure But we was confident Kiss me now that I'm older I won't try to control you Friday nights have been lonely Take it slow but don't warn me We would go and get 40's Then wed go to some party Oh really your folks are away now? Alright I'm coming I'll be right there",,
79,"Let's get fucked up and di I'm speaking figuratively, of course Like the last time that I committed suicide social suicide Yeah, so I'm already dead on the inside But I can still pretend with my memories and photographs I've learned to love the lie I wanna know what it's like to be awkward and innocent, not belligerent I wanna know how it feels to be useful and pertinent and have common sense yeah Let me in, let me in to the club, 'cause I wanna belong And I need to get strong, and if memory serves I'm addicted to words and they're useless Let's get fucked up and die I'm riding hard on the last legs of every lie And the BMX bike of my life is about to explode I'm about to explode I'm a mess, I'm a wreck I am perfect, and I have learned to accept all my problems and short comings Because I am so visceral, yet deeply inept I want to thank you for being a part of my the forget-me-nots and marigolds And all the things that don't get old Is it legal to do this? I surely don't know It's the only way I have learned to express myself around other peoples' descriptions of life I'm afraid I'm alone and entirely useless Let's get fucked up and die For the last time I'm feeling We'll try not to smile As we cover our heads and drink heavily into the nights That's no shocking and surprise I believe that I can, overcome this and beat everything in the end But I choose to abuse for the time being Maybe I'll win, but for now I've decided to die Sister soldier You've been such a positive influence on my mental frame If I could ever repay you I would But I'm hard up for cash And my memory lacks initiative God damn the liquor stores' closed We were so close to scoring It hurts, it destroys til it kills I am tired and hungry and totally useless (In this department)",,
80,,,
81,,,
82,no summer in the winter time will keep you warm like a funeral pyre and nothing like an august night drenched in your loving I got a dirty black summer and nothing in the coolest light can stop the walking out across the line no holding back the summer night I got a feeling it's just a dirty black summer,,
83,,,
84,"North to South Empty Running on Bravado As if to say, as if to say As if to say he doesn't like chocolate He's born a liar, he'll die a liar Some things will never be different Stop being, so American There's a time and there's a place So James Dean So blue jeans Gonna save the world He's gonna Are you hoping for a miracle? Are you hoping for a miracle? Are you hoping for a miracle? Are you hoping for a miracle? Three out of five, three out of five (it's not enough) Six out of ten Better luck next time Just like his dad, just like his dad (the same mistakes) Some things will never be different Hungry and dumb, hungry and dumb (so wait in line) Queuing up for some more junk food It's not my fault, it's not my fault (just this once) They're getting so much younger Why can't you be, more European? Bastard child of guilt and shame Bury your head in the sand I'm thinking six, six, six I'm thinking six Are you hoping for a miracle? Are you hoping for a miracle? Are you hoping for a miracle? Are you hoping for a miracle? Are you hoping for a miracle? (it's not enough) Are you hoping for a miracle? (it's not enough) Are you hoping for a miracle? (it's not enough) Are you hoping for a miracle? (it's not enough)",,
85,,,
86,,,
87,,,
88,,,
89,"When I was surrounded by the world You were the only one who came And you were the only one astounded Which kept me grounded As the other girls thrashed my very name Then I looked over Just in time to see her smiling back at me And saying everything's OK As long as you're inside my blue veins Your blue veins Yeah and the feeling that you gave me No matter what I do or where I go It always will remain And those who would enslave me to get to me must get past you and will have no luck 'Cause you'll protect me from all pain The most beautiful, yeah the most beautiful thing cause anything else can't compare Must be the blood that's running through your blue veins Your blue veins Your blue veins And I know you won't deceive me Like the rest and there's nothing you need to explain You always were the first one to believe me When I said to you girl I think it's gonna rain But I could be wrong Yeah but all of these things All these things They're all truly nice but ain't nothing Ain't nothing compared to the love that's running through your little blue veins Your blue veins",,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,"You really do know how to strut that stuff (strut that stuff) You really do know how to act tough (act tough) Your body's just like a centerfold A fantasy, (a fantasy), anyone would want to hold Stop using sex as a weapon Stop using sex as a weapon You know you're already my obsession Stop, (stop), using sex as a weapon Love is more than a one way reflection Stop, (stop), using sex as a weapon With looks that kill and a mind that's twisted (twisted) I don't know why I can't resist it (resist it) I tell myself look the other way (other way) When you want me to (when you want me to) I, I always stay Stop using sex as a weapon Stop using sex as a weapon You know you're already my obsession Stop, (stop), using sex as a weapon Love is more than a one way reflection Stop, (stop), using sex as a weapon You play with desire like it was a toy (toy) How much affection can you destroy? You wrap my heart around your little finger Sex, sex, sex, sex, sex, sex, sex as a weapon Stop using sex as a weapon Stop using sex Stop using sex as a weapon Stop using sex as a weapon You know you're already my obsession Stop, (stop), using sex as a weapon Love is more than a one way reflection Stop, (stop), using sex as a weapon Stop using sex as a weapon Stop using sex as a weapon Stop using sex Stop using sex as a weapon Stop using sex (Stop using sex) (Stop using sex) Sex as a weapon, as a weapon",,
126,"Give me a kiss to build a dream on And my imagination will thrive upon that kiss Sweetheart, I ask no more than this A kiss to build a dream on Give me a kiss before you leave me And my imagination will feed my hungry heart Leave me one thing before we part A kiss to build a dream on And when I'm alone with my fancies, I'll be with you Weaving romances, making believe they're true Oh, give me your lips for just a moment And my imagination will make that moment live Give me what you alone can give A kiss to build a dream on When I'm alone with my fancies, I'll be with you Weaving romances, making believe they're true Oh, give me lips for just a moment And my imagination will make that moment live Oh, give me what you alone can give A kiss to build a dream on",,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,"It's a God-awful small affair To the girl with the mousy hair But her mummy is yelling no And her daddy has told her to go But her friend is nowhere to be seen Now she walks through her sunken dream To the seat with the clearest view And she's hooked to the silver screen But the film is a saddening bore For she's lived it ten times or more She could spit in the eyes of fools As they ask her to focus on Sailors fighting in the dance hall Oh man, look at those cavemen go It's the freakiest show Take a look at the lawman Beating up the wrong guy Oh man, wonder if he'll ever know He's in the best selling show Is there life on Mars? It's on America's tortured brow That Mickey Mouse has grown up a cow Now the workers have struck for fame 'Cause Lennon's on sale again See the mice in their million hordes From Ibiza to the Norfolk Broads Rule Britannia is out of bounds To my mother, my dog, and clowns But the film is a saddening bore 'Cause I wrote it ten times or more It's about to be writ again As I ask you to focus on Sailors fighting in the dance hall Oh man, look at those cavemen go It's the freakiest show Take a look at the lawman Beating up the wrong guy Oh man, wonder if he'll ever know He's in the best selling show Is there life on Mars?",,
134,"Oslo in the summertime; nobody can fall asleep, staring out the window from my bed. At 4 A.M., the sun is up. Look, the sky is peppered with sea birds and with crows all cackling. Up in treten Heimdalsgate, me and Nina making fun of footballers in Rudolf Nilsen Plass. I practice my Norwegian on poor befuddled waitresses, who shake their heads completely at a loss. Oslo in the summertime -- the streets are strangely quiet 'cause everyone's away on holiday. Oslo in the summertime; Pakistani children play locked inside of the courtyard all day. Pretty people everywhere, sun-lamp tans and flaxen hair -- just tell the American not to stare.",,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,"Ah, now I don't hardly know her But I think I can love her Crimson and clover Ah, now when she comes walkin' over Now I've been waitin' to show her Crimson and clover, over and over Yeah, I'm not such a sweet thing I wanna do everything What a beautiful feelin' Crimson and clover, over and over Crimson and clover, over and over Crimson and clover, over and over Crimson and clover, over and over Crimson and clover, over and over",,
154,,,
155,"This is television, late night television, scripted with precision A corner store pulp fiction sits where your heart isn't And with your eyes so green, and your pinkish theme You made an old friend seem rather dead to me Alas, the weapon sex can be Your body is a weapon and you're afraid it could get out A friend of the devil and you're afraid it could get out Don't say I don't cut when I do, I do, I do Don't say I'm lying when I'm true, I'm true, I'm true The razor You rub of suspicious, so vile and aniscious, with a heart so vicious And dare you ask what this is, this is so delicious To eat the best of you like the others do  We take your pride from you The drive-in, the embassy, the jets, it's all the same to me Your body is a weapon and you're afraid it could get out A friend of the devil and you're afraid it could get out Don't say I don't cut when I do, I do, I do Don't say I'm lying when I'm true, I'm true, I'm true The razor (the razor) Don't say we're healing when it's just not what we do So many suitors, I don't even have a suit to wear So many influential fingers running through your hair I am the razor in the hands of your heart And I am the razor in the hands of god Don't say I don't cut when I do, I do, I do (i do, I do) Don't say I'm lying when I'm true, I'm true, I'm true (i do, I do) The razor (the razor) Don't say we're healing when it's just not what we do (the razor)[Repeat: x1] Don't say we're healing when it's just not what we do",,
156,,,
157,"I left a man  Asleep in the nude  Name in my pocket  With lipstick and rouge  Everything I ever wanted  what a lovely pie you've baked  is anybody listening?  Don't painted bird never flys away  It's just an ordinary morning  It's just an ordinary day  And I'm just an ordinary woman  Slipping away  The walls have been talking  About me again  I'm good for a joke but when I awoke  The dream didn't end  Now everytime I turn around I'm only sleeping, John is anybody out there?  Don't the wounded birds still sing  It's just an ordinary morning  It's just an ordinary day  And I'm just an ordinary woman  Slipping away",,
158,,,
159,,,
160,,,
161,,,
162,"She doesn't care whether or not he's an island  She doesn't care just as long as his ship's coming in  She doesn't care whether or not he's an island  They laugh  they make money  He's got a gold watch  She's got a silk dress and healthy breasts  that bounce on his Italian leather sofa.  She doesn't care whether or not he's a good man  She doesn't care just as long as she still has her friends  She doesn't care whether or not he's an island  they laugh, they make money  He's got a gold watch  She's got a silk dress and healthy breasts  That bounce on his Italian leather sofa  She's got a serrated edge  that she moves back and forth  It's such a simple machine she doesn't have to use force  When she gets what she wants,  she puts the rest on a tray in a ziplock bag  ...in the freezer  She doesn't care whether or not he's an island  She doesn't care just as long as his ship's coming in  She doesn't care whether or not he's an island  They laugh, they make money  He's got a gold watch  She's got a silk dress and healthy breasts  that bounce on his Italian leather sofa",,
163,"Hello darkness, my old friend I've come to talk with you again Because a vision softly creeping Left its seeds while I was sleeping And the vision that was planted in my brain Still remains Within the sound of silence In restless dreams I walked alone Narrow streets of cobblestone 'Neath the halo of a street lamp I turned my collar to the cold and damp When my eyes were stabbed by the flash of a neon light That split the night And touched the sound of silence And in the naked light I saw Ten thousand people, maybe more People talking without speaking People hearing without listening People writing songs that voices never share And no one dared Disturb the sound of silence Fools, said I, you do not know Silence like a cancer grows Hear my words that I might teach you Take my arms that I might reach you But my words, like silent raindrops fell And echoed in the wells of silence And the people bowed and prayed To the neon god they made And the sign flashed out its warning In the words that it was forming And the sign said, the words of the prophets are written on the subway walls And tenement halls And whispered in the sounds of silence",,
164,,,
