,0,1,2,3,4
10,,,,,
11,,,,,
12,"""It has come to our attention that a mysterious force is LOOSE.. somewhere in outer space."" ""The mysteries of creation are there."" ""Up in the sky?"" ""Up in the sky."" ""The moon and the planets are there. And new hopes for knowledge and peace are there. And therefore as we set sail; we ask God's blessing -- on the most hazardous, and dangerous, and greatest adventure of which man has ever embarked."" ""Prepared for liftoff."" I self Lord and Master shall bring disaster to evil factors Demonic chapters, shall be captured by Kings Through the storms of days after Unto the Earth from the Sun through triple darkness to blast ya with a force that can't be compared to any firepower, for it's mindpower shared The brainwake, causes vessels to circulate like constellations reflect at night off the lake Word to the father, and Mother Earth Seeking everlasting life through this Hell for what it's worth Look listen and observe and watch another C-Cypher pullin my peeps to the curb Heed the words; it's like ghetto style proverbs The righteous pay a sacrifice to get what they deserve Cannot afford to be confined to a cell Brainwaves swell, turnin a desert to a well Experience the best teacher; thoughts will spray like street sweepers Little Daddy street preacher Illustrious feature, narrator you select Accompanied by Deck plus the DJ you respect The seven and a half combine, over the frontline The ten percenters, promotin slander in the airtime Bear in mind jewels be the tools of the trade Sharp veins heavenly praise and dues are paid Above the crowds, above the clouds where the sounds are original Infinite skills create miracles Warrior spiritual -- above the clouds reigning/raining down, holdin it down Yeah; I leave scientists mentally scarred -- triple extra large Wild like rock stars who smash guitars Poison bars from the Gods bust holes in your mirage and catch a charge shake em down like the riot squad And they deserve ruin like ancient Rome; I span the universe and return to Earth to claim my throne The maker, owner, plus soul controller Ayatollah rest in the sky, the cloud's my sofa Stand like Collossus, regardless to whom or what Numerous attempts at my life, so who to trust Who but us, to supply you with the fire? The burning truth, 150 Absolut proof On the mic like Moses spoke in golden scribe Survivor of the oldest tribe whose soldiers died I notified families, we shed tears and more but our hands are the ammo cause the battle's still on Sound the horn; we come rumblin through the function Precise laser beam technique to touch somethin When we die hard, to build the monument to honor us with humungous effect in the world we could have conquered it Above the crowds, above the clouds where the sounds are original Infinite skills create miracles Warrior spiritual -- above the clouds reigning/raining down, holdin it down Above the crowds, above the clouds where the sounds are original Infinite skills create miracles Warrior spiritual -- above the clouds reigning/raining down, holdin it down",,,,
13,,,,,
14,"Baby we can talk all night But that ain't gettin us nowhere I told you everything I possibly can There's nothing left inside of here And maybe you can cry all night But that'll never change the way I feel The snow is really piling up outside I wish you wouldn't make me leave here I poured it on and I poured it out I tried to show you just how much I care I'm tired of words and I'm too hoarse to shout But you've been cold to me so long I'm crying icicles instead of tears And all I can do is keep on telling you I want you, I need you But-there ain't no way I'm ever gonna love you Now don't be sad 'Cause two out of three ain't bad Now don't be sad 'Cause two out of three ain't bad You'll never find your gold on a sandy beach You'll never drill for oil on a city street I know you're looking for a ruby in a mountain of rocks But there ain't no Coup de Ville hiding at the bottom Of a Cracker Jack box I can't lie, I can't tell you that I'm something I'm not No matter how I try I'll never be able to give you something Something that I just haven't got There's only one girl I'll ever love And that was so many years ago And though I know I'll never get her out of my heart She never loved me back Oh I know I remember how she left me on a stormy night She kissed me and got out of our bed And though I pleaded and I begged her not to walk out that door She packed her bags and turned right away And she kept on telling me She kept on telling me She kept on telling me I want you, I need you But there ain't no way I'm ever gonna love you Now don't be sad 'Cause two out of three ain't bad I want you, I need you But there ain't no way I'm ever gonna love you Now don't be sad 'Cause two out of three ain't bad Baby we can talk all night But that ain't getting us nowhere",,,,
15,,,,,
16,,,,,
17,"Hands down, I'm too proud for love But with eyes shut, it's you I'm thinking of But how we move from A to B It can't be up to me cause you don't know Eye to eye, thigh to thigh, I let go I think I'm a little bit, little bit A little bit in love with you But only if you're a little bit, little bit Little bit in love with me And for you I keep my legs apart And forget about my tainted heart And I will never ever be the first to say it But still I, you know I I would do it Push a button, pull the trigger, pull a mountain, jump off a cliff Cause you know baby, I love you, love you a little bit You would do it, you would say it You would mean it, and we could do it It was you and I, not only I think I'm a little bit, little bit A little bit in love with you But only if you're a little bit, little bit Little bit in love with me I think I'm a little bit, little bit A little bit in love with you But only if you're a little bit, little bit Little bit in love with me Come here, stay with me, stroke me by the hair Cause I would give anything, anything, to have you as my man Come here, stay with me, stroke me by the hair Cause I would give anything, anything, to have you as my man Little bit, little bit A little bit in love with you But only if you're a little bit, little bit Little bit in love with me I think I'm a little bit, little bit A little bit in love with you But only if you're a little bit, little bit Little bit in love with me I think I'm a little bit, little bit A little bit in love with you But only if you're a little bit, little bit, little bit Little bit Little bit Little bit Little bit, little bit",,,,
18,"Well, I just got into town about an hour ago Took a look around, see which way the wind blow Where the little girls in their Hollywood bungalows Are you a lucky little lady in the City of Light Or just another lost angel...City of Night City of Night, City of Night, City of Night, woo, see'mon L.A. Woman, L.A. Woman L.A. Woman Sunday afternoon L.A. Woman Sunday afternoon L.A. Woman Sunday afternoon Drive through your suburbs Into your blues, into your blues, yeah Into your blue-blue Blues Into your blues, ohh, yeah I see your hair is burnin' Hills are filled with fire If they say I never loved you You know they are a liar Drivin' down your freeways Midnite alleys roam Cops in cars, the topless bars Never saw a woman... So alone, so alone So alone, so alone Motel Money Murder Madness Let's change the mood from glad to sadness Mr. Mojo Risin', Mr. Mojo Risin' Mr. Mojo Risin', Mr. Mojo Risin' Got to keep on risin' Mr. Mojo Risin', Mr. Mojo Risin' Mojo Risin', gotta Mojo Risin' Mr. Mojo Risin', gotta keep on risin' Risin', risin' Gone risin', risin' I'm gone risin', risin' I gotta risin', risin' Well, risin', risin' I gotta, wooo, yeah, risin' Woah, ohh yeah Well, I just got into town about an hour ago Took a look around, see which way the wind blow Where the little girls in their Hollywood bungalows Are you a lucky little lady in the City of Light Or just another lost angel...City of Night City of Night, City of Night, City of Night, woah, see'mon L.A. Woman, L.A. Woman L.A. Woman, your my woman Little L.A. Woman, Little L.A. Woman L.A. L.A. Woman Woman L.A. Woman see'mon",,,,
19,,,,,
20,,,,,
21,"We're only young and naive still We require certain skills The mood it changes like the wind Hard to control when it begins The bittersweet between my teeth Trying to find the in-betweens Fall back in love eventually Yeah yeah yeah yeah Can't help myself but count the flaws Claw my way out through these walls One temporary escape Feel it start to permeate We lie beneath the stars at night Our hands gripping each other tight You keep my secrets hope to die Promises, swear them to the sky The bittersweet between my teeth Trying to find the in-betweens Fall back in love eventually Yeah yeah yeah yeah As it withers Brittle it shakes Can you whisper As it crumbles and breaks As you shiver Count up all your mistakes Pair of forgivers Let go before it's too late Can you whisper Can you whisper Can you whisper Can you whisper The bittersweet between my teeth Trying to find the in-betweens Fall back in love eventually Yeah yeah yeah yeah The bittersweet between my teeth Trying to find the in-betweens Fall back in love eventually Yeah yeah yeah yeah",,,,
22,"Anticipation has a habit to set you up For disappointment in evening entertainment but Tonight there'll be some love Tonight there'll be a ruckus yeah regardless of what's gone before I want to see all of the things that we've already seen The lairy girls hung out the window of the limousine Of course it's fancy dress And they're all looking quite forlorn in bunny ears and devil horns and how Anticipation has a habit to set you up For disappointment in evening entertainment but Tonight there'll be some love Tonight there'll be a ruckus yeah regardless of what's gone before I want to see all of the things that we've already seen I wanna see you take the jackpot out the fruit machine And put it all back in You've got to understand that you can never beat the bandit, no And she won't be surprised and she won't be shocked When she's pressed the star after she's pressed unlock And there's verse and chapter sat in her inbox And all that is said is that you've drank a lot And you should bear that in mind tonight Bear that in mind yeah You should bear that in mind tonight Bear that in mind And you can pour your heart out For a reason it would block Oh you send her after nine o' clock Anticipation has a habit to set you up For disappointment in evening entertainment but Tonight there'll be some love Tonight there'll be a ruckus yeah regardless of what's gone before And she won't be surprised and she won't be shocked When she's pressed the star after she's pressed unlock And there's verse and chapter sat in her inbox And all that is said is that you've drank a lot And you should bear that in mind tonight Bear that in mind yeah You should bear that in mind tonight Bear that in mind And you can pour your heart out Around three o' clock When the two-for-ones have done the writer's block",,,,
23,"Well, outside my window there's a  Whole lot of trouble comin'  The cartoon killers and the rag cover clones  Stack heals kickin' rhythm  Of social circumcision  Can't close the closet on a shoe box full of bones  Kangaroo lady with her bourbon in a pouch  Can't afford the rental on a bamboo couch  Collecting back her favors 'cause her well is running dry  I know her act is terminal but she ain't gonna die  Slim intoxicado drinkin' dime store hooch  Is always in a circle with his part-time pooch  Little creepy's playing dollies on the New York rain  Thinkin' Bowie's just a knife Oh the pain I ain't seen the sun since I don't know when  The freaks come out at nine and it's twenty to ten  What's this funk that you call junk?  To me it's just monkey business (get back) Blind man in the box that will probably die The village kids laugh as they walk by  A psycho is on the edge of this human garbage dump  And the vultures in the sewers are telling him to jump  Into the fire from the frying pan Tripping on his tongue for a cool place to stand  Where's this shade that you've got it made  To me it's just monkey business  slippin' on the track  (Monkey business) jungle in black  (Ain't your business) if I got no monkey on my back  slippin' on the track  (Monkey business) jungle in black  (Ain't your business) if I got no monkey on my back  The Vaseline gypsies and the silicone souls dressed to the society  Hypocrite heartbeat and cheap alibis can't get you by that monkey, m-m-monkey, monkey slippin' on the track  (Monkey business) jungle in black  (Ain't your business) if I got no monkey on my back  slippin' on the track  (Monkey business) jungle in black  (Ain't your business) if I got no monkey on my back  I got the business (Ain't your business) no monkey on my back, yeah, yeah, cool Monkey business, ness, business Don't get me no business, oh aay",,,,
24,,,,,
25,,,,,
26,"Watching haters wonder why Gambino got the game locked Half-Thai thickie, all she wanna do is Bangkok Got her hair done, French braids, now she A$AP Bino so insensitive, she asking, ""Why you say that?!"" I'm chillin', real nigga feeling Rich kid, asshole: paint me as a villain Still spitting that cash flow: DJ Khaled I got a penthouse on both coasts, pH balance Real nigga, I rep those, why though? Cause I said so Hip deep in the Pepto, I got five on her like Ben Folds I got more tail than that PetCo, you faker than some Sweet'N Low Yeah, you got some silverware, but really are you eating though? Are you eating though? Nigga, are you eating though? Breakfast, lunch and dinner's for beginners, you ain't even know Never catching cases, why they faces look so e-m-o? Watch a hater hate me, wanna play me like a piano My architect know Japanese, yo' girl, she jocking me No hands like soccer teams and y'all fuck boys like Socrates You niggas ain't copping these, niggas ain't looking like me Nah, I ain't checking I.D. but I bounce 'em with no problem Tell 'em, Problem (Problem!) I'm winnin', yeah, yeah, I'm winnin'  Rich kid, asshole, paint me as a villain Don't be mad cause I'm doing me better than you doing you  Better than you doing you, fuck it, what you gon' do? Different color, my passport, Instagram my stack load Hashtag my day wear and your girl drink my day care And I'm born rich, life ain't fair (silver spoon coon, ho) Ain't nobody sicker and my Fisker, ""vroom, vroom, "" ho Ain't nobody Fiskers don't make noise when they start up just so you know Top of the Hold 'em totem, ri-rich forever, a million was not the quota My father owned half of MoMA and did it with no diploma Year off, got no rules, tripping off of them toadstools More green than my Whole Foods and I'm too fly, Jeff Goldblum Got a glass house in the Palisades, that a-k-a White hood, white hood, (okay-kay-kay) Furniture custom, you shop at IKEA So Maserati, you whipping a Kia Spending this money, it's longer than Nia Live like a Coppola, me and Sofia Waking up broke, man, wouldn't wanna be ya Friends with the dope man, help a nigga re-up Bring a girlfriend, man, trouble when I see her ""Err-err-err-err"": onomatopoeia, oh, I got my cool on! (Tell 'em, mane) I'm winning so they had to dump the Gatorade And I don't give a fuck about my family name Don't be mad cause I'm doing me better than you doing you Better than you doing you, fuck it, what you gon' do?",,,,
27,"There's a place in your heart And I know that it is love And this place could be much Brighter than tomorrow And if you really try You'll find there's no need to cry In this place you'll feel There's no hurt or sorrow There are ways to get there If you care enough for the living Make a little space Make a better place Heal the world Make it a better place For you and for me And the entire human race There are people dying If you care enough for the living Make it a better place For you and for me If you want to know why There's love that cannot lie Love is strong It only cares of joyful giving If we try we shall see In this bliss we cannot feel Fear of dread We stop existing and start living The it feels that always Love's enough for us growing So make a better world Make a better place Heal the world Make it a better place For you and for me And the entire human race There are people dying If you care enough for the living Make a better place for you and for me And the dream we were conceived in Will reveal a joyful face And the world we once believed in Will shine again in grace Then why do we keep strangling life Wound this earth, crucify its soul Though it's plain to see This world is heavenly Be god's glow We could fly so high Let our spirits never die In my heart I feel you are all my brothers Create a world with no fear Together we cry happy tears See the nations turn their swords into plowshares We could really get there If you cared enough for the living Make a little space To make a better place Heal the world Make it a better place For you and for me And the entire human race There are people dying  If you care enough for the living Make a better place for you and for me There are people dying If you care enough for the living Make a better place for you and for me You and for me",,,,
28,,,,,
29,"She calls out to the man on the street 'Sir, can you help me? It's cold and I've nowhere to sleep, Is there somewhere you can tell me?' He walks on, doesn't look back He pretends he can't hear her Starts to whistle as he crosses the street Seems embarrassed to be there Oh think twice, it's another day for you and me in paradise Oh think twice, 'cause it's just another day for you, You and me in paradise, think about it She calls out to the man on the street He can see she's been crying She's got blisters on the soles of her feet She can't walk but she's trying Oh think twice, 'cause it's another day for you and me in paradise Oh think twice, it's just another day for you, You and me in paradise, think about it Oh Lord, is there nothing more anybody can do Oh Lord, there must be something you can say You can tell from the lines on her face You can see that she's been there Probably been moved on from every place Cause she didn't fit in there Oh think twice, 'cause another day for you and me in paradise Oh think twice, it's just another day for you, You and me in paradise, just think about it, think about it It's just another day for you and me in paradise It's just another day for you and me in paradise, paradise It's just another day for you and me in paradise It's just another day for you and me in paradise, paradise It's just another day for you and me It's just another day for you and me It's just another day for you and me in paradise In paradise",,,,
30,"She can kill with a smile, she can wound with her eyes She can ruin your faith with her casual lies And she only reveals what she wants you to see She hides like a child but she's always a woman to me She can lead you to love, she can take you or leave you She can ask for the truth but she'll never believe you And she'll take what you give her as long as it's free Yeah she steals like a thief but she's always a woman to me Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, she never gives out and she never gives in She just changes her mind And she'll promise you more than the garden of Eden Then she'll carelessly cut you and laugh while you're bleeding But she brings out the best and the worst you can be Blame it all on yourself 'cause she's always a woman to me Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, she never gives out and she never gives in She just changes her mind She is frequently kind and she's suddenly cruel She can do as she pleases, she's nobody's fool But she can't be convicted, she's earned her degree And the most she will do is throw shadows at you But she's always a woman to me",,,,
31,"Step one, you say we need to talk He walks, you say sit down, it's just a talk He smiles politely back at you You stare politely right on through Some sort of window to your right As he goes left, and you stay right Between the lines of fear and blame You begin to wonder why you came Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life Let him know that you know best Cause after all, you do know best Try to slip past his defense Without granting innocence Lay down a list of what is wrong The things you've told him all along And pray to God he hears you And I pray to God he hears you Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life As he begins to raise his voice You lower yours and grant him one last choice Drive until you lose the road Or break with the ones you've followed He will do one of two things He will admit to everything Or he'll say he's just not the same And you'll begin to wonder why you came Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life How to save a life How to save a life Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life Where did I go wrong? I lost a friend Somewhere along in the bitterness And I would have stayed up with you all night Had I known how to save a life How to save a life How to save a life",,,,
32,"Surrender your cloth and collar priest There's no need for your beliefs in war This is a place for heathens Into that darkness fires illuminate Grotesquely swollen by the heat A half-burned corpse hanging naked A stream is poisoned by the dead In the ghostly light, debris of war Lead us to the brink of extinction The time has come for you now to finish it What has man become a funeral pyre Now that judgment's near, prepare to die Need to suffer, lust for power Mindless hunger never win Final six is here, the cycle ends I have come for you, my child And the gift I bring is murder Sumerian death in eastern winds Face the father of your terror Godless warheads wait to breathe Set their sights on history Distant silhouettes of the dead Blacken face screams through the ashes Lead us to the brink of extinction The time has come for you now to finish it What has man become a funeral pyre Now that judgment's near, prepare to die Need to suffer, lust for power Mindless hunger never win Final six is here, the cycle ends Mankind owes his pain to hell As he brings the end upon himself Arms rising from the ashes In the ghastly light of human flares Berith soldiers capture souls Shadows of human sacrifice The return of everything that's dead A cryptic promise from the heavens Lead us to the brink of extinction The time has come for you now to finish it Dead flowers for a faceless dead A city engulfed by the smell of the death Bodies piled beneath the mist Walking dead among the living The world will bleed while horseman ride Now that God has wept for Judas Days are numbered, find your grave Forever trying to escape to hell",,,,
33,,,,,
34,"Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day  The sun is up, the sky is blue it's beautiful and so are you Dear Prudence, won't you come out to play Dear Prudence, open up your eyes Dear Prudence, see the sunny skies The wind is blowing, the birds will sing and you are part of everything Dear Prudence, won't you open up your eyes Look around, around...look around, round, round, round, round Look around. Dear Prudence, Let me see you smile Dear Prudence, like a little child  The clouds will be the Daisy's change so let me see you smile again Dear Prudence, won't you let me see you smile Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue it's beautiful and so are you Dear Prudence, won't you come out to play Look around, round, round, round, round Look around, round, round, round, round Look around, round, round, round, round Look around, round, round, round, round Ahh ahhhh oh ahh haaa oohh  Ahh ahhhh oh ahh haaa oohh Ahh ahhhh oh ahh haaa oohh We can work it out We can work it out We can work it out",,,,
35,"On a morning from a Bogart movie In a country where they turn back time You go strolling through the crowd like Peter Lorre Contemplating a crime She comes out of the sun in a silk dress running Like a watercolor in the rain Don't bother asking for explanations She'll just tell you that she came In the year of the cat She doesn't give you time for questions As she locks up your arm in hers And you follow 'till your sense of which direction Completely disappears By the blue tiled walls near the market stalls There's a hidden door she leads you to These days, she says, I feel my life Just like a river running through The year of the cat While she looks at you so cooly And her eyes shine like the moon in the sea She comes in incense and patchouli So you take her, to find what's waiting inside The year of the cat Well morning comes and you're still with her And the bus and the tourists are gone And you've thrown away your choice you've lost your ticket So you have to stay on But the drum-beat strains of the night remain In the rhythm of the new-born day You know sometime you're bound to leave her But for now you're going to stay In the year of the cat Year of the cat",,,,
36,"If you change your mind, I'm the first in line Honey I'm still free Take a chance on me If you need me, let me know, gonna be around If you've got no place to go, if you're feeling down If you're all alone when the pretty birds have flown Honey I'm still free Take a chance on me Gonna do my very best and it ain't no lie If you put me to the test, if you let me try Take a chance on me (That's all I ask of you honey) Take a chance on me We can go dancing, we can go walking, as long as we're together Listen to some music, maybe just talking, get to know you better 'Cause you know I've got So much that I wanna do, when I dream I'm alone with you It's magic You want me to leave it there, afraid of a love affair But I think you know That I can't let go If you change your mind, I'm the first in line Honey I'm still free Take a chance on me If you need me, let me know, gonna be around If you've got no place to go, if you're feeling down If you're all alone when the pretty birds have flown Honey I'm still free Take a chance on me Gonna do my very best and it ain't no lie If you put me to the test, if you let me try Take a chance on me (Come on, give me a break will you?) Take a chance on me Oh you can take your time baby, I'm in no hurry, know I'm gonna get you You don't wanna hurt me, baby don't worry, I ain't gonna let you Let me tell you now My love is strong enough to last when things are rough It's magic You say that I waste my time but I can't get you off my mind No I can't let go 'Cause I love you so If you change your mind, I'm the first in line Honey I'm still free Take a chance on me If you need me, let me know, gonna be around If you've got no place to go, if you're feeling down If you're all alone when the pretty birds have flown Honey I'm still free Take a chance on me Gonna do my very best, baby can't you see Gotta put me to the test, take a chance on me (Take a chance, take a chance, take a chance on me) Ba ba ba ba baa, ba ba ba ba baa Honey I'm still free Take a chance on me Gonna do my very best, baby can't you see Gotta put me to the test, take a chance on me (Take a chance, take a chance, take a chance on me) Ba ba ba ba baa, ba ba ba ba baa ba-ba Honey I'm still free Take a chance on me Gonna do my very best, baby can't you see Gotta put me to the test, take a chance on me",,,,
37,,,,,
38,,,,,
39,What ravages of spirit Conjured this tempestuous rage Created you a monster Broken by the rules of love And fate has led you through it You do what you have to do And fate has led you through it You do what you have to do And I have the sense to recognize that I don't know how to let you go Every moment marked With apparitions of your soul I'm ever swiftly moving Trying to escape this desire The yearning to be near you I do what I have to do The yearning to be near you I do what I have to do And I have the sense to recognize that I don't know how to let you go I don't know how to let you go A glowing ember Burning hot And burning slow Deep within I'm shaken by the violence Of existing for only you I know I can't be with you I do what I have to do I know I can't be with you I do what I have to do And I have sense to recognize but I don't know how to let you go I don't know how to let you go (I don't know how to let you go),,,,
40,,,,,
41,,,,,
42,"Francis! Francis! be careful! Trying so hard to keep up with the Jones's Running a rat racing won by our noses Always put one foot in front of the other And dance to the beat of the decadent drummer Just buy a brand new pair of Fred Astaire shoes Climbing to the top, never gonna stop It's the same old song and one two three and dec-a-dance Dance, dance Dance, dance Dancing to the decadence dance, dance Everybody decadancing Dancing to the decadence Dancing to the decadence dance It's hard to stop once the music gets started 'til the soles of your feet harden up like your heart did Stepping in line with the sign of the timer Seduced by the tune of the decadent dancer Just buy a brand new pair of Fred Astaire shoes Climbing to the top, never gonna stop It's the same old song and one two three and dec-a-dance Dance, dance Dance, dance Dancing to the decadence dance, dance Everybody decadancing Dancing to the decadence Dancing to the decadence dance",,,,
43,,,,,
44,"In the middle of the night I go walking in my sleep From the mountains of faith To a river so deep I must be looking for something Something sacred I lost But the river is wide And it's too hard to cross And even though I know the river is wide I walk down every evening and I stand on the shore And try to cross to the opposite side So I can finally find out what I've been looking for In the middle of the night I go walking in my sleep Through the valley of fear To a river so deep And I've been searching for something Taken out of my soul Something I would never lose Something somebody stole I don't know why I go walking at night But now I'm tired and I don't want to walk anymore I hope it doesn't take the rest of my life Until I find what it is that I've been looking for In the middle of the night I go walking in my sleep Through the jungle of doubt To a river so deep I know I'm searching for something Something so undefined That it can only be seen By the eyes of the blind In the middle of the night I'm not sure about a life after this God knows I've never been a spiritual man Baptized by the fire, I wade into the river That runs to the promised land In the middle of the night I go walking in my sleep Through the desert of truth To the river so deep We all end in the ocean We all start in the streams We're all carried along By the river of dreams In the middle of the night",,,,
45,,,,,
46,,,,,
47,His little whispers Love me love me That's all I ask for Love me love me He battered his tiny fists to feel something Wondered what it's like to touch and feel something Monster How should I feel? Creatures lie here Looking through the window That night he caged her Bruised and broke her He struggled closer Then he stole her Violet wrists and then her ankles Silent pain Then he slowly saw their nightmares were his dreams Monster How should I feel? Creatures lie here Looking through the windows I will Hear their voices I'm a glass child I am Hannah's regrets Monster How should I feel? Turn the sheets down Murder ears with pillow lace There's bath tubs Full of glow flies Bathe in kerosene Their words tattooed in his veins,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,"In the dark of the night Those small hours Uncertain and anxious I need to call you Rooms full of strangers Some call me friend But I wish you were so close to me In the dark of night Those small hours I drift away When I'm with you In the dark of night By my side In the dark of night By my side I wish you were I wish you were Here comes the clown His face is a wall No window No air at all In the dark of night These faces they haunt me But I wish you were So close to me In the dark of night By my side In the dark of night By my side I wish you were I wish you were In the dark of night By my side In the dark of night By my side I wish you were I wish you were In the dark of night These faces they haunt me Well, I wish you were so close to me Yes, I wish you were By my side",,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,"Shower in the dark day Clean sparks diving down Cool in the waterway Where the baptized drown Naked in the cold sun Breathing life like fire Thought I was the only one But that was just a lie 'Cause I heard it in the wind And I saw it in the sky And I thought it was the end And I thought it was the fourth of July Pale in the flare light The scared light cracks and disappears And leads the scorched ones here And everywhere no one cares The fire is spreading And no one wants to speak about it Down in the hole Jesus tries to crack a smile Beneath another shovel load 'Cause I heard it in the wind And I saw it in the sky And I thought it was the end And I thought it was the fourth of July Heard it in the wind And I saw it in the sky And I thought it was the end And I thought it was the fourth of July Fourth of July, July Now I'm in control Now I'm in the fall out Once asleep but now I stand And I still remember your sweet everything Light a roman candle And hold it in your hand Heard it in the wind And I saw it in the sky And I thought it was the end And I thought it was the fourth of July Heard it in the wind And I saw it in the sky And I thought it was the end And I thought it was the fourth of July, yeah",,,,
58,We're face to face Loyalty is what I need to see from you You're insecure I can see the fear that breeds in your heart Where will you run? Where will you hide? I see the blood Drip from your eyes Who will survive? Let's get it on And we'll fight! I know who you are The leader of lost souls You can't kill me I'm immortal I'm not afraid to die My soul will travel on You can't kill me I'm immortal Immortal Immortal I need the rush there's nowhere you can hide before you die Why won't you face me? I can see the fear that's in your eyes Where will you run? Where will you hide? I see the blood Drip from your eyes Who will survive? Let's get it on And we'll fight! I know who you are The leader of lost souls You can't kill me I'm immortal I'm not afraid to die My soul will travel on You can't kill me I'm immortal I know who you are The leader of lost souls You can't kill me I'm immortal I'm not afraid to die My soul will travel on You can't kill me I'm immortal Where will you run? Where will you hide? Where will you run? Where will you hide? Let's fight! I know who you are The leader of lost souls You can't kill me I'm immortal I'm not afraid to die My soul will travel on You can't kill me I'm immortal I know who you are The leader of lost souls You can't kill me I'm immortal I'm not afraid to die My soul will travel on You can't kill me I'm immortal You can't kill me Immortal You can't kill me Immortal You can't kill me,,,,
