,0,1
16,Lay where you're laying Don't make a sound I know they're watching Watching All the commotion The kiddie like play It has people talking Talking You Your sex is on fire The dark of the alley The breaking of day Head while I'm driving I'm driving Soft lips are open Them knuckles are pale Feels like you're dying You're dying You Your sex is on fire Consumed With what's to transpire Hot as a fever Rattle of bones I could just taste it Taste it But it's not forever But it's just tonight Oh we're still the greatest The greatest The greatest You Your sex is on fire You Your sex is on fire Consumed With what's to transpire And you Your sex is on fire Consumed With what's to transpire,
17,,
18,,
19,,
20,,
21,,
22,"Step by step, heart to heart, left right left We all fall down, Step by step, heart to heart, left right left We all fall down like toy soldiers Bit by bit, torn apart We never win but the battle wages on for toy soldiers I'm suppose to be the soldier, who never blows his composure Even though I hold the weight of the whole world on my shoulders I ain't never suppose to show it, my crew ain't suppose to know it Even if it means going toe to toe with the Benzino, it don't matter I never drag 'em in battles that I can handle less I absolutely have to I'm suppose to set an example, I need to be the leader My crew looks for me to guide 'em If some shit ever just pop off I'm suppose to be beside 'em That Ja shit, I tried to squashed it, it was too late to stop it There's a certain line, you just don't cross it, and he crossed it I heard him say Hailie's name on a song and I just lost it It was crazy, this shit went way beyond some Jay Z and Nas shit And even though the battle was won, I feel like we lost it I spent so much energy on it, honestly I'm exhausted I'm so caught it I almost feel like I'm the one who caused it This ain't what I'm in Hip Hop for, it's not why I got in it That was never my object for someone to get killed Why would I want to destroy something I helped build It wasn't my intentions, my intentions were good I went through my whole career with out ever mentioning And that's just outta respect, for not running my mouth And talking about something that I knew nothing about Plus Dre told me stay out, just wasn't my beef, So I did I just fell back, watched and gritted my teeth while he's all over TV Now I'm talking a man who literally saved my life, like fuck it I understand, this is business and this shit just isn't none of my business But still knowing this shit could pop off at any minute cause Step by step, heart to heart, left right left We all fall down, like toy soldiers Bit by bit, torn apart We never win but the battle wages on for toy soldiers It used to be a time when you could just say a rhyme And wouldn't have to worry about one of your people dying But now it's elevated cause once you put someone's kids in it Shit gets escalated, it ain't just words no more, is it It's a different ball game, call names and you ain't just rapping We actually tried to stop the 50 and Ja beef from happening Me and Dre had sat with him, kicked it and had a chat with him And asked him not to start it, he wasn't gonna go after him Until Ja' start yappin' in magazines how he stabbed him Fuck 'em 50, smash him, mash him, and let him have it Meanwhile my intentions pulled me in other directions Some receptionist said the source who answers phones at his desk Has an erection for me and thinks That I'll be his resurrection Tries to blow the dust of his mic and make a new record But now he's fucked the game up cause one of the ways I came up Was through that publication, the same one that made me famous Now the owner of it got a grudge against me for nothing but fuck it That motherfucker can get it too, fuck 'em then But I'm so busy being pissed off, I don't stop to think That we just inherited 50's beef with Murder Inc And he's inherited mine, which is fine, ain't like either of us mind We still have soldiers that's on the front line that's willing to die for us As soon as we give the orders, never to extort us Strictly to show they support us Maybe shout 'em out in a rap or up in a chorus to show we love 'em back And to let 'em know how important it is to have Runyon Avenue soldiers up in our corners Their loyalty to us is worth more then any award is But I ain't trying to have none of my people hurt or murdered It ain't worth it, I can't think of a perfecter way to word it Then to just say that I love y'all too much to see the verdict I'll walk away from it all before I'll let it go any further But don't get it twisted, it's not a plea that I'm coping I'm just willing to be the bigger man If y'all can quit popping off at the jaws with the knocking 'Cause frankly I'm sick of talking I'm not gonna let someone else's coffin rest on my conscience 'cause Step by step, heart to heart, left right left We all fall down, like toy soldiers Bit by bit, torn apart We never win but the battle wages on for toy soldiers",
23,,
24,,
25,,
26,"Sometimes, I feel the fear of uncertainty stinging clear And I can't help but ask myself how much I'll let the fear Take the wheel and steer It's driven me before And it seems to have a vague, haunting mass appeal But lately I am beginning to find That I should be the one behind the wheel Whatever tomorrow brings I'll be there with open arms and open eyes Whatever tomorrow brings I'll be there, I'll be there So if I decide to waiver my chance To be one of the hive Will I choose water over wine And hold my own and drive? It's driven me before And it seems to be the way that everyone else gets around But lately I am beginning to find That when I drive myself my light is found So whatever tomorrow brings I'll be there with open arms and open eyes Whatever tomorrow brings I'll be there, I'll be there Would you choose water over wine Hold the wheel and drive? Whatever tomorrow brings I'll be there with open arms and open eyes Whatever tomorrow brings I'll be there, I'll be there",
27,,
28,,
29,"I cannot take this anymore I'm saying everything I've said before All these words they make no sense I find bliss in ignorance Less I hear the less you'll say But you'll find that out anyway Just like before Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break I find the answers aren't so clear Wish I could find a way to disappear All these thoughts they make no sense I find bliss in ignorance Nothing seems to go away Over and over again Just like before Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to, break Shut up when I'm talking to you Shut up, shut up, shut up Shut up when I'm talking to you Shut up, shut up, shut up Shut up, I'm about to break! Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to, break",
30,"No, no! She can't take your mind and leave I know it's just another trick she's got up her sleeve I can't believe that she really wants you to die  After all it's more than enough to pay for your lie  Wait a minute, watch what you're doin' with your time  All the endless ruins of the past must stay behind, yeah Well, can't you see that you're killing each others soul  Well, you're both out in the streets and you got no place to go Your constant battles are getting to be a bore So go somewhere else and continue your cream puff war",
31,"Intimidation, I stand before you now Hold my crown; you won't strike me down A validation of all the blood I spill Survival of my will There's nothing left to say Yourself you have betrayed We must try to seize the day All the world will hear you Our voices can't be bound All the world will hear you Redemption in the power of the sound Interpretation of all the thoughts I share Tie you there creating all your fear A brand new nation for those who persevere The future is so clear There's nothing left to say Yourself you have betrayed We must try to seize the day All the world will hear you Our voices can't be bound All the world will hear you Redemption in the power of the sound What of validation? What of all the filth wide spread? What of validation? Why our blind fear? All the world will hear you Our voices can't be bound All the world will hear you Redemption in the power of the sound",
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,"You can dress me up in diamonds You can dress me up in dirt You can throw me like a line-man I like it better when it hurts Oh, I have waited here for you I have waited You make me wanna la la In the kitchen on the floor I'll be your French maid  When I'll meet you at the door I'm like an alley cat Drink the milk up I want more You make me wanna You make me wanna scream You can meet me on an airplane Or in the back of the bus You can throw me like a boom-a-rang I'll come back and beat you up Oh, I have waited here for you Don't, keep me waiting You make me wanna la la In the kitchen on the floor I'll be your French maid  When I'll meet you at the door I'm like an alley cat Drink the milk up I want more You make me wanna You make me wanna scream You make me wanna la la In the kitchen on the floor I'll be your French maid  When I'll meet you at the door I'm like an alley cat Drink the milk up I want more You make me wanna You make me wanna scream I feel safe with you I can be myself tonight  It's alright, with you 'cause you hold, my secrets tight  You do, You do You make me wanna la la, la la la, la la, la la la la la la la la la You make me wanna la la, la la la You make me wanna la la In the kitchen on the floor I'll be your French maid  When I'll meet you at the door I'm like an alley cat Drink the milk up I want more You make me wanna You make me wanna la la In the kitchen on the floor I'll be your French maid  When I'll meet you at the door I'm like an alley cat Drink the milk up I want more You make me wanna You make me wanna scream You make me wanna la la, la la la, la la, la la la la la la la la la You make me wanna la la, la la la la You make me wanna la la, la la la, la la, la la la la la la la la la You make me wanna la la, la la la la You make me wanna la la, la la la, la la, la la la la la la la la la You make me wanna la la, la la la la",
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,"Cross my heart and look into the sea Cross my arms and turn to me Turn to me instead of telling the truth And now, now I can honor you Since you've left, all we're talking about Is different problems While I'm dragging my heels So long to be my mother So long to be my friend Will you talk to me? I'm real bored We're in the house, looking at the dark If you learn to follow me I'll know that you can honor me Since you've left, all we're talking about Is different problems While I'm dragging my heels So long to be my mother So long to be my friend You're covered in the lotion That was inside of me I'll throw you in the ocean I'll pass you to the sea You're covered in the lotion That was inside of me I'll throw you in the ocean I'll pass you to the sea If this is love Then I'm fucking proud of it If this is love Then I'm fucking proud of it If this is love Then I'm fucking proud of it If this is love Then I'm fucking proud of it",
52,,
53,,
54,,
55,,
56,,
57,"Survival Survival One more goddamn day when I know what I want And my want will be considered tonight, considered tonight Just another day when all that I want Will mark me as a sinner tonight, I'm a sinner tonight, yeah People can no longer cover their eyes If this disturbs you, then walk away You will remember the night you were struck by the sight of Ten thousand fists in the air Power unrestrained and dead on the mark Is what we will deliver tonight, deliver tonight Pleasure fused with pain is triumph of the soul Will make you shiver tonight, will make you shiver tonight, yeah People can no longer cover their eyes If this disturbs you, then walk away You will remember the night you were struck by the sight of Ten thousand fists in the air We are the ones that will open your mind Leave the weak and the haunted behind (We are the ones that will open your mind) Leave the weak and the haunted behind (We are the ones that will open your mind) Leave the weak and the haunted behind (We are the ones that will open your mind) Leave the weak and the haunted behind People can no longer cover their eyes If this disturbs you, then walk away You will remember the night you were struck by the sight of Ten thousand fists in the air Ten thousand fists in the air Ten thousand fists in the air",
58,,
59,,
60,,
61,Far away The ship is taking me far away Far away from the memories Of the people who care if I live or die The starlight I will be chasing a starlight Until the end of my life I don't know if it's worth it anymore Hold you in my arms I just wanted to hold You in my arms My life You electrify my life Let's conspire to ignite All the souls that would die just to feel alive Now I'll never let you go If you promised not to fade away Never fade away Our hopes and expectations Black holes and revelations Our hopes and expectations Black holes and revelations Hold you in my arms I just wanted to hold You in my arms Far away The ship is taking me far away Far away from the memories Of the people who care if I live or die And I'll never let you go If you promise not to fade away Never fade away Our hopes and expectations Black holes and revelations Our hopes and expectations Black holes and revelations Hold you in my arms I just wanted to hold You in my arms I just wanted to hold,
62,,
63,"Thousands of hairs  Two eyes only  Its you  Some skin  Billions of genes  Again its you  XX XY  That's why it's you and me  Your blood is red  It's beautiful genetic love  Biological  I don't know why I feel that way with you  Biological  I need your DNA  Your fingerprints  The flesh, her arm, your bones  I'd like to know  Why all these things move me  Let's use ourselves to be as one tonight  Apart of me would like to travel in your veins  Biological  I don't know why I feel that way with you  Biological  I need your DNA",
64,"A universe to fill Can't scratch the surface Now a slow pay Still why everyone watching It's like I'm real tired of the clones I'm real tired of the clones Whatever you you say Whatever you say Whatever you say Bring me a light Make my life worth something more Show me a light Bring a light Bring me a light Make my life worth something more Show me a light Bring a light Where's the space I fill Where's the sympathy I killed I need to find a meaning I'm useless, I'm useless Trapped inside my own web Whatever you you say Whatever you say Whatever you say Bring me a light Make my life worth something more Show me a light Bring a light Bring me a light Make my life worth something more Show me a light Bring a light When I'm alone I stare at nothingness Painful silence Painful silence kills) Bring me a light Make my life worth something more Show me a light Bring a light Bring me a light Make my life worth something more Show me a light Bring a light Whatever you say Whatever you say Bring me a light Make my life worth something more Show me a light Bring a light",
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,"Too alarmin' now to talk about Take your pictures down and shake it out Truth or consequence, say it aloud Use that evidence, race it around There goes my hero Watch him as he goes There goes my hero He's ordinary Don't the best of them bleed it out While the rest of them peter out? Truth or consequence, say it aloud Use that evidence, race it around There goes my hero Watch him as he goes There goes my hero He's ordinary Kudos, my hero, leavin' all the best You know my hero, the one that's on There goes my hero Watch him as he goes There goes my hero He's ordinary There goes my hero Watch him as he goes There goes my hero He's ordinary",
74,,
75,"I can see you stalking like a predator I've been here before Temptation calls like Adam to the apple But I will not be caught 'Cause I can read those velvet eyes And all I see is lies No more poison Killing my emotion I will not be frozen Dancing is my remedy, remedy, oh Stop stop praying 'Cause I'm not not playing I'm not frozen Dancing is my remedy, remedy, oh Move while you're watching me Dance with the enemy I've got a remedy Oh, oh-oh, oh-oh Move while you're watching me Dance with the enemy Here is my remedy Oh, oh-oh, oh-oh Spin me faster like a kaleidoscope All I've got's the floor Yeah, you can try but I've found the antidote Music is the cure So you can try to paralyze But I know best this time No more poison Killing my emotion I will not be frozen Dancing is my remedy, remedy, oh Stop stop praying 'Cause I'm not not playing I'm not frozen Dancing is my remedy, remedy, oh Move while you're watching me Dance with the enemy I've got a remedy Oh, oh-oh, oh-oh Move while you're watching me Dance with the enemy Here is my remedy Oh, oh-oh, oh-oh La-da, da-da, la-da, la-da, da-da-da Da-da, da-da, da-da-da-da, la-da And when the music fades away I know I'll be okay Contagious rhythm in my brain Let it play No more poison Killing my emotion I will not be frozen Dancing is my remedy, remedy, oh Stop stop praying 'Cause I'm not not playing I'm not frozen Dancing is my remedy, remedy, oh Move while you're watching me Dance with the enemy I've got a remedy Oh, oh-oh, oh-oh Move while you're watching me Dance with the enemy Here is my remedy Oh, oh-oh, oh-oh Move while you're watching me Dance with the enemy I've got a remedy Oh, oh-oh, oh-oh Move while you're watching me Dance with the enemy Here is my remedy Oh, oh-oh, oh-oh",
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,"To settle our thoughts, Never minding what for. Nothing of harm to dread. On my mind. Tell me what belies, Or tell me what I could have. Oh, tell me what for. No more of this living, dying, Just scientific analyzing. Forgive us, oh life, The sin of Death, oh baby, You know that dying is fine, but maybe. I wouldn't like death if death were good, Not even if death were good. Is this is, Maundering about? And all I have is too much time, To understand. One can only love, Life until its ending. Oh, and I can't forget. No more of this living, dying, Just scientific analyzing. Forgive us, oh life, The sin of Death, oh baby, You know that dying is fine, but maybe. I wouldn't like death if death were good, Not even if death were good. (x4)",
85,"I still recall the taste of your tears  Echoing your voice just like the ringing in my ears  My favorite dreams of you still wash ashore  Scraping through my head 'till I don't want to sleep anymore  You make this all go away You make this all go away I'm down to just one thing, and I'm starting to scare myself You make this all go away You make this all go away I just want something I just want something I can never have You always were the one to show me how Back then I couldn't do the things that I can do now  This thing is slowly take me apart  Grey would be the color if I had a heart  Come on and tell me, you make this all go away You make this all go away I'm down to just one thing, and I'm starting to scare myself You make this all go away You make this all go away I just want something I just want something I can never have In this place it seems like such a shame  Though it all looks different now,  I know it's still the same  Everywhere I look you're all I see  Just a fading fucking reminder of who I used to be  Come on tell me you make this all go away You make this all go away I'm down to just one thing, and I'm starting to scare myself You make this all go away You make it all go away I just want something, I just want something I can never have I just want something I can never have",
86,,
87,,
88,"Voices in my head sayin' I could do better, damn Voices in my head sayin' that I knew better, yeah I done seen this shit happen a hundred times on the regular But I still crossed the line like I'm blind, damn Voices in my head saying I could do better (You always do the same shit) This was supposed to be the last time Last hit, last call, last feel, last trip, last run That's what I always tell myself, huh This was supposed to be the last one Last two, last flip, last you, last me, last night Doing every single thing my parents warned me 'bout 'Til I wore 'em out (shit) Voices in my head saying I could do better, damn (Voices in my head saying that I could do better) Voices in my head saying that I knew better, yeah I done seen this shit happen a hundred times on the regular But I still (fuck) Voices in my head, conscience talking to me like Look Stick to the plan Stick to the plan Stick to the plan, bitch quit playing Stick to the, plan to the plan Stick to the plan, bitch quit playing Stick to the plan Stay focused, don't let these niggas see your emotions Stick to the notion, stay in motion Remember soon as you stand still So will everything else, you know this Make sure all your inner actions end with actions If you stacking frontin and back in Subtract if it isn't adding Plus who hurt you don't let back in Plan it out, yeah tit for tat it Extra pussy get distracting Put that into what's worth having (boy) Stick to the plan, stick to the plan Stick to the plan, bitch quit playing Stick to the plan, to the plan, stick to the plan, bitch quit playing Stick to the plan, stay focused Pay attention who you getting close with Distance yourself from negative energy Voices in my head, they say it's meant for me I, I, I, you in my way, bitch it's no sympathy I, I, I, been plotting this since elementary I, I, I, no you need to buckle down Have people asking where you at And wondering why you never wanna come around You know the effort gon' come around Big face like Zordon You bought the watch but can't afford the time Even if you running out of breath Weight of the world doing lots of reps Time to get this generation Last one and then the next two outta debt And they gon' pay you back with respect Just stick to the plan Still we can chill Back when I rocked the white and blue Grant Hills I realized there's no dream that I can't fill I manifested all while I'm the man still (Bitch I'm the man) Voices in my head attacking what I'm thinking Bullet to the head might be the way to free it If I leave my body I can free the spirits Swear to God my death of fear just keep on shrinking Wishing I could go back to the nineties back when I was dreaming Me and my dog was on a mission like we Kel and Kenan Early 2000s Detroit might as well been the hell with demons Wondering when I started losing it, the losing grip Feeling like I'm in the middle of the ocean You either drown or canoe through it Voices in my head said I'm used to it Some help me to lose and some help me maneuv through it When I talk to myself I'm confused on who's who it I know in life you either blow it or blew it And at the end of life it's gonna feel like you flew through it I just hope by then I cut the voices in my head",
89,,
90,,
91,Back down And touch  The door is shut  In the end  You're just too close  There's no-one here  There's no-one there  I still can't tell  Try this  And you might find  I'm in your face  I see your face  The air is cold  I'm still on hold  I still can't tell  What's been said  Your Hands around my throat  Ask me to let go  Your Hands around my throat  Your Hands around my throat  Your Hands around my throat,
92,,
93,,
94,"What have I done? Where have I come from? When I burnt the backs With the sun through a glass Did I seal the loss That's become me? Feeling undone What have I become? When I turned my back on you I turned my back on myself And became this machine Thoughtlessness Selfishness Hopelessness Arrogant I feel it on the inside Twisting and contorting Memory has shaped me once again Still feel you on the inside Biting through and stinging Will I ever forget to remember? Shadows in the sun Filter through us Still wrestle the demons That arrested me as a child Confession rejected We grow up To give up People step on the cracks For wounds owed paid back Through the words of surrender Emptiness Loneliness Listlessness Worthless I feel it on the inside Twisting and contorting Memory has shaped me once again Still feel you on the inside Biting through and stinging Will I ever forget to remember? Can you save me? From myself From these memories Can you save me? From myself From these memories Surrender To the shadows Haunting inside Bleed through you Surrender to the secretes, inside Lies within you I feel it on the inside Twisting and contorting Memory has shaped me once again Still feel you on the inside Biting through and stinging Will I ever forget to remember? Can't feel you on the inside Set down the bag and left it Lost memory has left me One again Open up the inside Admission for the cleansing Now that I've forgotten to remember Surrender To the shadows Haunting inside Bleed through you",
95,,
96,,
97,"Y'all can do, what ya'll want to do just don't let We're doing this the way you want to do Rocking you, just watch how your shit gets blown back I know you wish that you could do it too People think that they can do it like Swollen The Members do it like you never knew Getting it, by the grip, that's the way we rolling You better move it when we're stepping through I'm the first thing to burst a verse of street stalker Off my rocker of Red Bull and vodka Provocatively, walking like you're talking to me Branded outlandish, triple decker stress sandwich It's an ambush, turn out back to canvas Ain't it the art words, painted with pain in my heart New york to L.A., Yonge street to Robson We get the job done and rob with tracks on Live in effect to such, graze the edge of the metal Raise taste, game face, first place, the rebel In the cage with the lions, engage with the giants Stars with temper, red october, prev the cobra I coil the sunset, coiled my drumset Spitting grease out my grill, y'all I'm formula one Crack a hole in your helmet, your bucket, your pail Moka, Mad Child, Kemo, Prevail Y'all can do, what ya'll want to do just don't let We're doing this the way you want to do Rocking you, just watch how your shit gets blown back I know you wish that you could do it too People think that they can do it like Swollen The Members do it like you never knew Getting it, by the grip, that's the way we rolling You better move it when we're stepping through You feel me as if I was a part of you If you really doing what you want to do If you see how Moka only gets it done Swollen get it off, never sweat it none Jump in the air, hands in the air, put 'em up Girls shake it down, girls shake it down, line it up Come to your town, come to your town, tear it up Once y'all get down, y'all staying down, where's the love Don't be shocked we made it, Mad Child rocks the greatest When I'm intoxicated, got locked, we waited And invaded and stated the tactics activated Can't hate it, you play the track and tax infatuated it Fatal attraction, won't stop 'til I'm platinum Bam-bam gonna flatten 'em, I'm baseball batting 'em Quick Draw McGraw, rap assault rifle Go blind when you look into the mind of a psycho We're the main attraction boy, you're just a sideshow My bubbletonic glows in the glass, don't try to hide bro They spin the vinyl from the beat junkie to the sonar The curb to the club, heavy hitting like a crowbar No scars, no bruises, no cuts or bumps The signs of a veteran, how'd you come up chump Through the back door, this is a brand new rap war Blow the speaker through the mic stand and brand the dance floor Y'all can do, what ya'll want to do just don't let We're doing this the way you want to do Rocking you, just watch how your shit gets blown back I know you wish that you could do it too People think that they can do it like Swollen The Members do it like you never knew Getting it, by the grip, that's the way we rolling You better move it when we're stepping through Y'all can do, what ya'll want to do just don't let We're doing this the way you want to do Rocking you, just watch how your shit gets blown back I know you wish that you could do it too People think that they can do it like Swollen The Members do it like you never knew Getting it, by the grip, that's the way we rolling You better move it when we're stepping through",
98,,
99,,
100,"Thick black soul Moving slow, moving close to you This life I don't know It seems kinda sick to me Hold each other tight Walking through to our destiny This glitter in my eye Catches light catches sympathy This glitter in my eye Catches light catches sympathy Your lips are moving but I can't hear what you say Stars are falling but you still feel the same way This shield What is real Is believing (Ha-ha-ha-aaa)",
101,the one who survives by making the lives of others worthwhile she's coming apart right before my eyes the one who depends on the services she renders to those who come knocking she's seeing too clearly what she can't be what understanding defies she says I need not to need or else a love with intuition someone who reaches out to my weakness and won't let go I need not to need I've always been the tower but now I feel like I'm the flower trying to bloom in snow she turns out the light anticipating night falling tenderly around her and watches the dusk the words won't come she carries the act so convincingly the fact is sometimes she believes it that she can be happy the way things are be happy with the things she's done reach out but hold back where is safety reach out and hold back where is the one who can change me where is the one the one the one reach out but hold back where is safety reach out and hold back where is the one who can save me where is the one the one the one,
102,"Why don't you ask the kids at Tienanmen Square? Was fashion the reason why they were there? They disguise it, Hypnotize it. Television made you buy it. I'm just sitting In my car and Waiting for my She's scared that I will take her away from there. Dreams and her country, left with no one there. Mesmerized the simple minded Propaganda leaves us blinded. I'm just sitting In my car and Waiting for my girl. I'm just sitting In my car and Waiting for my girl. I'm just sitting In my car and Waiting for my girl. I'm just sitting In my car and Waiting for my girl",
103,"Right now ha, ha, ha, ha, ha I am an anti-Christ I am an anarchist Don't know what I want But I know how to get it I want to destroy the passerby 'Cause I want to be anarchy No dogs body Anarchy for the U.K. It's coming sometime and maybe I give a wrong time, stop a traffic line Your future dream has sure been seen through 'Cause I want to be anarchy In the city How many ways to get what you want I use the best, I use the rest I use the N.M.E. I use anarchy 'Cause I want to be anarchy Its the only way to be Is this the MPLA Or is this the UDA Or is this the IRA I thought it was the U.K. Or just another country Another council tenancy I want to be anarchy And I want to be anarchy (Oh what a name) And I want to be an anarchist (I get pissed, destroy!)",
104,"Why can't we be together? Could you love me, don't hate me I don't see (why can't we live together) Maybe we could get it on, maybe we can get it along Should be our destiny There's a cold streak living inside us There's no rainbows just bullets and bombs If you want to rise up We can make this hate stop Now don't you want to rise up We've been giving hate a chance (we've got all this love you know) And the love will be running out for us Can you feel the dreams of life We're hopping we can still survive As the wind carries every dove away So why do we see these colors It's only skin deep, don't mean a thing So clear underneath this we're all brothers Can't you see it's killing us, can't you see it's killing us Can't you see it's killing me Trigger happy fantasy So stand up and be, so strong now Freedom is not so far away If you know you want to rise up We can make this hate stop Don't you want to rise up We've been giving hate a chance (We've got all this love you know) And the love will be running out for us Can you feel the dreams of life We're hopping we can still survive As the wind carries every dove away The wind, carries every dove away The wind, carries every dove away Every dove away Dove Dove Dove Dove Dove Dove Dove Now you've been taking our dignity for too long I want to save this sanctity that we hold And who's right and who's wrong We're not so different anyway Worlds are in this song Can't we stop fighting We've been giving hate a chance (We've got all this love you know) And the love will be running out for us Can you feel the veins of life We're hopping we can still survive As the wind carries every dove away Don't give this hate a chance, We've got all this love to give you know That this dreams alive, will still survive, Until no more people have to cry Don't give this hate a chance, we've got all this love to give you know That this dreams alive, will still survive, Until no more people have to cry And the love will be running out for us.",
105,,
106,"Talking You can't kill the metal The metal will live on Punk-Rock tried to kill the metal But they failed, as they were smite to the ground New-wave tried to kill the metal But they failed, as they were striken down to the ground Grunge tried to kill the metal Ha, ha, ha, ha, ha, ha They failed, as they were thrown to the ground (argh ... yea!) x2 Singing No-one can destroy the metal The metal will strike you down with a vicious blow We are the vanquished foes of the metal We tried to win for why we do not know New-wave tried to destroy the metal, but the metal had its way Grunge then tried to dethrone the metal, but metal was in the way Punk-rock tried to destroy the metal, but metal was much too strong Techno tried to defile the metal, but techno was proven wrong Yea! Metal! It comes from hell!",
107,,
108,,
