,0,1
24,"Wrapping paper in the gutter Moving slowly as the wind on the sea, (Faces calling, waves moving) In your picture on a wall of a house of old times. (Can you hear me) Can you hear me (Can you hear me) Wandering sadly? In the city, feeling pretty, Down and out and making love to you on the shore, (Ruined buildings, faces empty) In the picture as I gaze ahead and don't see (That they're calling) That they're calling. (That they're calling) Wandering sadly. Shattered windows, stairs to nowhere. (Hear you calling) Hear you calling (Hear you calling) As I wander sadly. Wish I knew what you'd done to me; Turned me on to things I never knew. It's all broken, weeds are growing. Wish I was going home to the house by the shore (Where you loved me) Where you loved me, (Where you loved me) Loved me so sadly. Someday I'll get back, somehow I'll do it. I'll arrive there and you'll be there to meet me. (Walk together, tread the weeds down) Kiss again in the picture on the wall (Where I loved you) In the old house. (Where I loved you) Loved you so well.",
25,,
26,,
27,,
28,"Life is so strange when its changin', yes indeed  Well I've seen the hard times and the pressure's been on me  But I keep on workin' like the workin' man do  And I've got my act together, gonna walk all over you  Gimme back my bullets  Put 'em back where they belong  Ain't foolin' around 'cause I done had my fun  Ain't gonna see no more damage done  Gimme back my bullets  Sweet talkin' people done ran me out of town  And I drank enough whiskey to float a battleship around  But I'm leavin' this game one step ahead of you  And you will not hear me cry 'cause I do not sing the blues  Gimme back my bullets  Put 'em back where they belong  Ain't foolin' around 'cause I done had my fun  Ain't gonna see no more damage done  Gimme back, gimme back my bullets  Oh, put 'em back...where they belong  Been up and down since I turned seventeen  Well I've been on top, and then it seems I lost my dream  But I got it back, I'm feelin' better everyday  Tell all those pencil pushers, better get out of my way  Gimme back my bullets  Put 'em back where they belong  Ain't foolin' around, 'cause I done had my fun  Ain't gonna see no more damage done  Gimme back, gimme back my bullets  Oh put 'em back where they belong  Gimme back my bullets",
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,"Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world  Around the world, around the world",
40,"I wake in the night To find you on my mind Deep in a dream, You'll always be Until the end of time I look in your eyes They touch my soul My love is hard to hide I'm never alone when we're apart. I feel you by my side And here in my heart, Where no one else will ever be I know who you are, So lock the door and throw away the key Save all your love Save your love for me When I'm alone at night, You're all I see I wake from a dream And see you by my side How could I belong to someone else, When holdin' you feels so right? And here in my heart Where no one else will ever be We've made it so far, So lock the door and throw away the key Save all your love Save all your love for me When I'm alone at night, You're all I see Save all your love Save your love for me Don't turn your back on me You're all I need  Save your love, Save your love, Save all your love Save all your love",
41,"Just before our love got lost you said I am as constant as a northern star and I said, Constantly in the darkness Where's that at? If you want me I'll be in the bar On the back of a cartoon coaster In the blue TV screen light I drew a map of Canada Oh Canada With your face sketched on it twice Oh you are in my blood like holy wine You taste so bitter And so sweet oh I could drink a case of you darling and I would Still be on my feet Oh I would still be on my feet Oh I am a lonely painter I live in a box of paints I'm frightened by the devil And I'm drawn to those ones that ain't afraid I remember that time that you told me, you said ""Love is touching souls"" Surely you touched mine 'cause Part of you pours out of me In these lines from time to time Oh you are in my blood like holy wine You taste so bitter And so sweet oh I could drink a case of you darling Still I'd be on my feet I would still be on my feet I met a woman She had a mouth like yours, she knew your life She knew your devils and your deeds and she said ""Go to him stay with him if you can But be prepared to bleed"" Oh but you are in my blood you're my holy wine You're so bitter bitter and so sweet oh I could drink a case of you darling Still I'd be on my feet I would still be on my feet hmm",
42,,
43,,
44,,
45,,
46,,
47,"Pick me up Been bleeding too long Right here, right now I'll stop it some how I will make it go away Can't be here no more Seems this is the only way I will soon be gone These feelings will be gone These feelings will be gone Now I see the times they change Leaving doesn't seems so strange I am hoping I can find Where to leave my hurt behind All this shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Shut me off I am ready, Heart stops I stand alone Can't be on my own I will make it go away Can't be here no more Seems this is the only way I will soon be gone These feelings will be gone These feelings will be gone Now I see the times they change Leaving doesn't seems so strange I am hoping I can find Where to leave my hurt behind All this shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Am I going to leave this place? What is it I'm hanging from? Is there nothing more to come? (am I gonna leave this place?) Is it always black in space? Am I going to take it's place? Am I going to leave this race? (Am I going to leave this race?) I guess god's up in this place? What is it that I've become? Is there something more to come? (more to come) Now I see the times they change Leaving doesn't seems so strange I am hoping I can find Where to leave my hurt behind All this shit I seem to take All alone I seem to break I have lived the best I can Does this make me not a man? Does this make me not a man?",
48,,
49,,
50,,
51,,
52,"All of us believe That this is not up to you The fact of the matter is That it's up to me Hey, Hey, Hey Hey, Hey, Hey Let's Go How can we fake this anymore To turn our backs away, and chose to just ignore (Some say) Some say it's ignorance It makes 'em feel some innocent It takes away a part of me That I won't let go of Tell me why can't you see, it's not the way When we all fall down, it won't be too late Why is there no reason we can't change When we all fall down, who will take the blame Will it take Nothing could ever be this real A life unsatisfied, that I could never feel (Some Say)This future's not so bright Some can't make the sacrifice It's much more than just black and white And I won't follow Tell me why can't you see, it's not the way When we all fall down, it won't be too late Why is there no reason we can't change When we all fall down, who will take the blame Will it take Times like these I've come to see how, Everything but time is running out Hey, Hey, Hey Hey, Hey, Hey What All of us believe In what we need What we have's what we don't see Tell me why can't you see, it's not the way When we all fall down, it won't be too late Why is there no reason we can't change When we all fall down, who will take the blame Will it take Tell me why can't you see, it's not the way (so how long, has this gone, i don't see this ending) When we all fall down, it won't be too late (it's too late, we can't change, what has now begun) Why is there no reason we can't change (we have time, it's not right, why are we pretending) When we all fall down, who will take the blame (we fit along, for so long) Will it take (We knew this all along)",
53,,
54,Something ugly this way comes Through my fingers sliding inside All these blessings all these burns I'm godless underneath your cover Search for pleasure search for pain In this world now I am undying I unfurl my flag my nation helpless Black black heart why would you offer more Why would you make it easier on me to satisfy I'm on fire I'm rotting to the core I'm eating all your kings and queens All your sex and your diamonds As I begin to lose my grip On these realities your sending Taste your mind and taste your sex I'm naked underneath your cover Covers lie and we will bend and borrow With the coming sign The tide will take the sea will rise and time will rape Black black heart why would you offer more Why would you make it easier on me to satisfy I'm on fire I'm rotting to the core I'm eating all your kings and queens All your sex and your diamonds Black black heart why would you offer more Why would you make it easier on me to satisfy I'm on fire I'm rotting to the core I'm eating all your kings and queens All your sex and your diamonds All your sex and your diamonds All your sex and your diamonds All your sex and your diamonds All your sex and your diamonds,"Johnny's in America Low techs at the wheel Nobody needs anyone They don't even just pretend Johnny's in America I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans Johnny's in America Johnny wants a brain Johnny wants to suck on a Coke Johnny wants a woman Johnny wants to think of a joke Johnny's in America I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans Johnny's in America Johnny looks up at the stars Johnny combs his hair And Johnny wants pussy in cars Johnny's in America Johnny's in America I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans God is an American God is an American I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans I'm afraid of the world I'm afraid I can't help it I'm afraid I can't Yeah, I'm afraid of Americans I'm afraid of the words I'm afraid I can't help it I'm afraid I can't I'm afraid of Americans Johnny's an American Johnny's an American Johnny's an American Johnny's an American Johnny's an American"
55,,
56,,
57,,
58,,
59,"Lock eyes from across the room Down my drink while the rhythms boom Take your hand and skip the names No need here for the silly games Make our way through the smoke and crowd The club is the sky and I'm on your cloud Move in close as the lasers fly Our bodies touch and the angels cry Leave this place go back to yours Our lips first touch outside your doors The whole night what we've got in store Whisper in my ear that you want some more  And I Jizz in my pants This really never happens you can take my word I wont apologize, that's just absurd Mainly your fault from the way that you dance And now I Jizz in my pants Don't tell your friends or I'll say your a slut Plus its your fault, you were rubbing my butt I'm very sensitive, some would say that's a plus Now I'll go home and change I need a few things from the grocery Do things alone now mostly Left me heart broken not lookin' for love Surprised in my eyes when I looked above The check out counter and I saw a face My heart stood still so did time and space Never felt that I could feel real again But the look in her eyes said I need a friend She turned to me that's when she said it Looked me dead in the face, asked Cash or Credit? And I Jizzed in my pants Its perfectly normal, nothing wrong with me But were going to need a clean up on aisle 3 And now I'm posed in an awkward stance because I Jizzed in my pants To be fair you were flirting a lot Plus the way you bag cans got me bothered and hot Please stop acting like you're not impressed One more thing, I'm gonna pay by check Last week - I saw a film As I recall it was a horror film Walked outside into the rain Checked my phone and saw you rang and I Jizzed in my pants Speeding down the street when the red lights flash Need to get away need to make a dash A song comes on that reminds me of you and I Jizz in my pants The next day my alarm goes off and I Jizz in my pants Open my window and a breeze rolls in and I Jizz in my pants When Bruce Willis was dead at the end of sixth sense I Jizzed in my pants I just ate a grape and I Jizzed in my pants I went Jizzed in my pants OK seriously you guys can we, OK? I jizz right in my pants every time you're next to me And when we're holding hands it's like having sex with me You say I'm premature I just call it Ecstasy  I wear a rubber at all times it's a necessity 'Cause I Jizz in my pants (I jizz in my pants, I jizz in my pants, yes I jizz in my pants, yes I jizz in my pants) yes I Jizz in my pants (I jizz in my pants, I jizz in my pants) Ah",
60,"Lock eyes from across the room Down my drink while the rhythms boom Take your hand and skip the names No need here for the silly games Make our way through the smoke and crowd The club is the sky and I'm on your cloud Move in close as the lasers fly Our bodies touch and the angels cry Leave this place go back to yours Our lips first touch outside your doors The whole night what we've got in store Whisper in my ear that you want some more  And I Jizz in my pants This really never happens you can take my word I wont apologize, that's just absurd Mainly your fault from the way that you dance And now I Jizz in my pants Don't tell your friends or I'll say your a slut Plus its your fault, you were rubbing my butt I'm very sensitive, some would say that's a plus Now I'll go home and change I need a few things from the grocery Do things alone now mostly Left me heart broken not lookin' for love Surprised in my eyes when I looked above The check out counter and I saw a face My heart stood still so did time and space Never felt that I could feel real again But the look in her eyes said I need a friend She turned to me that's when she said it Looked me dead in the face, asked Cash or Credit? And I Jizzed in my pants Its perfectly normal, nothing wrong with me But were going to need a clean up on aisle 3 And now I'm posed in an awkward stance because I Jizzed in my pants To be fair you were flirting a lot Plus the way you bag cans got me bothered and hot Please stop acting like you're not impressed One more thing, I'm gonna pay by check Last week - I saw a film As I recall it was a horror film Walked outside into the rain Checked my phone and saw you rang and I Jizzed in my pants Speeding down the street when the red lights flash Need to get away need to make a dash A song comes on that reminds me of you and I Jizz in my pants The next day my alarm goes off and I Jizz in my pants Open my window and a breeze rolls in and I Jizz in my pants When Bruce Willis was dead at the end of sixth sense I Jizzed in my pants I just ate a grape and I Jizzed in my pants I went Jizzed in my pants OK seriously you guys can we, OK? I jizz right in my pants every time you're next to me And when we're holding hands it's like having sex with me You say I'm premature I just call it Ecstasy  I wear a rubber at all times it's a necessity 'Cause I Jizz in my pants (I jizz in my pants, I jizz in my pants, yes I jizz in my pants, yes I jizz in my pants) yes I Jizz in my pants (I jizz in my pants, I jizz in my pants) Ah","I don't mind where you come from As long as you come to me I don't like illusions I can't see them clearly I don't care; no, I wouldn't dare To fix the twist in you You've shown me eventually What you'll do I don't mind I don't care As long as you're here Go ahead, tell me you'll leave again You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's all the same Hours slide, and days go by Till you decide to come And in between it always seems too long All of a sudden And I have the skill, yeah, I have the will To breathe you in while I can However long you stay Is all that I am I don't mind I don't care As long as you're here Go ahead, tell me you'll leave again You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's always the same Wrong or right Black or white If I close my eyes It's all the same In my life The compromise I close my eyes It's all the same Go ahead, say it - you're leaving You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's all the same"
61,"I don't mind where you come from As long as you come to me I don't like illusions I can't see them clearly I don't care; no, I wouldn't dare To fix the twist in you You've shown me eventually What you'll do I don't mind I don't care As long as you're here Go ahead, tell me you'll leave again You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's all the same Hours slide, and days go by Till you decide to come And in between it always seems too long All of a sudden And I have the skill, yeah, I have the will To breathe you in while I can However long you stay Is all that I am I don't mind I don't care As long as you're here Go ahead, tell me you'll leave again You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's always the same Wrong or right Black or white If I close my eyes It's all the same In my life The compromise I close my eyes It's all the same Go ahead, say it - you're leaving You'll just come back running Holding your scarred heart in hand It's all the same And I'll take you for who you are If you take me for everything Do it all over again It's all the same",
62,,
63,,
64,,
65,,
66,,
67,,
68,"Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion I want to walk in the open wind I want to talk like the lovers do I want to dive into your ocean Is it raining with you? Talk to me like lovers do Walk with me like lovers do Talk to me like lovers do Ooh, oh Here comes the rain again Raining in my head like a tragedy Tearing me apart like a new emotion I want to breathe in the open wind I want to kiss like the lovers do I want to dive into your ocean Is it raining with you? Talk to me like lovers do Walk with me, like lovers do Talk to me like lovers do Yeah So talk to me like lovers do Walk with me, like lovers do Talk to me like lovers do Yeah Here it comes again Here it comes again now Here it comes again Here it comes Here it comes again Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion Here it comes again Here it comes again I want to walk in the open wind I want to talk like the lovers do I want to dive into your ocean Is it raining with you? Here comes the rain again Raining in my head like a tragedy Tearing me apart like a new emotion Here it comes again Here it comes again I want to breathe in the open wind I want to kiss like the lovers do and I want to dive into your ocean Is it raining with you?",
69,,
70,,
71,"Walked in the cold air Freezing breath on a window pane Lying and waiting A man in the dark in a picture frame So mystic and soulful A voice reaching out in a piercing cry It stays with you until The feeling has gone only you and I It means nothing to me This means nothing to me Oh, Vienna The music is weaving Haunting notes, pizzicato strings The rhythm is calling Alone in the night as the daylight brings A cool empty silence The warmth of your hand and a cold grey sky It fades to the distance The image has gone only you and I It means nothing to me This means nothing to me Oh, Vienna This means nothing to me This means nothing to me Oh, Vienna",
72,,
73,,
74,"Would you believe in a night like this A night like this, when visions come true Would you believe in a tale like this A lay of bliss, a praise in the old lore Come to the blazing fire and See me in the shadows See me in the shadows Songs i will sing Of runes and rings Just hand me my harp This night turns into myth Nothing seems real But you soon will feel The world we live in is another skald´s Dream in the shadows Dream in the shadows Do you believe there is sense in it Is it truth or myth? They´re one in my ryhmes Nobody knows the meaning behind The weaver´s line Well nobody else but the Norns can See through the blazing fires of time and All things will proceed as the child of the hallowed Will speak to you now See me in the shadows See me in the shadows Songs I will sing of tribes and kings The carrion bird and the hall of the slain Nothing seems real You soon will feel The world we live in is another skald´s Dream in the shadows Dream in the shadows Do not fear for my reason There's nothing to hide How bitter your treason How bitter the lie Remember the runes and remember the light All I ever want is to be at your side We gladden the raven now I will Run through the blazing fires That's my choice Cause things shall procede as foreseen",
75,,
76,"This whole routine is getting old So am I And so are you My reputation lets me know I can do whatever I want to Though it seems that you believe You can do whatever it is you please, Not before, not before you wind up on your knees Don't cry to me no more You like the way the people stare at you And now you look so fake Just thought that you should know Your all the same And when the curtain drops down You'll be replaced by something typical You set yourself up to be sold And that's OK cause that's your role Manipulation takes its toll Will you do, no body wants you Though it seems that you believe You can do whatever it is you please, Not before, not before you wind up on your knees Don't cry to me no more You like the way the people stare at you And now you look so fake Just thought that you should know Your all the same And when the curtain drops down You'll be replaced by something typical I know I stood so long beside you And I know I should have left you right where I had found you I know I stood so long beside you And I know I should have left you right where I had found you Don't cry to me no more You like the way the people stare at you And now you look so fake Just thought that you should know Your all the same And when the curtain drops down You'll be replaced by something typical Don't cry to me no more You like the way the people stare at you And now you look so fake Just thought that you should know Your all the same And when the curtain drops down You'll be replaced by something typical",
77,,
78,,
79,,
80,In the darkness of the night in the shadows of the dawn It's turning black no looking back the sands of time are sown When the day will slowly end and the sun has turned to grey Will we feel the power of freedom with the dawn of a new day? Over mountains paved with gold and through the valleys of the slain Our quest will lead us onwards to the journey of the brave When the time has come to stand for the power we believe We will ring the sound of victory for one and all to see Sometimes in your darkest dreams you will feel the haunting pain Silent tears of your hidden fears come to haunt you once again Fight on for the memories of the everlasting dream Their in the silent lands on wings of glory free We can go on forever with the darkness so far away And the warriors who live forever fight on to the end Across the highest mountains and through the endless seas Our journey ever onwards fight until we all be free Through the darkness shining the never ending light On through the days of glory rise towards the fight And one day we will find a way toward this distant golden age The cries of war will sound the day We stand before the dawn of a new world On through the raging thunder across the seven seas Cold winter skies are falling on the battles we have seen We can go on forever with the darkness so far away And the warriors who live forever fight on to the end Across the highest mountains and through the endless seas,
81,,
82,,
83,,
84,,
85,,
86,"You ready?! Let's go! Yeah, for those of you that wanna know what we're all about It's like this y'all (c'mon) This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name He doesn't need his name up in lights He just wants to be heard whether it's the beat or the mic He feels so unlike everybody else, alone In spite of the fact that some people still think that they know him But fuck 'em, he knows the code, it's not about the salary It's about reality and making some noise Making a story, making sure his clique stays up That means when he puts it down, Tak's pickin' it up Who the hell is he anyway, he never really talks much Never concerned with status but still leavin' them star struck Humbled through opportunities given despite the fact That many misjudge him because he makes a livin' from writing raps Put it together himself, now the picture connects Never asking for someone's help, or to get some respect He's only focused on what he wrote; his will is beyond reach And now it all unfolds, the skill of an artist This is twenty percent skill, eighty percent beer Be a hundred percent clear 'cause Ryu is ill Who would've thought that he'd be the one to set the west in flames Then heard him wreckin' with The Crystal Method, Name Of The Game Came back, dropped Megadef, took 'em to church I like bleach, man, Ryu had the stupidest verse This dude is the truth, now everybody be givin' him guest spots His stock's through the roof; I heard he fuckin' with S-Dot This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name They call him Ryu he's sick, and he's spittin' fire and Mike Got him out the dryer he's hot, found him in Fort Minor with Tak What a fuckin' nihilist porcupine; he's a prick; he's a cock The type women want to be with and rappers hope he get shot Eight years in the makin' patiently waitin' to blow Now the record with Shinoda's takin' over the globe He's got a partner in crime; his shit is equally dope You won't believe the kind of shit that comes out of this kid's throat He's not your every day on the block He knows how to work with what he's got Makin' his way to the top He often gets a comment on his name People keep asking him was it given at birth Or does it stand for an acronym? No, he's livin' proof that he rockin' the booth He'll get you buzzin' quicker than a shot of vodka with juice Him and his crew are known around as one of the best Dedicated to what they do and give a hundred percent Forget Mike, nobody really knows how or why he works so hard It seems like he's never got time Because he writes every note and he writes every line And I've seen him at work when that light goes on in his mind It's like a design is written in his head every time Before he even touches a key or speaks in a rhyme And those motherfuckers he runs with, the kids that he signed Ridiculous, without even trying, how do they do it? This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name This is ten percent luck Twenty percent skill Fifteen percent concentrated power of will Five percent pleasure Fifty percent pain And a hundred percent reason to remember the name Yeah Fort Minor M-Shinoda Styles of Beyond Ryu Takbir Machine Shop",
87,Hit the dance round about midnight Gin n juice and he's a feelin' fine Come morning all the signs went up Policeman said the joint was shut All the brothers gettin' busted outside Undercover officer readin' em their rights One way ticket boy your prison bound The night the lights in Dallas went down so How long we gonna wait until We get the keys to the mansion on the hill I want to know right now How long we gonna waste our time Boarding a bus that's bound for the welfare line I want to know right now Shakes the blues off and she tries her luck Makes a little bet hopes the horse comes up Picks your pockets for some easy money 'Cause she blew the goddamn lot on the national lottery Steals the paper and checks the front page Headlines read the dancehall can't be saved How can the open up the opera house On the night the lights in Dallas went down How long we gonna wait until We get the keys to the mansion on the hill I want to know right now How long we gonna waste our time Boarding a bus that's bound for the welfare line I want to know right now Tweak freak Tony on the 4 2 8 Special branch sting right time wrong place Colombian connections in the corridors of power Mean the man on the money ain't ever goin' down Lord Lucky takes his lady to the magic flute A little taste of heat and now he's bullet proof Tony tunes to underground radio On the night the lights in Dallas went down How long we gonna wait until We get the keys to the mansion on the hill I want to know right now How long we gonna waste our time Boarding a bus that's boud for the welfare line I want to know right now,
88,,
89,Tickle me pink I'm rosy as a flushed red apple skin Except I've never been as sweet I've rolled around the orchard And found myself too awkward And tickle me green I'm too naive Pray for the people inside your head For they won't be there when you're dead Muffled out and pushed back down Pushed back through the leafy ground Time is too early My hair isn't curly I wish I was home and tucked away When nothing goes right And the future's dark as night What you need is a sunny sunny day Pray for the people inside your head For they won't be there when you're dead Muffled out and pushed back down Pushed back through the leafy ground Don't know where I can find myself a brand new pair of ears Don't know where I can buy a heart The one I've got is shoddy I need a brand new body And then I can have a brand new start Pray for the people inside your head For they won't be there when you're dead Muffled out and pushed back down Pushed back through the leafy ground Monsters in the valley And shootings in the alley And people fall flat at every turn There is no straight and narrow Offload your wheelbarrow And pick up your sticks and twigs to burn Pray for the people inside your head For they won't be there when you're dead,
90,,
91,Dial up my number now Weaving it through the wire Switch me on Turn me up Don't want it Baudelaire Just glitter lust Switch me on Turn me up I want to touch you You're just made for love I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la Coils up and round me Teasing your poetry Switch me on Turn me up Oh child of Venus You're just made for love I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la You know I walk for days I want to waste some time You want to be so mean You know I love to watch I want to love some more It'll never be the same A broken heel like a heart I'll never walk again Yeah! I need la la la la la la I need ooh la la la la I need la la la la la la I need ooh la la la la,
92,,
93,,
94,"Is it going? Is it going Is it going? Is it going I don't know what you're looking for I'm the type of girl that look you dead in the eye, eye I'm real as they come, if you don't know why - I'm fly-why-why I seen you try to switch it up, but girl you ain't got those I'm the wonderwoman. Let me go get my rope I'm a supermodel and mommy, sÃ­ mommy Amnesty International got bankrupt. I'm on top, on lock Love my ass and my abs and the video called Promiscuous My style is ridi-di-diculous-ulous-ulous If you see us in the club, we'll be acting real nice If you see us on the floor, you'll be watchin' all night We ain't here to hurt nobody So give it to me, give it to me, give it to me Wanna see you work your body So give it to me, give it to me, give it to me When Timbo is in the party, everybody put up their hands I get a half a mil for my beats. You get a couple gra-a-a-and Never gon' see the day that I ain't got the upper hand I'm respected from Californ-I-A, way down to Japan I'm a real producer and you just a piano man Your song gonna top the charts. I heard em, I'm not a fa-a-a-an Niggas talking greasy, I'm the one that gave them they chance Somebody need to tell them that they can't do it like I can If you see us in the club, we'll be acting real nice If you see us on the floor, you'll be watchin' all night We ain't here to hurt nobody So give it to me, give it to me, give it to me Wanna see you work your body So give it to me, give it to me, give it to me Could you speak up and stop m-m-mumbling I don't think you're getting clear If you're sitting on the top, it's hard to hear you from way up here I saw you trying to act cute on TV, just let me clear the air We missed you on the charts last week Damn, that's right, you wasn't there If s-sexy never left, then why's everybody on my shi-I-it Don't hate on me just because you didn't come up with it So if you see us in the club, go on and walk the other way 'Cause our run will never be over, not at least until we say If you see us in the club, we'll be acting real nice If you see us on the floor, you'll be watchin' all night We ain't here to hurt nobody So give it to me, give it to me, give it to me Wanna see you work your body So give it to me, give it to me, give it to me If you see us in the club, we'll be acting real nice If you see us on the floor, you'll be watchin' all night We ain't here to hurt nobody So give it to me, give it to me, give it to me Wanna see you work your body So give it to me, give it to me, give it to me If you see us in the club, we'll be acting real nice If you see us on the floor, you'll be watchin' all night We ain't here to hurt nobody So give it to me, give it to me, give it to me Wanna see you work your body So give it to me, give it to me, give it to me",
